    FDMNES
    energy     <xanes>
   7097.00  5.5875613E-03
   7097.33  5.7322370E-03
   7097.67  5.8840604E-03
   7098.00  6.0435481E-03
   7098.33  6.2124100E-03
   7098.67  6.3903527E-03
   7099.00  6.5780903E-03
   7099.33  6.7778951E-03
   7099.67  6.9894788E-03
   7100.00  7.2138559E-03
   7100.33  7.4541284E-03
   7100.67  7.7100568E-03
   7101.00  7.9831284E-03
   7101.33  8.2777155E-03
   7101.67  8.5937223E-03
   7102.00  8.9334135E-03
   7102.33  9.3031922E-03
   7102.67  9.7033162E-03
   7103.00  1.0137395E-02
   7103.33  1.0615255E-02
   7103.67  1.1137986E-02
   7104.00  1.1711674E-02
   7104.33  1.2352307E-02
   7104.67  1.3062963E-02
   7105.00  1.3854663E-02
   7105.33  1.4755445E-02
   7105.67  1.5773419E-02
   7106.00  1.6930497E-02
   7106.33  1.8281032E-02
   7106.67  1.9847191E-02
   7107.00  2.1678488E-02
   7107.33  2.3896176E-02
   7107.67  2.6568361E-02
   7108.00  2.9829796E-02
   7108.33  3.4014323E-02
   7108.67  3.9382184E-02
   7109.00  4.6423863E-02
   7109.33  5.6431297E-02
   7109.67  7.0857233E-02
   7110.00  9.2550795E-02
   7110.33  1.2982310E-01
   7110.67  1.9269621E-01
   7111.00  2.8698425E-01
   7111.33  3.7374616E-01
   7111.67  4.1163677E-01
   7112.00  4.2403742E-01
   7112.33  4.3259890E-01
   7112.67  4.6766957E-01
   7113.00  5.4800339E-01
   7113.33  6.1081948E-01
   7113.67  5.5847733E-01
   7114.00  4.4775314E-01
   7114.33  3.6918607E-01
   7114.67  3.1662211E-01
   7115.00  2.7293320E-01
   7115.33  2.3979146E-01
   7115.67  2.2325502E-01
   7116.00  2.2200268E-01
   7116.33  2.2663414E-01
   7116.67  2.2244042E-01
   7117.00  2.0524898E-01
   7117.33  1.8262516E-01
   7117.67  1.6327260E-01
   7118.00  1.4961422E-01
   7118.33  1.4315423E-01
   7118.67  1.4280136E-01
   7119.00  1.4773377E-01
   7119.33  1.5607819E-01
   7119.67  1.6284829E-01
   7120.00  1.6444532E-01
   7120.33  1.6093736E-01
   7120.67  1.5650591E-01
   7121.00  1.5330190E-01
   7121.33  1.5255115E-01
   7121.67  1.5433333E-01
   7122.00  1.5866440E-01
   7122.33  1.6533286E-01
   7122.67  1.7354410E-01
   7123.00  1.8307062E-01
   7123.33  1.9400837E-01
   7123.67  2.0619150E-01
   7124.00  2.1954997E-01
   7124.33  2.3397089E-01
   7124.67  2.4883968E-01
   7125.00  2.6359246E-01
   7125.33  2.7789560E-01
   7125.67  2.9234987E-01
   7126.00  3.0765782E-01
   7126.33  3.2434712E-01
   7126.67  3.4228686E-01
   7127.00  3.6148750E-01
   7127.33  3.8216312E-01
   7127.67  4.0412176E-01
   7128.00  4.2715077E-01
   7128.33  4.5075344E-01
   7128.67  4.7405191E-01
   7129.00  4.9638138E-01
   7129.33  5.1721444E-01
   7129.67  5.3707507E-01
