    FDMNES
    energy     <xanes>
   7097.00  5.2235698E-03
   7097.33  5.3498925E-03
   7097.67  5.4819994E-03
   7098.00  5.6202835E-03
   7098.33  5.7660857E-03
   7098.67  5.9191340E-03
   7099.00  6.0799640E-03
   7099.33  6.2503303E-03
   7099.67  6.4299550E-03
   7100.00  6.6195879E-03
   7100.33  6.8215855E-03
   7100.67  7.0356913E-03
   7101.00  7.2629885E-03
   7101.33  7.5067418E-03
   7101.67  7.7667774E-03
   7102.00  8.0447200E-03
   7102.33  8.3452657E-03
   7102.67  8.6684599E-03
   7103.00  9.0168532E-03
   7103.33  9.3975196E-03
   7103.67  9.8110372E-03
   7104.00  1.0261641E-02
   7104.33  1.0760625E-02
   7104.67  1.1309856E-02
   7105.00  1.1916886E-02
   7105.33  1.2601150E-02
   7105.67  1.3367783E-02
   7106.00  1.4231574E-02
   7106.33  1.5229478E-02
   7106.67  1.6375739E-02
   7107.00  1.7703230E-02
   7107.33  1.9292752E-02
   7107.67  2.1187968E-02
   7108.00  2.3476575E-02
   7108.33  2.6375631E-02
   7108.67  3.0048879E-02
   7109.00  3.4805652E-02
   7109.33  4.1453675E-02
   7109.67  5.0867782E-02
   7110.00  6.4748639E-02
   7110.33  8.8002424E-02
   7110.67  1.2673639E-01
   7111.00  1.8756303E-01
   7111.33  2.6888424E-01
   7111.67  3.3890182E-01
   7112.00  3.5310303E-01
   7112.33  3.0496624E-01
   7112.67  2.5320395E-01
   7113.00  2.1985891E-01
   7113.33  2.1036865E-01
   7113.67  2.2045480E-01
   7114.00  2.5120476E-01
   7114.33  3.1056265E-01
   7114.67  3.9512907E-01
   7115.00  4.8073224E-01
   7115.33  4.9893651E-01
   7115.67  4.4128711E-01
   7116.00  3.5271289E-01
   7116.33  2.7925884E-01
   7116.67  2.2877508E-01
   7117.00  1.9711031E-01
   7117.33  1.7996863E-01
   7117.67  1.7121163E-01
   7118.00  1.6786309E-01
   7118.33  1.6752103E-01
   7118.67  1.6807454E-01
   7119.00  1.6915726E-01
   7119.33  1.7142312E-01
   7119.67  1.7517591E-01
   7120.00  1.8042734E-01
   7120.33  1.8737646E-01
   7120.67  1.9620747E-01
   7121.00  2.0707045E-01
   7121.33  2.1910291E-01
   7121.67  2.3059226E-01
   7122.00  2.4069044E-01
   7122.33  2.4899611E-01
   7122.67  2.5599348E-01
   7123.00  2.6205954E-01
   7123.33  2.6756373E-01
   7123.67  2.7293399E-01
   7124.00  2.7842815E-01
   7124.33  2.8435130E-01
   7124.67  2.9088994E-01
   7125.00  2.9824377E-01
   7125.33  3.0680314E-01
   7125.67  3.1672357E-01
   7126.00  3.2827246E-01
   7126.33  3.4198400E-01
   7126.67  3.5790514E-01
   7127.00  3.7630868E-01
   7127.33  3.9774750E-01
   7127.67  4.2185504E-01
   7128.00  4.4846506E-01
   7128.33  4.7772441E-01
   7128.67  5.0933917E-01
   7129.00  5.4340215E-01
   7129.33  5.8030941E-01
   7129.67  6.1945396E-01
   7130.00  6.6004360E-01
   7130.33  7.0057439E-01
   7130.67  7.3875886E-01
   7131.00  7.7209175E-01
   7131.33  7.9686603E-01
   7131.67  8.1247271E-01
   7132.00  8.1890791E-01
   7132.33  8.1631691E-01
   7132.67  8.0783137E-01
   7133.00  7.9642413E-01
   7133.33  7.8617109E-01
   7133.67  7.7899772E-01
   7134.00  7.7450401E-01
   7134.33  7.7073681E-01
   7134.67  7.6491024E-01
   7135.00  7.5476294E-01
   7135.33  7.3763481E-01
   7135.67  7.1388357E-01
   7136.00  6.8460456E-01
   7136.33  6.5219065E-01
   7136.67  6.2042506E-01
   7137.00  5.9186471E-01
   7137.33  5.6881845E-01
   7137.67  5.5092070E-01
   7138.00  5.3765633E-01
   7138.33  5.2876144E-01
   7138.67  5.2329777E-01
   7139.00  5.2117474E-01
   7139.33  5.2286390E-01
   7139.67  5.2791999E-01
   7140.00  5.3616165E-01
   7140.33  5.4751738E-01
   7140.67  5.6103793E-01
   7141.00  5.7609321E-01
   7141.33  5.9196858E-01
   7141.67  6.0779084E-01
   7142.00  6.2300527E-01
   7142.33  6.3705982E-01
   7142.67  6.4990932E-01
   7143.00  6.6154742E-01
   7143.33  6.7187840E-01
   7143.67  6.8106418E-01
   7144.00  6.8906656E-01
   7144.33  6.9565149E-01
   7144.67  7.0091690E-01
   7145.00  7.0485570E-01
   7145.33  7.0735897E-01
   7145.67  7.0867989E-01
   7146.00  7.0891078E-01
   7146.33  7.0802904E-01
   7146.67  7.0624325E-01
   7147.00  7.0361521E-01
   7147.33  7.0011461E-01
   7147.67  6.9590660E-01
   7148.00  6.9105289E-01
   7148.33  6.8555209E-01
   7148.67  6.7953393E-01
   7149.00  6.7302785E-01
   7149.33  6.6597490E-01
   7149.67  6.5840523E-01
   7150.00  6.5027713E-01
   7150.33  6.4146788E-01
   7150.67  6.3203138E-01
   7151.00  6.2198402E-01
   7151.33  6.1132593E-01
   7151.67  6.0024005E-01
   7152.00  5.8885550E-01
   7152.33  5.7733362E-01
   7152.67  5.6588543E-01
   7153.00  5.5468686E-01
   7153.33  5.4399994E-01
   7153.67  5.3396728E-01
   7154.00  5.2475157E-01
   7154.33  5.1665016E-01
   7154.67  5.0968921E-01
   7155.00  5.0397339E-01
   7155.33  4.9975803E-01
   7155.67  4.9692821E-01
   7156.00  4.9549890E-01
   7156.33  4.9562535E-01
   7156.67  4.9707970E-01
   7157.00  4.9978612E-01
   7157.33  5.0376538E-01
   7157.67  5.0871964E-01
   7158.00  5.1448418E-01
   7158.33  5.2090460E-01
   7158.67  5.2764779E-01
   7159.00  5.3447012E-01
   7159.33  5.4104805E-01
   7159.67  5.4711456E-01
   7160.00  5.5243368E-01
   7160.33  5.5664368E-01
   7160.67  5.5968274E-01
   7161.00  5.6144193E-01
   7161.33  5.6168686E-01
   7161.67  5.6058166E-01
   7162.00  5.5816703E-01
   7162.33  5.5437946E-01
   7162.67  5.4949394E-01
   7163.00  5.4363469E-01
   7163.33  5.3685705E-01
   7163.67  5.2942588E-01
   7164.00  5.2148151E-01
   7164.33  5.1313853E-01
   7164.67  5.0458515E-01
   7165.00  4.9592536E-01
   7165.33  4.8725747E-01
   7165.67  4.7865926E-01
   7166.00  4.7017985E-01
   7166.33  4.6187925E-01
   7166.67  4.5376367E-01
   7167.00  4.4584751E-01
