    FDMNES
    energy     <xanes>
   7097.00  4.9423722E-03
   7097.33  5.0649942E-03
   7097.67  5.1936574E-03
   7098.00  5.3288046E-03
   7098.33  5.4718919E-03
   7098.67  5.6226808E-03
   7099.00  5.7817867E-03
   7099.33  5.9511543E-03
   7099.67  6.1305544E-03
   7100.00  6.3208667E-03
   7100.33  6.5247617E-03
   7100.67  6.7420604E-03
   7101.00  6.9740618E-03
   7101.33  7.2245555E-03
   7101.67  7.4935018E-03
   7102.00  7.7828941E-03
   7102.33  8.0983268E-03
   7102.67  8.4400945E-03
   7103.00  8.8114023E-03
   7103.33  9.2209142E-03
   7103.67  9.6697066E-03
   7104.00  1.0163236E-02
   7104.33  1.0715744E-02
   7104.67  1.1330172E-02
   7105.00  1.2016504E-02
   7105.33  1.2800006E-02
   7105.67  1.3688343E-02
   7106.00  1.4701585E-02
   7106.33  1.5889324E-02
   7106.67  1.7272466E-02
   7107.00  1.8896871E-02
   7107.33  2.0874600E-02
   7107.67  2.3270003E-02
   7108.00  2.6209243E-02
   7108.33  3.0004742E-02
   7108.67  3.4903470E-02
   7109.00  4.1369539E-02
   7109.33  5.0627365E-02
   7109.67  6.4066524E-02
   7110.00  8.4406499E-02
   7110.33  1.1943542E-01
   7110.67  1.7706580E-01
   7111.00  2.5768309E-01
   7111.33  3.3760286E-01
   7111.67  4.0268725E-01
   7112.00  4.5065742E-01
   7112.33  4.7742448E-01
   7112.67  4.8720837E-01
   7113.00  4.7264381E-01
   7113.33  4.1468559E-01
   7113.67  3.3649132E-01
   7114.00  2.6526384E-01
   7114.33  2.1533364E-01
   7114.67  1.8187309E-01
   7115.00  1.6049769E-01
   7115.33  1.4793037E-01
   7115.67  1.4006046E-01
   7116.00  1.3491498E-01
   7116.33  1.3115734E-01
   7116.67  1.2819685E-01
   7117.00  1.2619468E-01
   7117.33  1.2503101E-01
   7117.67  1.2372155E-01
   7118.00  1.2175429E-01
   7118.33  1.1988276E-01
   7118.67  1.1944028E-01
   7119.00  1.2054486E-01
   7119.33  1.2180004E-01
   7119.67  1.2224967E-01
   7120.00  1.2254042E-01
   7120.33  1.2381838E-01
   7120.67  1.2643050E-01
   7121.00  1.3046983E-01
   7121.33  1.3554446E-01
   7121.67  1.4091652E-01
   7122.00  1.4669222E-01
   7122.33  1.5344874E-01
   7122.67  1.6116609E-01
   7123.00  1.6941942E-01
   7123.33  1.7798539E-01
   7123.67  1.8754706E-01
   7124.00  1.9887662E-01
   7124.33  2.1248726E-01
   7124.67  2.2777624E-01
   7125.00  2.4422695E-01
   7125.33  2.6132588E-01
   7125.67  2.7857753E-01
   7126.00  2.9564544E-01
   7126.33  3.1175920E-01
   7126.67  3.2594128E-01
   7127.00  3.3707728E-01
   7127.33  3.4373216E-01
   7127.67  3.4660836E-01
   7128.00  3.4695904E-01
   7128.33  3.4684226E-01
   7128.67  3.4821578E-01
   7129.00  3.5210985E-01
   7129.33  3.5942197E-01
   7129.67  3.6989966E-01
   7130.00  3.8351181E-01
   7130.33  4.0023062E-01
   7130.67  4.1884204E-01
   7131.00  4.3847899E-01
   7131.33  4.5853728E-01
   7131.67  4.7881571E-01
   7132.00  4.9943887E-01
   7132.33  5.2078823E-01
   7132.67  5.4303504E-01
   7133.00  5.6606205E-01
   7133.33  5.8888886E-01
   7133.67  6.0935681E-01
   7134.00  6.2482070E-01
   7134.33  6.3160634E-01
   7134.67  6.2983605E-01
   7135.00  6.2050792E-01
   7135.33  6.0518423E-01
   7135.67  5.8690166E-01
   7136.00  5.6749719E-01
   7136.33  5.4891559E-01
   7136.67  5.3249936E-01
   7137.00  5.1905064E-01
   7137.33  5.0937221E-01
   7137.67  5.0287630E-01
   7138.00  4.9909523E-01
   7138.33  4.9759143E-01
   7138.67  4.9750316E-01
   7139.00  4.9848474E-01
   7139.33  5.0043723E-01
   7139.67  5.0315283E-01
   7140.00  5.0654436E-01
   7140.33  5.1052022E-01
   7140.67  5.1480290E-01
