    FDMNES
    energy     <xanes>
   7097.00  4.3786677E-03
   7097.33  4.4757009E-03
   7097.67  4.5770566E-03
   7098.00  4.6830298E-03
   7098.33  4.7946260E-03
   7098.67  4.9116448E-03
   7099.00  5.0344905E-03
   7099.33  5.1644823E-03
   7099.67  5.3014179E-03
   7100.00  5.4458655E-03
   7100.33  5.5996032E-03
   7100.67  5.7624479E-03
   7101.00  5.9352242E-03
   7101.33  6.1204047E-03
   7101.67  6.3178735E-03
   7102.00  6.5288713E-03
   7102.33  6.7569679E-03
   7102.67  7.0022188E-03
   7103.00  7.2665754E-03
   7103.33  7.5554289E-03
   7103.67  7.8692424E-03
   7104.00  8.2112532E-03
   7104.33  8.5900691E-03
   7104.67  9.0071189E-03
   7105.00  9.4681426E-03
   7105.33  9.9878839E-03
   7105.67  1.0570161E-02
   7106.00  1.1226058E-02
   7106.33  1.1983251E-02
   7106.67  1.2851985E-02
   7107.00  1.3856262E-02
   7107.33  1.5054949E-02
   7107.67  1.6478070E-02
   7108.00  1.8186752E-02
   7108.33  2.0331200E-02
   7108.67  2.3016743E-02
   7109.00  2.6443007E-02
   7109.33  3.1121830E-02
   7109.67  3.7563956E-02
   7110.00  4.6750570E-02
   7110.33  6.1456172E-02
   7110.67  8.5159344E-02
   7111.00  1.2274297E-01
   7111.33  1.7897075E-01
   7111.67  2.3503696E-01
   7112.00  2.6457936E-01
   7112.33  2.9655306E-01
   7112.67  3.6912236E-01
   7113.00  4.4275349E-01
   7113.33  4.0826920E-01
   7113.67  3.0917965E-01
   7114.00  2.2280937E-01
   7114.33  1.7239941E-01
   7114.67  1.4269849E-01
   7115.00  1.2491824E-01
   7115.33  1.1406963E-01
   7115.67  1.0678481E-01
   7116.00  9.8533446E-02
   7116.33  8.4981545E-02
   7116.67  7.1978774E-02
   7117.00  6.2867567E-02
   7117.33  5.7860660E-02
   7117.67  5.5529020E-02
   7118.00  5.5293744E-02
   7118.33  5.6641437E-02
   7118.67  5.8541650E-02
   7119.00  6.0632206E-02
   7119.33  6.3779765E-02
   7119.67  6.8857294E-02
   7120.00  7.5916457E-02
   7120.33  8.4601618E-02
   7120.67  9.3990109E-02
   7121.00  1.0363799E-01
   7121.33  1.1372632E-01
   7121.67  1.2438206E-01
   7122.00  1.3514593E-01
   7122.33  1.4510883E-01
   7122.67  1.5425188E-01
   7123.00  1.6346588E-01
   7123.33  1.7423971E-01
   7123.67  1.8722943E-01
   7124.00  2.0254054E-01
   7124.33  2.1967521E-01
   7124.67  2.3789760E-01
   7125.00  2.5795338E-01
   7125.33  2.8178703E-01
   7125.67  3.0902821E-01
   7126.00  3.3801007E-01
   7126.33  3.6732754E-01
   7126.67  3.9841176E-01
   7127.00  4.3318329E-01
   7127.33  4.7252949E-01
   7127.67  5.1527318E-01
   7128.00  5.6071506E-01
   7128.33  6.0651128E-01
   7128.67  6.4662722E-01
   7129.00  6.7286783E-01
   7129.33  6.7416677E-01
   7129.67  6.5408760E-01
   7130.00  6.2054710E-01
   7130.33  5.8242536E-01
   7130.67  5.4551466E-01
   7131.00  5.1274431E-01
   7131.33  4.8824627E-01
   7131.67  4.7262816E-01
   7132.00  4.6435041E-01
   7132.33  4.5960645E-01
   7132.67  4.5487550E-01
   7133.00  4.4947634E-01
   7133.33  4.4349318E-01
   7133.67  4.3706913E-01
   7134.00  4.3023701E-01
   7134.33  4.2320323E-01
   7134.67  4.1637936E-01
   7135.00  4.1014243E-01
   7135.33  4.0501881E-01
   7135.67  4.0121170E-01
   7136.00  3.9893687E-01
   7136.33  3.9857932E-01
   7136.67  4.0000192E-01
   7137.00  4.0318246E-01
   7137.33  4.0819284E-01
   7137.67  4.1459856E-01
   7138.00  4.2214240E-01
   7138.33  4.3058118E-01
   7138.67  4.3944221E-01
   7139.00  4.4838246E-01
   7139.33  4.5691996E-01
   7139.67  4.6463870E-01
   7140.00  4.7118979E-01
   7140.33  4.7617358E-01
   7140.67  4.7981313E-01
   7141.00  4.8236374E-01
   7141.33  4.8421188E-01
   7141.67  4.8594852E-01
   7142.00  4.8796110E-01
   7142.33  4.9066107E-01
   7142.67  4.9417288E-01
   7143.00  4.9859204E-01
   7143.33  5.0410813E-01
   7143.67  5.1061876E-01
   7144.00  5.1807173E-01
   7144.33  5.2640278E-01
   7144.67  5.3534627E-01
   7145.00  5.4480130E-01
   7145.33  5.5475338E-01
   7145.67  5.6512987E-01
   7146.00  5.7594813E-01
   7146.33  5.8730247E-01
   7146.67  5.9915566E-01
   7147.00  6.1149996E-01
   7147.33  6.2434166E-01
   7147.67  6.3753239E-01
   7148.00  6.5096117E-01
   7148.33  6.6448446E-01
   7148.67  6.7792263E-01
   7149.00  6.9112590E-01
   7149.33  7.0387111E-01
   7149.67  7.1604490E-01
   7150.00  7.2751839E-01
   7150.33  7.3806395E-01
   7150.67  7.4769190E-01
   7151.00  7.5633963E-01
   7151.33  7.6382298E-01
   7151.67  7.7024515E-01
   7152.00  7.7560209E-01
   7152.33  7.7976967E-01
   7152.67  7.8290251E-01
   7153.00  7.8502972E-01
   7153.33  7.8607305E-01
   7153.67  7.8620063E-01
   7154.00  7.8545464E-01
   7154.33  7.8377952E-01
   7154.67  7.8132291E-01
   7155.00  7.7812031E-01
   7155.33  7.7412376E-01
   7155.67  7.6946495E-01
   7156.00  7.6418733E-01
   7156.33  7.5828169E-01
   7156.67  7.5188982E-01
   7157.00  7.4508097E-01
   7157.33  7.3790090E-01
   7157.67  7.3048314E-01
   7158.00  7.2290952E-01
   7158.33  7.1526782E-01
   7158.67  7.0765999E-01
   7159.00  7.0017010E-01
   7159.33  6.9292619E-01
   7159.67  6.8598366E-01
   7160.00  6.7938919E-01
   7160.33  6.7321260E-01
   7160.67  6.6739611E-01
   7161.00  6.6190282E-01
   7161.33  6.5669405E-01
   7161.67  6.5164788E-01
   7162.00  6.4667963E-01
   7162.33  6.4168952E-01
   7162.67  6.3659321E-01
   7163.00  6.3132995E-01
   7163.33  6.2581972E-01
   7163.67  6.2005562E-01
   7164.00  6.1401933E-01
   7164.33  6.0766040E-01
   7164.67  6.0100247E-01
   7165.00  5.9403595E-01
   7165.33  5.8671133E-01
   7165.67  5.7906354E-01
   7166.00  5.7109566E-01
   7166.33  5.6278453E-01
   7166.67  5.5419761E-01
   7167.00  5.4537252E-01
   7167.33  5.3634425E-01
   7167.67  5.2720624E-01
   7168.00  5.1802773E-01
   7168.33  5.0890128E-01
   7168.67  4.9991214E-01
   7169.00  4.9113866E-01
   7169.33  4.8270587E-01
   7169.67  4.7465786E-01
   7170.00  4.6706023E-01
   7170.33  4.6004766E-01
   7170.67  4.5361834E-01
   7171.00  4.4782437E-01
   7171.33  4.4282032E-01
   7171.67  4.3860931E-01
   7172.00  4.3528997E-01
