    FDMNES
    energy     <xanes>
   7097.00  4.4512579E-03
   7097.33  4.5461785E-03
   7097.67  4.6452019E-03
   7098.00  4.7486050E-03
   7098.33  4.8573371E-03
   7098.67  4.9712048E-03
   7099.00  5.0905877E-03
   7099.33  5.2167310E-03
   7099.67  5.3494407E-03
   7100.00  5.4892525E-03
   7100.33  5.6378464E-03
   7100.67  5.7950502E-03
   7101.00  5.9616452E-03
   7101.33  6.1399754E-03
   7101.67  6.3299395E-03
   7102.00  6.5327235E-03
   7102.33  6.7517312E-03
   7102.67  6.9870430E-03
   7103.00  7.2405457E-03
   7103.33  7.5174311E-03
   7103.67  7.8182136E-03
   7104.00  8.1460758E-03
   7104.33  8.5094338E-03
   7104.67  8.9098495E-03
   7105.00  9.3530977E-03
   7105.33  9.8539248E-03
   7105.67  1.0416557E-02
   7106.00  1.1052518E-02
   7106.33  1.1790434E-02
   7106.67  1.2642005E-02
   7107.00  1.3633373E-02
   7107.33  1.4828603E-02
   7107.67  1.6263823E-02
   7108.00  1.8010434E-02
   7108.33  2.0245311E-02
   7108.67  2.3106635E-02
   7109.00  2.6854587E-02
   7109.33  3.2174264E-02
   7109.67  3.9835732E-02
   7110.00  5.1344564E-02
   7110.33  7.1013661E-02
   7110.67  1.0334377E-01
   7111.00  1.4923335E-01
   7111.33  1.9635005E-01
   7111.67  2.3363049E-01
   7112.00  2.6306286E-01
   7112.33  2.9552784E-01
   7112.67  3.0978231E-01
   7113.00  2.7484036E-01
   7113.33  2.1193617E-01
   7113.67  1.6196140E-01
   7114.00  1.3277387E-01
   7114.33  1.2370294E-01
   7114.67  1.2512281E-01
   7115.00  1.2735531E-01
   7115.33  1.2101529E-01
   7115.67  1.0905018E-01
   7116.00  9.6762481E-02
   7116.33  8.7739737E-02
   7116.67  8.1958944E-02
   7117.00  7.8963199E-02
   7117.33  7.8353346E-02
   7117.67  7.8975138E-02
   7118.00  8.0025152E-02
   7118.33  8.1113214E-02
   7118.67  8.1836995E-02
   7119.00  8.2137710E-02
   7119.33  8.3443528E-02
   7119.67  8.6866098E-02
   7120.00  9.2483620E-02
   7120.33  9.9892879E-02
   7120.67  1.0824816E-01
   7121.00  1.1728558E-01
   7121.33  1.2716848E-01
   7121.67  1.3816658E-01
   7122.00  1.5066140E-01
   7122.33  1.6526419E-01
   7122.67  1.8199062E-01
   7123.00  2.0085344E-01
   7123.33  2.2166020E-01
   7123.67  2.4340148E-01
   7124.00  2.6546981E-01
   7124.33  2.8735682E-01
   7124.67  3.0801945E-01
   7125.00  3.2583650E-01
   7125.33  3.3861548E-01
   7125.67  3.4661426E-01
   7126.00  3.5059757E-01
   7126.33  3.5199457E-01
   7126.67  3.5373750E-01
   7127.00  3.5849763E-01
   7127.33  3.6945820E-01
   7127.67  3.8672025E-01
   7128.00  4.0917915E-01
   7128.33  4.3416481E-01
   7128.67  4.5819489E-01
   7129.00  4.7955204E-01
   7129.33  4.9705367E-01
   7129.67  5.1092102E-01
   7130.00  5.2139049E-01
   7130.33  5.2925137E-01
   7130.67  5.3615123E-01
   7131.00  5.4283771E-01
   7131.33  5.4957116E-01
   7131.67  5.5628874E-01
   7132.00  5.6304601E-01
   7132.33  5.7032411E-01
   7132.67  5.7867179E-01
   7133.00  5.8837155E-01
   7133.33  5.9926561E-01
   7133.67  6.1031227E-01
   7134.00  6.2051785E-01
   7134.33  6.2864302E-01
   7134.67  6.3431052E-01
   7135.00  6.3734816E-01
   7135.33  6.3760076E-01
   7135.67  6.3587261E-01
   7136.00  6.3281411E-01
   7136.33  6.2925772E-01
   7136.67  6.2609095E-01
   7137.00  6.2384522E-01
   7137.33  6.2299514E-01
   7137.67  6.2339171E-01
   7138.00  6.2485795E-01
   7138.33  6.2719141E-01
   7138.67  6.3000796E-01
   7139.00  6.3312547E-01
   7139.33  6.3645136E-01
   7139.67  6.3993849E-01
