    FDMNES
    energy     <xanes>
   7097.00  4.2100199E-03
   7097.33  4.2970639E-03
   7097.67  4.3876002E-03
   7098.00  4.4818468E-03
   7098.33  4.5805822E-03
   7098.67  4.6836180E-03
   7099.00  4.7912481E-03
   7099.33  4.9044744E-03
   7099.67  5.0231009E-03
   7100.00  5.1475349E-03
   7100.33  5.2791005E-03
   7100.67  5.4176083E-03
   7101.00  5.5636408E-03
   7101.33  5.7190054E-03
   7101.67  5.8835504E-03
   7102.00  6.0581431E-03
   7102.33  6.2453481E-03
   7102.67  6.4451230E-03
   7103.00  6.6588208E-03
   7103.33  6.8902609E-03
   7103.67  7.1396747E-03
   7104.00  7.4093007E-03
   7104.33  7.7051824E-03
   7104.67  8.0282262E-03
   7105.00  8.3824198E-03
   7105.33  8.7781053E-03
   7105.67  9.2179247E-03
   7106.00  9.7097036E-03
   7106.33  1.0273094E-02
   7106.67  1.0915634E-02
   7107.00  1.1654855E-02
   7107.33  1.2533997E-02
   7107.67  1.3576741E-02
   7108.00  1.4830703E-02
   7108.33  1.6414355E-02
   7108.67  1.8419834E-02
   7109.00  2.1021990E-02
   7109.33  2.4683953E-02
   7109.67  2.9933194E-02
   7110.00  3.7808275E-02
   7110.33  5.1310123E-02
   7110.67  7.3594907E-02
   7111.00  1.0473471E-01
   7111.33  1.3111975E-01
   7111.67  1.4463396E-01
   7112.00  1.4859160E-01
   7112.33  1.5411112E-01
   7112.67  1.7387148E-01
   7113.00  2.0012324E-01
   7113.33  2.1790651E-01
   7113.67  2.2318378E-01
   7114.00  1.9911211E-01
   7114.33  1.5396878E-01
   7114.67  1.1685180E-01
   7115.00  9.1983389E-02
   7115.33  7.7563353E-02
   7115.67  6.9648670E-02
   7116.00  6.6815826E-02
   7116.33  6.8362484E-02
   7116.67  7.2073624E-02
   7117.00  7.5978086E-02
   7117.33  7.8946911E-02
   7117.67  8.2078357E-02
   7118.00  8.6645839E-02
   7118.33  9.3992711E-02
   7118.67  1.0424283E-01
   7119.00  1.1704387E-01
   7119.33  1.3084769E-01
   7119.67  1.4331739E-01
   7120.00  1.5371004E-01
   7120.33  1.6286880E-01
   7120.67  1.7227276E-01
   7121.00  1.8254568E-01
   7121.33  1.9413718E-01
   7121.67  2.0680548E-01
   7122.00  2.1994916E-01
   7122.33  2.3291363E-01
   7122.67  2.4581811E-01
   7123.00  2.5878886E-01
   7123.33  2.7274955E-01
   7123.67  2.9002019E-01
   7124.00  3.1264377E-01
   7124.33  3.4112608E-01
   7124.67  3.7026986E-01
   7125.00  3.9297626E-01
   7125.33  4.0092937E-01
   7125.67  3.9694909E-01
   7126.00  3.8711623E-01
   7126.33  3.7972060E-01
   7126.67  3.8031639E-01
   7127.00  3.9083623E-01
   7127.33  4.1123742E-01
   7127.67  4.3679039E-01
   7128.00  4.6351673E-01
   7128.33  4.8692334E-01
   7128.67  5.0504269E-01
   7129.00  5.1775055E-01
   7129.33  5.2606821E-01
   7129.67  5.3219860E-01
   7130.00  5.3669328E-01
   7130.33  5.3870908E-01
   7130.67  5.3758571E-01
   7131.00  5.3322120E-01
   7131.33  5.2662050E-01
   7131.67  5.2011909E-01
   7132.00  5.1521843E-01
   7132.33  5.1320734E-01
   7132.67  5.1449025E-01
   7133.00  5.1975578E-01
   7133.33  5.2986786E-01
   7133.67  5.4374674E-01
   7134.00  5.6063164E-01
   7134.33  5.8011947E-01
   7134.67  6.0104046E-01
   7135.00  6.2206619E-01
   7135.33  6.4114372E-01
   7135.67  6.5718902E-01
   7136.00  6.6992147E-01
   7136.33  6.7954967E-01
   7136.67  6.8742343E-01
   7137.00  6.9435576E-01
   7137.33  7.0092065E-01
   7137.67  7.0737401E-01
   7138.00  7.1366078E-01
   7138.33  7.1951638E-01
   7138.67  7.2466732E-01
   7139.00  7.2876091E-01
   7139.33  7.3119158E-01
   7139.67  7.3194620E-01
   7140.00  7.3123241E-01
   7140.33  7.2966587E-01
   7140.67  7.2828477E-01
   7141.00  7.2776263E-01
   7141.33  7.2855055E-01
   7141.67  7.3016535E-01
   7142.00  7.3188850E-01
   7142.33  7.3262604E-01
   7142.67  7.3182696E-01
   7143.00  7.2944731E-01
   7143.33  7.2587191E-01
   7143.67  7.2203668E-01
   7144.00  7.1859654E-01
   7144.33  7.1619622E-01
   7144.67  7.1491739E-01
   7145.00  7.1466587E-01
   7145.33  7.1516974E-01
   7145.67  7.1582545E-01
   7146.00  7.1611741E-01
   7146.33  7.1533475E-01
   7146.67  7.1314394E-01
   7147.00  7.0932232E-01
   7147.33  7.0358398E-01
   7147.67  6.9622723E-01
   7148.00  6.8740241E-01
   7148.33  6.7715457E-01
   7148.67  6.6583914E-01
   7149.00  6.5361074E-01
   7149.33  6.4054503E-01
   7149.67  6.2691158E-01
   7150.00  6.1288330E-01
   7150.33  5.9867061E-01
   7150.67  5.8455046E-01
   7151.00  5.7074850E-01
   7151.33  5.5755152E-01
   7151.67  5.4502089E-01
   7152.00  5.3319508E-01
   7152.33  5.2216206E-01
   7152.67  5.1181678E-01
   7153.00  5.0214346E-01
   7153.33  4.9320847E-01
   7153.67  4.8491635E-01
   7154.00  4.7725446E-01
   7154.33  4.7027760E-01
   7154.67  4.6387876E-01
   7155.00  4.5802429E-01
   7155.33  4.5273019E-01
   7155.67  4.4788189E-01
   7156.00  4.4343148E-01
