    FDMNES
    energy     <xanes>
   7097.00  4.8588177E-03
   7097.33  4.9674773E-03
   7097.67  5.0808464E-03
   7098.00  5.1992376E-03
   7098.33  5.3237323E-03
   7098.67  5.4541015E-03
   7099.00  5.5907729E-03
   7099.33  5.7351596E-03
   7099.67  5.8870304E-03
   7100.00  6.0469871E-03
   7100.33  6.2169298E-03
   7100.67  6.3966504E-03
   7101.00  6.5870256E-03
   7101.33  6.7906994E-03
   7101.67  7.0075433E-03
   7102.00  7.2388881E-03
   7102.33  7.4885689E-03
   7102.67  7.7566646E-03
   7103.00  8.0452983E-03
   7103.33  8.3603250E-03
   7103.67  8.7023265E-03
   7104.00  9.0749040E-03
   7104.33  9.4875877E-03
   7104.67  9.9421886E-03
   7105.00  1.0445303E-02
   7105.33  1.1013767E-02
   7105.67  1.1652562E-02
   7106.00  1.2375033E-02
   7106.33  1.3214304E-02
   7106.67  1.4184385E-02
   7107.00  1.5316115E-02
   7107.33  1.6685034E-02
   7107.67  1.8335147E-02
   7108.00  2.0352527E-02
   7108.33  2.2950614E-02
   7108.67  2.6300290E-02
   7109.00  3.0721682E-02
   7109.33  3.7058576E-02
   7109.67  4.6269121E-02
   7110.00  6.0221874E-02
   7110.33  8.4292349E-02
   7110.67  1.2445974E-01
   7111.00  1.8398299E-01
   7111.33  2.5562965E-01
   7111.67  3.2084598E-01
   7112.00  3.4202396E-01
   7112.33  2.9060722E-01
   7112.67  2.2347240E-01
   7113.00  1.7060874E-01
   7113.33  1.3665081E-01
   7113.67  1.1349542E-01
   7114.00  9.7766135E-02
   7114.33  8.8208040E-02
   7114.67  8.2619889E-02
   7115.00  7.9846898E-02
   7115.33  7.9288663E-02
   7115.67  8.0490936E-02
   7116.00  8.3522857E-02
   7116.33  8.8634440E-02
   7116.67  9.5537468E-02
   7117.00  1.0410098E-01
   7117.33  1.1417195E-01
   7117.67  1.2533858E-01
   7118.00  1.3772093E-01
   7118.33  1.5184726E-01
   7118.67  1.6765584E-01
   7119.00  1.8497037E-01
   7119.33  2.0337224E-01
   7119.67  2.2185513E-01
   7120.00  2.3957248E-01
   7120.33  2.5580451E-01
   7120.67  2.7106871E-01
   7121.00  2.8637086E-01
   7121.33  3.0343913E-01
   7121.67  3.2339347E-01
   7122.00  3.4677779E-01
   7122.33  3.7369430E-01
   7122.67  4.0263199E-01
   7123.00  4.3241653E-01
   7123.33  4.6176612E-01
   7123.67  4.8897621E-01
   7124.00  5.1180455E-01
   7124.33  5.2768714E-01
   7124.67  5.3794416E-01
   7125.00  5.4440543E-01
   7125.33  5.4899488E-01
   7125.67  5.5289579E-01
   7126.00  5.5619719E-01
   7126.33  5.5906971E-01
   7126.67  5.6212530E-01
   7127.00  5.6566123E-01
   7127.33  5.6940218E-01
   7127.67  5.7262083E-01
   7128.00  5.7489483E-01
   7128.33  5.7606791E-01
   7128.67  5.7645410E-01
   7129.00  5.7624415E-01
   7129.33  5.7573822E-01
   7129.67  5.7540056E-01
   7130.00  5.7554837E-01
   7130.33  5.7641613E-01
   7130.67  5.7780923E-01
   7131.00  5.7945309E-01
   7131.33  5.8094899E-01
   7131.67  5.8211623E-01
   7132.00  5.8309263E-01
   7132.33  5.8440078E-01
   7132.67  5.8656234E-01
