    FDMNES
    energy     <xanes>
   7097.00  3.8240181E-03
   7097.33  3.8946605E-03
   7097.67  3.9678418E-03
   7098.00  4.0437132E-03
   7098.33  4.1228291E-03
   7098.67  4.2050450E-03
   7099.00  4.2905659E-03
   7099.33  4.3801042E-03
   7099.67  4.4735132E-03
   7100.00  4.5710807E-03
   7100.33  4.6737518E-03
   7100.67  4.7813913E-03
   7101.00  4.8944194E-03
   7101.33  5.0141405E-03
   7101.67  5.1404617E-03
   7102.00  5.2740272E-03
   7102.33  5.4167262E-03
   7102.67  5.5685797E-03
   7103.00  5.7306335E-03
   7103.33  5.9057948E-03
   7103.67  6.0943686E-03
   7104.00  6.2981778E-03
   7104.33  6.5220494E-03
   7104.67  6.7670072E-03
   7105.00  7.0365237E-03
   7105.33  7.3394314E-03
   7105.67  7.6786969E-03
   7106.00  8.0617406E-03
   7106.33  8.5069268E-03
   7106.67  9.0231168E-03
   7107.00  9.6288270E-03
   7107.33  1.0369548E-02
   7107.67  1.1275589E-02
   7108.00  1.2404602E-02
   7108.33  1.3902024E-02
   7108.67  1.5901652E-02
   7109.00  1.8655134E-02
   7109.33  2.2853800E-02
   7109.67  2.9399629E-02
   7110.00  4.0096395E-02
   7110.33  6.0123265E-02
   7110.67  9.2951148E-02
   7111.00  1.2819108E-01
   7111.33  1.2953544E-01
   7111.67  1.0811407E-01
   7112.00  8.5379933E-02
   7112.33  7.1636917E-02
   7112.67  6.4674351E-02
   7113.00  6.1152844E-02
   7113.33  5.7300089E-02
   7113.67  5.2086318E-02
   7114.00  4.6949653E-02
   7114.33  4.2303354E-02
   7114.67  3.6992594E-02
   7115.00  3.2107959E-02
   7115.33  2.9080369E-02
   7115.67  2.7465495E-02
   7116.00  2.6853628E-02
   7116.33  2.7013328E-02
   7116.67  2.7678053E-02
   7117.00  2.8763848E-02
   7117.33  3.0292919E-02
   7117.67  3.2251829E-02
   7118.00  3.4700014E-02
   7118.33  3.7785379E-02
   7118.67  4.1487630E-02
   7119.00  4.5760893E-02
   7119.33  5.0349306E-02
   7119.67  5.4668220E-02
   7120.00  5.8275851E-02
   7120.33  6.0950138E-02
   7120.67  6.3106870E-02
   7121.00  6.5136386E-02
   7121.33  6.7461513E-02
   7121.67  7.0348007E-02
   7122.00  7.4023413E-02
   7122.33  7.8879142E-02
   7122.67  8.5033536E-02
   7123.00  9.2690978E-02
   7123.33  1.0231949E-01
   7123.67  1.1395800E-01
   7124.00  1.2780353E-01
   7124.33  1.4428417E-01
   7124.67  1.6308215E-01
   7125.00  1.8405924E-01
   7125.33  2.0730085E-01
   7125.67  2.3257996E-01
   7126.00  2.6014557E-01
   7126.33  2.9060908E-01
   7126.67  3.2313997E-01
   7127.00  3.5614312E-01
   7127.33  3.8687343E-01
   7127.67  4.1493282E-01
   7128.00  4.4250435E-01
   7128.33  4.7415955E-01
   7128.67  5.1279628E-01
   7129.00  5.6013182E-01
   7129.33  6.1878551E-01
   7129.67  6.8885801E-01
   7130.00  7.7153480E-01
   7130.33  8.6889827E-01
   7130.67  9.7650568E-01
   7131.00  1.0870153E+00
   7131.33  1.1836405E+00
   7131.67  1.2502606E+00
   7132.00  1.2768386E+00
   7132.33  1.2577682E+00
   7132.67  1.2076553E+00
   7133.00  1.1386264E+00
   7133.33  1.0639194E+00
   7133.67  9.9418763E-01
   7134.00  9.3388288E-01
   7134.33  8.8547825E-01
   7134.67  8.4624928E-01
   7135.00  8.1427724E-01
   7135.33  7.8809691E-01
   7135.67  7.6548091E-01
   7136.00  7.4552613E-01
   7136.33  7.2784976E-01
   7136.67  7.1186831E-01
   7137.00  6.9744525E-01
   7137.33  6.8469222E-01
   7137.67  6.7338926E-01
   7138.00  6.6351610E-01
   7138.33  6.5521862E-01
   7138.67  6.4827881E-01
   7139.00  6.4264565E-01
   7139.33  6.3839241E-01
   7139.67  6.3527017E-01
   7140.00  6.3319131E-01
   7140.33  6.3216329E-01
   7140.67  6.3194931E-01
   7141.00  6.3243629E-01
   7141.33  6.3354954E-01
   7141.67  6.3506294E-01
   7142.00  6.3683450E-01
   7142.33  6.3870526E-01
   7142.67  6.4049582E-01
   7143.00  6.4206920E-01
   7143.33  6.4323768E-01
   7143.67  6.4392949E-01
   7144.00  6.4406993E-01
   7144.33  6.4352860E-01
   7144.67  6.4236055E-01
   7145.00  6.4057162E-01
   7145.33  6.3811552E-01
   7145.67  6.3510665E-01
   7146.00  6.3157583E-01
   7146.33  6.2748091E-01
   7146.67  6.2289394E-01
   7147.00  6.1781974E-01
   7147.33  6.1221075E-01
   7147.67  6.0615539E-01
   7148.00  5.9969654E-01
   7148.33  5.9286221E-01
   7148.67  5.8578145E-01
   7149.00  5.7853547E-01
   7149.33  5.7120088E-01
   7149.67  5.6386700E-01
   7150.00  5.5659502E-01
   7150.33  5.4945495E-01
   7150.67  5.4247024E-01
   7151.00  5.3566142E-01
   7151.33  5.2906243E-01
   7151.67  5.2264758E-01
   7152.00  5.1640552E-01
   7152.33  5.1033055E-01
   7152.67  5.0436892E-01
   7153.00  4.9848413E-01
   7153.33  4.9264179E-01
   7153.67  4.8680068E-01
   7154.00  4.8091809E-01
   7154.33  4.7492895E-01
   7154.67  4.6879968E-01
   7155.00  4.6250128E-01
   7155.33  4.5599058E-01
   7155.67  4.4929084E-01
   7156.00  4.4241943E-01
   7156.33  4.3539970E-01
   7156.67  4.2830570E-01
   7157.00  4.2119731E-01
   7157.33  4.1415805E-01
   7157.67  4.0725648E-01
   7158.00  4.0055354E-01
   7158.33  3.9414288E-01
   7158.67  3.8804152E-01
   7159.00  3.8228300E-01
   7159.33  3.7694270E-01
   7159.67  3.7199311E-01
   7160.00  3.6744302E-01
   7160.33  3.6334435E-01
   7160.67  3.5964296E-01
   7161.00  3.5633740E-01
   7161.33  3.5347198E-01
   7161.67  3.5098177E-01
   7162.00  3.4884964E-01
   7162.33  3.4709308E-01
   7162.67  3.4564488E-01
   7163.00  3.4448629E-01
   7163.33  3.4362739E-01
   7163.67  3.4302022E-01
   7164.00  3.4266530E-01
   7164.33  3.4259689E-01
   7164.67  3.4278728E-01
   7165.00  3.4324168E-01
   7165.33  3.4399796E-01
   7165.67  3.4502336E-01
   7166.00  3.4631555E-01
   7166.33  3.4790003E-01
   7166.67  3.4973088E-01
   7167.00  3.5179195E-01
   7167.33  3.5408680E-01
   7167.67  3.5656341E-01
   7168.00  3.5919699E-01
   7168.33  3.6197263E-01
   7168.67  3.6484209E-01
   7169.00  3.6777653E-01
   7169.33  3.7074642E-01
   7169.67  3.7371460E-01
   7170.00  3.7665238E-01
   7170.33  3.7951738E-01
   7170.67  3.8228084E-01
   7171.00  3.8490574E-01
   7171.33  3.8730783E-01
   7171.67  3.8941504E-01
   7172.00  3.9110827E-01
