    FDMNES
    energy     <xanes>
   7097.00  4.1202622E-03
   7097.33  4.2090121E-03
   7097.67  4.3016312E-03
   7098.00  4.3983844E-03
   7098.33  4.5001733E-03
   7098.67  4.6068214E-03
   7099.00  4.7186939E-03
   7099.33  4.8369796E-03
   7099.67  4.9615046E-03
   7100.00  5.0927877E-03
   7100.33  5.2324435E-03
   7100.67  5.3803244E-03
   7101.00  5.5371941E-03
   7101.33  5.7053231E-03
   7101.67  5.8846439E-03
   7102.00  6.0763275E-03
   7102.33  6.2837055E-03
   7102.67  6.5069097E-03
   7103.00  6.7478281E-03
   7103.33  7.0116091E-03
   7103.67  7.2988609E-03
   7104.00  7.6128210E-03
   7104.33  7.9619787E-03
   7104.67  8.3481021E-03
   7105.00  8.7771915E-03
   7105.33  9.2644582E-03
   7105.67  9.8146772E-03
   7106.00  1.0440157E-02
   7106.33  1.1171329E-02
   7106.67  1.2021646E-02
   7107.00  1.3020100E-02
   7107.33  1.4237665E-02
   7107.67  1.5717391E-02
   7108.00  1.7542675E-02
   7108.33  1.9921392E-02
   7108.67  2.3027808E-02
   7109.00  2.7189174E-02
   7109.33  3.3282150E-02
   7109.67  4.2360012E-02
   7110.00  5.6502890E-02
   7110.33  8.1711006E-02
   7110.67  1.2360624E-01
   7111.00  1.7882847E-01
   7111.33  2.1735248E-01
   7111.67  2.2988216E-01
   7112.00  2.3079050E-01
   7112.33  2.3321257E-01
   7112.67  2.2905069E-01
   7113.00  2.1029822E-01
   7113.33  1.8026408E-01
   7113.67  1.5042019E-01
   7114.00  1.2558902E-01
   7114.33  1.0703037E-01
   7114.67  9.2819609E-02
   7115.00  8.2063329E-02
   7115.33  7.4436397E-02
   7115.67  6.9106801E-02
   7116.00  6.5774217E-02
   7116.33  6.4320278E-02
   7116.67  6.4228502E-02
   7117.00  6.5331107E-02
   7117.33  6.7806151E-02
   7117.67  7.1732546E-02
   7118.00  7.7267353E-02
   7118.33  8.4308493E-02
   7118.67  9.1638574E-02
   7119.00  9.8043599E-02
   7119.33  1.0265600E-01
   7119.67  1.0597857E-01
   7120.00  1.0845341E-01
   7120.33  1.1106209E-01
   7120.67  1.1502091E-01
   7121.00  1.2098723E-01
   7121.33  1.2942676E-01
   7121.67  1.4009464E-01
   7122.00  1.5323986E-01
   7122.33  1.6910276E-01
   7122.67  1.8638330E-01
   7123.00  2.0443359E-01
   7123.33  2.2396826E-01
   7123.67  2.4628286E-01
   7124.00  2.7233587E-01
   7124.33  3.0197441E-01
   7124.67  3.3190725E-01
   7125.00  3.5856693E-01
   7125.33  3.7792499E-01
   7125.67  3.8965757E-01
   7126.00  3.9409415E-01
   7126.33  3.9241810E-01
   7126.67  3.8837277E-01
   7127.00  3.8415529E-01
   7127.33  3.8063282E-01
   7127.67  3.7696044E-01
   7128.00  3.7215988E-01
   7128.33  3.6590169E-01
   7128.67  3.6002680E-01
   7129.00  3.5689387E-01
   7129.33  3.5923666E-01
   7129.67  3.6691000E-01
   7130.00  3.7923675E-01
   7130.33  3.9547979E-01
   7130.67  4.1379135E-01
   7131.00  4.3218507E-01
   7131.33  4.4691704E-01
   7131.67  4.5591152E-01
   7132.00  4.5939641E-01
   7132.33  4.5935698E-01
   7132.67  4.5860003E-01
   7133.00  4.5832915E-01
   7133.33  4.5932136E-01
   7133.67  4.6163650E-01
   7134.00  4.6517358E-01
   7134.33  4.6968906E-01
   7134.67  4.7470334E-01
   7135.00  4.7999917E-01
   7135.33  4.8540332E-01
   7135.67  4.9070199E-01
   7136.00  4.9572755E-01
   7136.33  5.0044761E-01
   7136.67  5.0528795E-01
   7137.00  5.1084664E-01
   7137.33  5.1803510E-01
   7137.67  5.2719199E-01
   7138.00  5.3853709E-01
   7138.33  5.5238891E-01
   7138.67  5.6825732E-01
   7139.00  5.8563908E-01
   7139.33  6.0349000E-01
   7139.67  6.2026401E-01
   7140.00  6.3474204E-01
   7140.33  6.4566070E-01
   7140.67  6.5326615E-01
   7141.00  6.5783701E-01
   7141.33  6.5960121E-01
   7141.67  6.5951651E-01
   7142.00  6.5820466E-01
   7142.33  6.5639163E-01
   7142.67  6.5489487E-01
   7143.00  6.5425793E-01
   7143.33  6.5502827E-01
   7143.67  6.5714437E-01
   7144.00  6.6047427E-01
   7144.33  6.6478703E-01
   7144.67  6.6956216E-01
   7145.00  6.7452001E-01
   7145.33  6.7954374E-01
   7145.67  6.8473074E-01
   7146.00  6.9028357E-01
   7146.33  6.9651124E-01
   7146.67  7.0344872E-01
   7147.00  7.1104052E-01
   7147.33  7.1911044E-01
   7147.67  7.2725939E-01
   7148.00  7.3516098E-01
   7148.33  7.4239528E-01
   7148.67  7.4876889E-01
   7149.00  7.5412012E-01
   7149.33  7.5817811E-01
   7149.67  7.6100367E-01
   7150.00  7.6255242E-01
   7150.33  7.6264537E-01
   7150.67  7.6147467E-01
   7151.00  7.5911216E-01
   7151.33  7.5555642E-01
   7151.67  7.5109291E-01
   7152.00  7.4585900E-01
   7152.33  7.3994843E-01
   7152.67  7.3360225E-01
   7153.00  7.2694730E-01
   7153.33  7.2007948E-01
   7153.67  7.1310981E-01
   7154.00  7.0608954E-01
   7154.33  6.9905076E-01
   7154.67  6.9200364E-01
   7155.00  6.8493575E-01
   7155.33  6.7780492E-01
   7155.67  6.7056664E-01
   7156.00  6.6317054E-01
   7156.33  6.5553176E-01
   7156.67  6.4762962E-01
   7157.00  6.3943736E-01
   7157.33  6.3090784E-01
   7157.67  6.2209127E-01
   7158.00  6.1301101E-01
   7158.33  6.0368030E-01
   7158.67  5.9418141E-01
   7159.00  5.8457005E-01
   7159.33  5.7491387E-01
   7159.67  5.6529393E-01
   7160.00  5.5577372E-01
   7160.33  5.4644550E-01
   7160.67  5.3736322E-01
   7161.00  5.2858893E-01
   7161.33  5.2022340E-01
   7161.67  5.1225833E-01
   7162.00  5.0471326E-01
   7162.33  4.9765241E-01
   7162.67  4.9101998E-01
   7163.00  4.8480251E-01
   7163.33  4.7901281E-01
   7163.67  4.7354445E-01
   7164.00  4.6832825E-01
   7164.33  4.6328852E-01
   7164.67  4.5830722E-01
   7165.00  4.5330992E-01
   7165.33  4.4823164E-01
   7165.67  4.4306785E-01
   7166.00  4.3783913E-01
   7166.33  4.3259263E-01
   7166.67  4.2739726E-01
   7167.00  4.2231782E-01
   7167.33  4.1745248E-01
   7167.67  4.1284332E-01
   7168.00  4.0853708E-01
   7168.33  4.0461911E-01
   7168.67  4.0107708E-01
   7169.00  3.9793030E-01
   7169.33  3.9524601E-01
   7169.67  3.9298334E-01
   7170.00  3.9114756E-01
   7170.33  3.8979198E-01
   7170.67  3.8885277E-01
   7171.00  3.8830718E-01
   7171.33  3.8814187E-01
   7171.67  3.8820460E-01
   7172.00  3.8834378E-01
