    FDMNES
    energy     <xanes>
   7097.00  4.3176521E-03
   7097.33  4.4034674E-03
   7097.67  4.4925742E-03
   7098.00  4.5851714E-03
   7098.33  4.6819819E-03
   7098.67  4.7828203E-03
   7099.00  4.8879540E-03
   7099.33  4.9983092E-03
   7099.67  5.1136934E-03
   7100.00  5.2344777E-03
   7100.33  5.3618826E-03
   7100.67  5.4957230E-03
   7101.00  5.6365318E-03
   7101.33  5.7859747E-03
   7101.67  5.9439064E-03
   7102.00  6.1111265E-03
   7102.33  6.2900081E-03
   7102.67  6.4805197E-03
   7103.00  6.6839265E-03
   7103.33  6.9037958E-03
   7103.67  7.1403855E-03
   7104.00  7.3958317E-03
   7104.33  7.6758761E-03
   7104.67  7.9815025E-03
   7105.00  8.3166260E-03
   7105.33  8.6913378E-03
   7105.67  9.1085367E-03
   7106.00  9.5762023E-03
   7106.33  1.0114257E-02
   7106.67  1.0731186E-02
   7107.00  1.1445747E-02
   7107.33  1.2304087E-02
   7107.67  1.3333857E-02
   7108.00  1.4589065E-02
   7108.33  1.6204572E-02
   7108.67  1.8293085E-02
   7109.00  2.1066525E-02
   7109.33  2.5092212E-02
   7109.67  3.1049088E-02
   7110.00  4.0274970E-02
   7110.33  5.6609625E-02
   7110.67  8.3590250E-02
   7111.00  1.1953345E-01
   7111.33  1.5248095E-01
   7111.67  1.7371571E-01
   7112.00  1.6700326E-01
   7112.33  1.4081303E-01
   7112.67  1.1690530E-01
   7113.00  9.7858183E-02
   7113.33  8.2175991E-02
   7113.67  6.7429669E-02
   7114.00  5.5998180E-02
   7114.33  4.9732849E-02
   7114.67  4.5945500E-02
   7115.00  4.3605868E-02
   7115.33  4.3292454E-02
   7115.67  4.4671439E-02
   7116.00  4.7460500E-02
   7116.33  5.1676083E-02
   7116.67  5.7133085E-02
   7117.00  6.3745408E-02
   7117.33  7.1473915E-02
   7117.67  8.0080252E-02
   7118.00  8.9546429E-02
   7118.33  1.0004083E-01
   7118.67  1.1150765E-01
   7119.00  1.2385008E-01
   7119.33  1.3649867E-01
   7119.67  1.4796372E-01
   7120.00  1.5650345E-01
   7120.33  1.6108094E-01
   7120.67  1.6560115E-01
   7121.00  1.7483051E-01
   7121.33  1.9327528E-01
   7121.67  2.2065286E-01
   7122.00  2.5605607E-01
   7122.33  2.9710116E-01
   7122.67  3.3870555E-01
   7123.00  3.7762426E-01
   7123.33  4.1155453E-01
   7123.67  4.4026446E-01
   7124.00  4.6313801E-01
   7124.33  4.8000263E-01
   7124.67  4.9296694E-01
   7125.00  5.0192124E-01
   7125.33  5.0569080E-01
   7125.67  5.0644191E-01
   7126.00  5.0646876E-01
   7126.33  5.0814061E-01
   7126.67  5.1342113E-01
   7127.00  5.2388874E-01
   7127.33  5.4059270E-01
   7127.67  5.6245275E-01
   7128.00  5.8919638E-01
   7128.33  6.2020407E-01
   7128.67  6.5263516E-01
   7129.00  6.8398274E-01
   7129.33  7.1128919E-01
   7129.67  7.3346010E-01
   7130.00  7.4986327E-01
   7130.33  7.5928619E-01
   7130.67  7.6186942E-01
   7131.00  7.5690669E-01
   7131.33  7.4316370E-01
   7131.67  7.2299511E-01
   7132.00  6.9926989E-01
   7132.33  6.7673910E-01
   7132.67  6.5968268E-01
   7133.00  6.5052305E-01
   7133.33  6.5066744E-01
   7133.67  6.5679150E-01
   7134.00  6.6582837E-01
   7134.33  6.7518159E-01
   7134.67  6.8394183E-01
   7135.00  6.9173539E-01
   7135.33  6.9752490E-01
   7135.67  7.0094011E-01
   7136.00  7.0231985E-01
   7136.33  7.0307291E-01
   7136.67  7.0518627E-01
   7137.00  7.0981428E-01
   7137.33  7.1728372E-01
   7137.67  7.2584743E-01
   7138.00  7.3376336E-01
   7138.33  7.3917066E-01
   7138.67  7.4177686E-01
   7139.00  7.4170314E-01
   7139.33  7.3887006E-01
   7139.67  7.3352577E-01
   7140.00  7.2543037E-01
   7140.33  7.1397297E-01
   7140.67  6.9953732E-01
   7141.00  6.8236559E-01
   7141.33  6.6267042E-01
   7141.67  6.4136859E-01
   7142.00  6.1905817E-01
   7142.33  5.9637795E-01
   7142.67  5.7394133E-01
   7143.00  5.5209428E-01
   7143.33  5.3118057E-01
   7143.67  5.1120863E-01
   7144.00  4.9220639E-01
   7144.33  4.7428596E-01
   7144.67  4.5732004E-01
   7145.00  4.4133429E-01
   7145.33  4.2654646E-01
   7145.67  4.1296411E-01
   7146.00  4.0073279E-01
   7146.33  3.9019617E-01
   7146.67  3.8125973E-01
   7147.00  3.7392721E-01
   7147.33  3.6828970E-01
   7147.67  3.6396898E-01
   7148.00  3.6076687E-01
   7148.33  3.5857787E-01
   7148.67  3.5712193E-01
   7149.00  3.5630519E-01
   7149.33  3.5613674E-01
   7149.67  3.5650103E-01
   7150.00  3.5735543E-01
   7150.33  3.5871131E-01
   7150.67  3.6049726E-01
   7151.00  3.6272965E-01
   7151.33  3.6550816E-01
   7151.67  3.6881424E-01
   7152.00  3.7266909E-01
   7152.33  3.7711977E-01
   7152.67  3.8199997E-01
   7153.00  3.8714284E-01
   7153.33  3.9227024E-01
   7153.67  3.9705865E-01
   7154.00  4.0123309E-01
   7154.33  4.0442267E-01
   7154.67  4.0658016E-01
   7155.00  4.0766542E-01
   7155.33  4.0759086E-01
   7155.67  4.0657835E-01
   7156.00  4.0471786E-01
   7156.33  4.0201002E-01
   7156.67  3.9862965E-01
   7157.00  3.9464196E-01
   7157.33  3.9006491E-01
   7157.67  3.8506469E-01
   7158.00  3.7974258E-01
   7158.33  3.7420489E-01
   7158.67  3.6861243E-01
   7159.00  3.6308266E-01
   7159.33  3.5777565E-01
   7159.67  3.5280118E-01
   7160.00  3.4827236E-01
   7160.33  3.4438802E-01
   7160.67  3.4119846E-01
   7161.00  3.3880364E-01
   7161.33  3.3742578E-01
   7161.67  3.3705325E-01
   7162.00  3.3776644E-01
   7162.33  3.3979193E-01
   7162.67  3.4304697E-01
   7163.00  3.4757343E-01
   7163.33  3.5356095E-01
   7163.67  3.6083922E-01
   7164.00  3.6936484E-01
   7164.33  3.7917882E-01
   7164.67  3.8997150E-01
   7165.00  4.0154394E-01
   7165.33  4.1365983E-01
   7165.67  4.2589989E-01
   7166.00  4.3792055E-01
   7166.33  4.4923064E-01
   7166.67  4.5952333E-01
   7167.00  4.6852224E-01
   7167.33  4.7581581E-01
   7167.67  4.8150310E-01
   7168.00  4.8561734E-01
   7168.33  4.8813755E-01
   7168.67  4.8949516E-01
   7169.00  4.8995864E-01
   7169.33  4.8979370E-01
   7169.67  4.8939281E-01
   7170.00  4.8899757E-01
   7170.33  4.8885526E-01
   7170.67  4.8907487E-01
   7171.00  4.8970131E-01
   7171.33  4.9073796E-01
   7171.67  4.9197539E-01
   7172.00  4.9317234E-01
