    FDMNES
    energy     <xanes>
   7097.00  4.8985523E-03
   7097.33  5.0127788E-03
   7097.67  5.1320915E-03
   7098.00  5.2568300E-03
   7098.33  5.3881647E-03
   7098.67  5.5258498E-03
   7099.00  5.6703484E-03
   7099.33  5.8231880E-03
   7099.67  5.9841179E-03
   7100.00  6.1537864E-03
   7100.33  6.3342424E-03
   7100.67  6.5252546E-03
   7101.00  6.7277613E-03
   7101.33  6.9446004E-03
   7101.67  7.1756157E-03
   7102.00  7.4222194E-03
   7102.33  7.6884992E-03
   7102.67  7.9744987E-03
   7103.00  8.2824464E-03
   7103.33  8.6185221E-03
   7103.67  8.9832564E-03
   7104.00  9.3803776E-03
   7104.33  9.8198137E-03
   7104.67  1.0303281E-02
   7105.00  1.0837498E-02
   7105.33  1.1439708E-02
   7105.67  1.2114666E-02
   7106.00  1.2875698E-02
   7106.33  1.3756039E-02
   7106.67  1.4768991E-02
   7107.00  1.5944684E-02
   7107.33  1.7357109E-02
   7107.67  1.9047626E-02
   7108.00  2.1098410E-02
   7108.33  2.3713265E-02
   7108.67  2.7051021E-02
   7109.00  3.1411178E-02
   7109.33  3.7582490E-02
   7109.67  4.6450402E-02
   7110.00  5.9745417E-02
   7110.33  8.2426697E-02
   7110.67  1.1975235E-01
   7111.00  1.7343073E-01
   7111.33  2.3322747E-01
   7111.67  2.8499297E-01
   7112.00  3.1149314E-01
   7112.33  3.0654953E-01
   7112.67  2.8980691E-01
   7113.00  2.6532313E-01
   7113.33  2.3485381E-01
   7113.67  2.0421169E-01
   7114.00  1.7852214E-01
   7114.33  1.6166983E-01
   7114.67  1.4985232E-01
   7115.00  1.3926255E-01
   7115.33  1.2970939E-01
   7115.67  1.2463740E-01
   7116.00  1.2687410E-01
   7116.33  1.3943682E-01
   7116.67  1.6016634E-01
   7117.00  1.8255246E-01
   7117.33  1.9340586E-01
   7117.67  1.9371696E-01
   7118.00  1.9300802E-01
   7118.33  2.0003935E-01
   7118.67  2.1280836E-01
   7119.00  2.2654819E-01
   7119.33  2.3931776E-01
   7119.67  2.5176428E-01
   7120.00  2.6278148E-01
   7120.33  2.7115188E-01
   7120.67  2.7727078E-01
   7121.00  2.8163244E-01
   7121.33  2.8682399E-01
   7121.67  2.9648795E-01
   7122.00  3.1266379E-01
   7122.33  3.3625285E-01
   7122.67  3.6431140E-01
   7123.00  3.9406045E-01
   7123.33  4.2289421E-01
