    FDMNES
    energy     <xanes>
   7097.00  5.0283555E-03
   7097.33  5.1477078E-03
   7097.67  5.2724934E-03
   7098.00  5.4030787E-03
   7098.33  5.5407187E-03
   7098.67  5.6851537E-03
   7099.00  5.8368810E-03
   7099.33  5.9975372E-03
   7099.67  6.1668536E-03
   7100.00  6.3455227E-03
   7100.33  6.5357324E-03
   7100.67  6.7372276E-03
   7101.00  6.9510012E-03
   7101.33  7.1800650E-03
   7101.67  7.4242276E-03
   7102.00  7.6849640E-03
   7102.33  7.9665687E-03
   7102.67  8.2690252E-03
   7103.00  8.5946197E-03
   7103.33  8.9497446E-03
   7103.67  9.3348111E-03
   7104.00  9.7535532E-03
   7104.33  1.0216013E-02
   7104.67  1.0723630E-02
   7105.00  1.1282925E-02
   7105.33  1.1910808E-02
   7105.67  1.2611298E-02
   7106.00  1.3396824E-02
   7106.33  1.4298669E-02
   7106.67  1.5327908E-02
   7107.00  1.6511329E-02
   7107.33  1.7915096E-02
   7107.67  1.9572786E-02
   7108.00  2.1553736E-02
   7108.33  2.4030138E-02
   7108.67  2.7127963E-02
   7109.00  3.1089207E-02
   7109.33  3.6551860E-02
   7109.67  4.4218350E-02
   7110.00  5.5472877E-02
   7110.33  7.4226772E-02
   7110.67  1.0377660E-01
   7111.00  1.4141904E-01
   7111.33  1.7137308E-01
   7111.67  1.9363570E-01
   7112.00  2.2466727E-01
   7112.33  2.8200641E-01
   7112.67  3.5476897E-01
   7113.00  4.1545765E-01
   7113.33  4.3253387E-01
   7113.67  4.1709663E-01
   7114.00  4.1197957E-01
   7114.33  4.2317639E-01
   7114.67  3.9888605E-01
   7115.00  3.3317685E-01
   7115.33  2.6913278E-01
   7115.67  2.3333232E-01
   7116.00  2.2979808E-01
   7116.33  2.5754424E-01
   7116.67  2.8971423E-01
   7117.00  2.9459310E-01
   7117.33  2.6475958E-01
   7117.67  2.3012227E-01
   7118.00  2.0364374E-01
   7118.33  1.8807531E-01
   7118.67  1.7917956E-01
   7119.00  1.7440147E-01
   7119.33  1.7215107E-01
   7119.67  1.7128530E-01
   7120.00  1.7129138E-01
   7120.33  1.7003543E-01
   7120.67  1.6466908E-01
   7121.00  1.5554490E-01
   7121.33  1.4703952E-01
   7121.67  1.4203805E-01
   7122.00  1.4067369E-01
   7122.33  1.4236270E-01
   7122.67  1.4580048E-01
   7123.00  1.5041018E-01
   7123.33  1.5565429E-01
   7123.67  1.6086257E-01
   7124.00  1.6587702E-01
   7124.33  1.7093484E-01
   7124.67  1.7644369E-01
   7125.00  1.8283604E-01
   7125.33  1.9080245E-01
   7125.67  2.0054370E-01
   7126.00  2.1219770E-01
   7126.33  2.2596699E-01
   7126.67  2.4146031E-01
   7127.00  2.5850869E-01
   7127.33  2.7720386E-01
   7127.67  2.9759004E-01
   7128.00  3.2000392E-01
   7128.33  3.4475995E-01
   7128.67  3.7110258E-01
   7129.00  3.9855599E-01
   7129.33  4.2732301E-01
   7129.67  4.5774677E-01
   7130.00  4.9001831E-01
   7130.33  5.2479490E-01
   7130.67  5.6343092E-01
   7131.00  6.0711818E-01
   7131.33  6.5489732E-01
   7131.67  7.0300045E-01
   7132.00  7.4934524E-01
   7132.33  7.9334127E-01
   7132.67  8.3631128E-01
   7133.00  8.7891975E-01
   7133.33  9.2106877E-01
   7133.67  9.6297672E-01
   7134.00  1.0056734E+00
   7134.33  1.0499858E+00
   7134.67  1.0913557E+00
   7135.00  1.1192142E+00
   7135.33  1.1139909E+00
   7135.67  1.0723371E+00
   7136.00  1.0011657E+00
   7136.33  9.1477333E-01
   7136.67  8.2842054E-01
   7137.00  7.4845860E-01
   7137.33  6.7876950E-01
   7137.67  6.1842410E-01
   7138.00  5.6688177E-01
   7138.33  5.2435557E-01
   7138.67  4.8910903E-01
   7139.00  4.6059438E-01
   7139.33  4.3906707E-01
   7139.67  4.2339123E-01
   7140.00  4.1333816E-01
   7140.33  4.0919823E-01
   7140.67  4.0969210E-01
   7141.00  4.1408672E-01
   7141.33  4.2174852E-01
   7141.67  4.3127970E-01
   7142.00  4.4186389E-01
   7142.33  4.5278421E-01
   7142.67  4.6353152E-01
   7143.00  4.7392874E-01
   7143.33  4.8393028E-01
   7143.67  4.9369192E-01
   7144.00  5.0330841E-01
   7144.33  5.1278704E-01
   7144.67  5.2201572E-01
   7145.00  5.3075678E-01
   7145.33  5.3851150E-01
   7145.67  5.4494876E-01
   7146.00  5.4971204E-01
   7146.33  5.5224257E-01
   7146.67  5.5263288E-01
   7147.00  5.5087290E-01
   7147.33  5.4688024E-01
   7147.67  5.4127091E-01
   7148.00  5.3448676E-01
   7148.33  5.2708070E-01
   7148.67  5.1981743E-01
   7149.00  5.1329739E-01
   7149.33  5.0834035E-01
   7149.67  5.0527148E-01
   7150.00  5.0431945E-01
   7150.33  5.0579677E-01
   7150.67  5.0927563E-01
   7151.00  5.1450441E-01
   7151.33  5.2129278E-01
   7151.67  5.2909482E-01
   7152.00  5.3763098E-01
   7152.33  5.4670684E-01
   7152.67  5.5607164E-01
   7153.00  5.6558507E-01
   7153.33  5.7507706E-01
   7153.67  5.8436403E-01
   7154.00  5.9327831E-01
   7154.33  6.0157078E-01
   7154.67  6.0917397E-01
   7155.00  6.1601969E-01
   7155.33  6.2199227E-01
   7155.67  6.2722499E-01
   7156.00  6.3177908E-01
   7156.33  6.3566923E-01
   7156.67  6.3905767E-01
   7157.00  6.4200911E-01
   7157.33  6.4453217E-01
   7157.67  6.4670911E-01
   7158.00  6.4855435E-01
   7158.33  6.5002907E-01
