    FDMNES
    energy     <xanes>
   7097.00  5.0893439E-03
   7097.33  5.2123520E-03
   7097.67  5.3410831E-03
   7098.00  5.4759367E-03
   7098.33  5.6182582E-03
   7098.67  5.7677944E-03
   7099.00  5.9250951E-03
   7099.33  6.0919365E-03
   7099.67  6.2680671E-03
   7100.00  6.4542652E-03
   7100.33  6.6529416E-03
   7100.67  6.8638798E-03
   7101.00  7.0882187E-03
   7101.33  7.3293401E-03
   7101.67  7.5871357E-03
   7102.00  7.8633386E-03
   7102.33  8.1628844E-03
   7102.67  8.4859358E-03
   7103.00  8.8352570E-03
   7103.33  9.2184084E-03
   7103.67  9.6361967E-03
   7104.00  1.0093293E-02
   7104.33  1.0601997E-02
   7104.67  1.1164663E-02
   7105.00  1.1789780E-02
   7105.33  1.2498961E-02
   7105.67  1.3298490E-02
   7106.00  1.4205318E-02
   7106.33  1.5261493E-02
   7106.67  1.6484303E-02
   7107.00  1.7912226E-02
   7107.33  1.9639459E-02
   7107.67  2.1719241E-02
   7108.00  2.4256611E-02
   7108.33  2.7511643E-02
   7108.67  3.1687429E-02
   7109.00  3.7166080E-02
   7109.33  4.4952916E-02
   7109.67  5.6175262E-02
   7110.00  7.3035080E-02
   7110.33  1.0183601E-01
   7110.67  1.4920119E-01
   7111.00  2.1692337E-01
   7111.33  2.8994373E-01
   7111.67  3.5238381E-01
   7112.00  3.9552629E-01
   7112.33  4.0996942E-01
   7112.67  3.9933804E-01
   7113.00  3.7498744E-01
   7113.33  3.4482551E-01
   7113.67  3.0597430E-01
   7114.00  2.5805140E-01
   7114.33  2.1103286E-01
   7114.67  1.7328466E-01
   7115.00  1.4591419E-01
   7115.33  1.2770339E-01
   7115.67  1.1530528E-01
   7116.00  1.0766588E-01
   7116.33  1.0462830E-01
   7116.67  1.0491913E-01
   7117.00  1.0773526E-01
   7117.33  1.1211671E-01
   7117.67  1.1648697E-01
   7118.00  1.1977261E-01
   7118.33  1.2144859E-01
   7118.67  1.2245106E-01
   7119.00  1.2384964E-01
   7119.33  1.2674700E-01
   7119.67  1.3116309E-01
   7120.00  1.3695877E-01
   7120.33  1.4443538E-01
   7120.67  1.5391478E-01
   7121.00  1.6573331E-01
   7121.33  1.8001266E-01
   7121.67  1.9630150E-01
   7122.00  2.1454716E-01
   7122.33  2.3423075E-01
   7122.67  2.5453592E-01
   7123.00  2.7597695E-01
   7123.33  3.0038615E-01
   7123.67  3.2833647E-01
   7124.00  3.5936228E-01
   7124.33  3.9173356E-01
   7124.67  4.2304001E-01
   7125.00  4.5225386E-01
   7125.33  4.7955971E-01
   7125.67  5.0654822E-01
   7126.00  5.3417986E-01
   7126.33  5.6202009E-01
   7126.67  5.8744436E-01
   7127.00  6.0758164E-01
   7127.33  6.2009920E-01
   7127.67  6.2734197E-01
   7128.00  6.3158865E-01
   7128.33  6.3408805E-01
   7128.67  6.3503213E-01
   7129.00  6.3490484E-01
   7129.33  6.3578978E-01
   7129.67  6.3919104E-01
   7130.00  6.4505903E-01
   7130.33  6.5223518E-01
   7130.67  6.5896232E-01
   7131.00  6.6425167E-01
   7131.33  6.6765351E-01
   7131.67  6.7027475E-01
   7132.00  6.7352440E-01
   7132.33  6.7914241E-01
   7132.67  6.8738471E-01
   7133.00  6.9789614E-01
   7133.33  7.0998152E-01
   7133.67  7.2285915E-01
   7134.00  7.3671321E-01
   7134.33  7.5201460E-01
   7134.67  7.6716806E-01
   7135.00  7.7917385E-01
   7135.33  7.8345389E-01
   7135.67  7.7918567E-01
   7136.00  7.6725549E-01
   7136.33  7.4992968E-01
   7136.67  7.3099518E-01
   7137.00  7.1250668E-01
   7137.33  6.9607840E-01
   7137.67  6.8208939E-01
   7138.00  6.7070274E-01
   7138.33  6.6215139E-01
   7138.67  6.5575976E-01
   7139.00  6.5098063E-01
   7139.33  6.4702772E-01
   7139.67  6.4285230E-01
   7140.00  6.3782290E-01
   7140.33  6.3163600E-01
   7140.67  6.2497783E-01
   7141.00  6.1873862E-01
   7141.33  6.1419276E-01
   7141.67  6.1190931E-01
