    FDMNES
    energy     <xanes>
   7097.00  4.0869617E-03
   7097.33  4.1690713E-03
   7097.67  4.2543842E-03
   7098.00  4.3430992E-03
   7098.33  4.4359295E-03
   7098.67  4.5327022E-03
   7099.00  4.6336870E-03
   7099.33  4.7398041E-03
   7099.67  4.8508763E-03
   7100.00  4.9672804E-03
   7100.33  5.0902388E-03
   7100.67  5.2195851E-03
   7101.00  5.3558645E-03
   7101.33  5.5007585E-03
   7101.67  5.6541457E-03
   7102.00  5.8168493E-03
   7102.33  5.9912827E-03
   7102.67  6.1774473E-03
   7103.00  6.3766503E-03
   7103.33  6.5925434E-03
   7103.67  6.8254308E-03
   7104.00  7.0775228E-03
   7104.33  7.3547209E-03
   7104.67  7.6580778E-03
   7105.00  7.9916364E-03
   7105.33  8.3657747E-03
   7105.67  8.7834927E-03
   7106.00  9.2529808E-03
   7106.33  9.7946440E-03
   7106.67  1.0417091E-02
   7107.00  1.1139378E-02
   7107.33  1.2008324E-02
   7107.67  1.3051556E-02
   7108.00  1.4323201E-02
   7108.33  1.5958216E-02
   7108.67  1.8067838E-02
   7109.00  2.0861594E-02
   7109.33  2.4899669E-02
   7109.67  3.0848074E-02
   7110.00  4.0021123E-02
   7110.33  5.6199646E-02
   7110.67  8.2903518E-02
   7111.00  1.1820681E-01
   7111.33  1.4448804E-01
   7111.67  1.5473766E-01
   7112.00  1.5848747E-01
   7112.33  1.6320349E-01
   7112.67  1.6902064E-01
   7113.00  1.6686994E-01
   7113.33  1.4322199E-01
   7113.67  1.1838304E-01
   7114.00  1.0002223E-01
   7114.33  8.7279152E-02
   7114.67  7.8911672E-02
   7115.00  6.8912828E-02
   7115.33  5.6073309E-02
   7115.67  4.6517824E-02
   7116.00  4.1050712E-02
   7116.33  3.8598800E-02
   7116.67  3.7682944E-02
   7117.00  3.7669317E-02
   7117.33  3.8157300E-02
   7117.67  3.8966575E-02
   7118.00  4.0171625E-02
   7118.33  4.1942666E-02
   7118.67  4.4297702E-02
   7119.00  4.7311382E-02
   7119.33  5.1194014E-02
   7119.67  5.5998292E-02
   7120.00  6.1886088E-02
   7120.33  6.9259063E-02
   7120.67  7.8245915E-02
   7121.00  8.9142447E-02
   7121.33  1.0261351E-01
   7121.67  1.1874079E-01
   7122.00  1.3776482E-01
   7122.33  1.6013768E-01
   7122.67  1.8524628E-01
   7123.00  2.1261656E-01
   7123.33  2.4168705E-01
   7123.67  2.7151812E-01
   7124.00  3.0164438E-01
   7124.33  3.3175594E-01
   7124.67  3.6153906E-01
   7125.00  3.9043906E-01
   7125.33  4.1679237E-01
   7125.67  4.3857232E-01
   7126.00  4.5358163E-01
   7126.33  4.5872421E-01
   7126.67  4.5410173E-01
   7127.00  4.4092422E-01
   7127.33  4.2470713E-01
   7127.67  4.1387347E-01
   7128.00  4.1295572E-01
   7128.33  4.2462816E-01
   7128.67  4.4640835E-01
   7129.00  4.7690008E-01
   7129.33  5.1587737E-01
   7129.67  5.6161522E-01
   7130.00  6.1321837E-01
   7130.33  6.6958580E-01
   7130.67  7.2796864E-01
   7131.00  7.8598682E-01
   7131.33  8.3985533E-01
   7131.67  8.8670490E-01
   7132.00  9.2459398E-01
   7132.33  9.5153197E-01
   7132.67  9.6827091E-01
   7133.00  9.7350821E-01
   7133.33  9.6407254E-01
   7133.67  9.4342745E-01
   7134.00  9.1736484E-01
   7134.33  8.9464111E-01
   7134.67  8.7876238E-01
   7135.00  8.6781508E-01
   7135.33  8.5740721E-01
   7135.67  8.4462416E-01
   7136.00  8.2897684E-01
   7136.33  8.1091460E-01
   7136.67  7.9181201E-01
   7137.00  7.7250745E-01
   7137.33  7.5377009E-01
   7137.67  7.3599797E-01
   7138.00  7.1943464E-01
   7138.33  7.0438159E-01
   7138.67  6.9066846E-01
   7139.00  6.7820896E-01
   7139.33  6.6697758E-01
   7139.67  6.5665549E-01
   7140.00  6.4710296E-01
   7140.33  6.3828293E-01
   7140.67  6.3005220E-01
   7141.00  6.2239811E-01
   7141.33  6.1541085E-01
   7141.67  6.0904842E-01
   7142.00  6.0334077E-01
   7142.33  5.9840455E-01
   7142.67  5.9417958E-01
   7143.00  5.9068237E-01
   7143.33  5.8801751E-01
   7143.67  5.8611108E-01
   7144.00  5.8499304E-01
   7144.33  5.8481441E-01
   7144.67  5.8551933E-01
   7145.00  5.8714078E-01
   7145.33  5.8980879E-01
   7145.67  5.9337628E-01
   7146.00  5.9776654E-01
   7146.33  6.0290040E-01
   7146.67  6.0844941E-01
   7147.00  6.1413580E-01
   7147.33  6.1954205E-01
   7147.67  6.2430220E-01
   7148.00  6.2810737E-01
   7148.33  6.3051019E-01
   7148.67  6.3147327E-01
   7149.00  6.3091592E-01
   7149.33  6.2864404E-01
   7149.67  6.2492140E-01
   7150.00  6.1985240E-01
   7150.33  6.1343437E-01
   7150.67  6.0597324E-01
   7151.00  5.9759860E-01
   7151.33  5.8835255E-01
   7151.67  5.7845586E-01
   7152.00  5.6800247E-01
   7152.33  5.5703392E-01
   7152.67  5.4570689E-01
   7153.00  5.3410848E-01
   7153.33  5.2230683E-01
   7153.67  5.1040746E-01
   7154.00  4.9847690E-01
   7154.33  4.8659417E-01
   7154.67  4.7482647E-01
   7155.00  4.6322993E-01
   7155.33  4.5188624E-01
   7155.67  4.4080931E-01
   7156.00  4.3002527E-01
   7156.33  4.1958771E-01
   7156.67  4.0945695E-01
   7157.00  3.9962055E-01
   7157.33  3.9008755E-01
   7157.67  3.8079404E-01
   7158.00  3.7171302E-01
   7158.33  3.6284242E-01
   7158.67  3.5415105E-01
   7159.00  3.4565383E-01
   7159.33  3.3742726E-01
   7159.67  3.2951812E-01
   7160.00  3.2201216E-01
   7160.33  3.1508650E-01
   7160.67  3.0879163E-01
   7161.00  3.0322056E-01
   7161.33  2.9857126E-01
   7161.67  2.9482028E-01
   7162.00  2.9202016E-01
   7162.33  2.9033369E-01
   7162.67  2.8965791E-01
   7163.00  2.8999892E-01
   7163.33  2.9146168E-01
   7163.67  2.9385146E-01
   7164.00  2.9707492E-01
   7164.33  3.0108019E-01
   7164.67  3.0560578E-01
   7165.00  3.1049662E-01
   7165.33  3.1559533E-01
   7165.67  3.2070565E-01
   7166.00  3.2569735E-01
   7166.33  3.3042422E-01
   7166.67  3.3484202E-01
   7167.00  3.3892106E-01
   7167.33  3.4261808E-01
   7167.67  3.4600173E-01
   7168.00  3.4910772E-01
   7168.33  3.5195652E-01
   7168.67  3.5462752E-01
   7169.00  3.5716232E-01
   7169.33  3.5959328E-01
   7169.67  3.6196851E-01
   7170.00  3.6431251E-01
   7170.33  3.6664348E-01
   7170.67  3.6896936E-01
   7171.00  3.7127933E-01
   7171.33  3.7351854E-01
   7171.67  3.7558140E-01
   7172.00  3.7730323E-01
