    FDMNES
    energy     <xanes>
   7097.00  4.2667811E-03
   7097.33  4.3500480E-03
   7097.67  4.4364001E-03
   7098.00  4.5260157E-03
   7098.33  4.6195594E-03
   7098.67  4.7168462E-03
   7099.00  4.8181136E-03
   7099.33  4.9242031E-03
   7099.67  5.0349200E-03
   7100.00  5.1505890E-03
   7100.33  5.2723050E-03
   7100.67  5.3998735E-03
   7101.00  5.5337548E-03
   7101.33  5.6754206E-03
   7101.67  5.8247013E-03
   7102.00  5.9822768E-03
   7102.33  6.1502089E-03
   7102.67  6.3284094E-03
   7103.00  6.5179364E-03
   7103.33  6.7218316E-03
   7103.67  6.9402232E-03
   7104.00  7.1748669E-03
   7104.33  7.4305603E-03
   7104.67  7.7079839E-03
   7105.00  8.0103006E-03
   7105.33  8.3457677E-03
   7105.67  8.7165329E-03
   7106.00  9.1289407E-03
   7106.33  9.5989707E-03
   7106.67  1.0133067E-02
   7107.00  1.0745956E-02
   7107.33  1.1474056E-02
   7107.67  1.2338646E-02
   7108.00  1.3381881E-02
   7108.33  1.4709423E-02
   7108.67  1.6409312E-02
   7109.00  1.8648264E-02
   7109.33  2.1875322E-02
   7109.67  2.6635264E-02
   7110.00  3.4008979E-02
   7110.33  4.7113595E-02
   7110.67  6.8693914E-02
   7111.00  9.5939951E-02
   7111.33  1.1080981E-01
   7111.67  1.1174016E-01
   7112.00  1.0976651E-01
   7112.33  1.1385726E-01
   7112.67  1.2108656E-01
   7113.00  1.2202726E-01
   7113.33  1.0761261E-01
   7113.67  8.9801569E-02
   7114.00  7.5547357E-02
   7114.33  6.4004541E-02
   7114.67  5.5007893E-02
   7115.00  4.9541085E-02
   7115.33  4.7425897E-02
   7115.67  4.7424627E-02
   7116.00  4.9147483E-02
   7116.33  5.2714892E-02
   7116.67  5.8001400E-02
   7117.00  6.4885860E-02
   7117.33  7.3048752E-02
   7117.67  8.2354369E-02
   7118.00  9.3405793E-02
   7118.33  1.0694645E-01
   7118.67  1.2267177E-01
   7119.00  1.4070527E-01
   7119.33  1.6116812E-01
   7119.67  1.8131730E-01
   7120.00  1.9710854E-01
   7120.33  2.0456027E-01
   7120.67  2.0669820E-01
   7121.00  2.0795008E-01
   7121.33  2.1333634E-01
   7121.67  2.2515230E-01
   7122.00  2.4470806E-01
   7122.33  2.7348876E-01
   7122.67  3.0870967E-01
   7123.00  3.4621765E-01
   7123.33  3.7878665E-01
   7123.67  4.0155943E-01
   7124.00  4.1155369E-01
   7124.33  4.0873665E-01
   7124.67  4.0427387E-01
   7125.00  4.0548757E-01
   7125.33  4.1613106E-01
   7125.67  4.3513057E-01
   7126.00  4.6173153E-01
   7126.33  4.9415801E-01
   7126.67  5.2794094E-01
   7127.00  5.6060776E-01
   7127.33  5.9243513E-01
   7127.67  6.2589347E-01
   7128.00  6.6175370E-01
   7128.33  6.9793656E-01
   7128.67  7.3007699E-01
   7129.00  7.5448864E-01
   7129.33  7.6763942E-01
   7129.67  7.7125274E-01
   7130.00  7.6734679E-01
   7130.33  7.5809907E-01
   7130.67  7.4619923E-01
   7131.00  7.3306889E-01
   7131.33  7.2097513E-01
   7131.67  7.1238410E-01
