    FDMNES
    energy     <xanes>
   7097.00  5.3383892E-03
   7097.33  5.4746495E-03
   7097.67  5.6175076E-03
   7098.00  5.7674284E-03
   7098.33  5.9259690E-03
   7098.67  6.0928402E-03
   7099.00  6.2686785E-03
   7099.33  6.4555346E-03
   7099.67  6.6531151E-03
   7100.00  6.8623128E-03
   7100.33  7.0858973E-03
   7100.67  7.3236016E-03
   7101.00  7.5767161E-03
   7101.33  7.8490912E-03
   7101.67  8.1405551E-03
   7102.00  8.4530379E-03
   7102.33  8.7920810E-03
   7102.67  9.1577574E-03
   7103.00  9.5530744E-03
   7103.33  9.9863476E-03
   7103.67  1.0458228E-02
   7104.00  1.0973641E-02
   7104.33  1.1545724E-02
   7104.67  1.2176483E-02
   7105.00  1.2874505E-02
   7105.33  1.3661933E-02
   7105.67  1.4544079E-02
   7106.00  1.5537154E-02
   7106.33  1.6681803E-02
   7106.67  1.7992035E-02
   7107.00  1.9501945E-02
   7107.33  2.1295370E-02
   7107.67  2.3412371E-02
   7108.00  2.5936595E-02
   7108.33  2.9073425E-02
   7108.67  3.2958899E-02
   7109.00  3.7854024E-02
   7109.33  4.4424369E-02
   7109.67  5.3306003E-02
   7110.00  6.5721761E-02
   7110.33  8.5078850E-02
   7110.67  1.1527058E-01
   7111.00  1.6071026E-01
   7111.33  2.2487058E-01
   7111.67  3.0195438E-01
   7112.00  3.8328046E-01
   7112.33  4.6430750E-01
   7112.67  5.4811370E-01
   7113.00  6.2592003E-01
   7113.33  6.6503898E-01
   7113.67  6.6637844E-01
   7114.00  6.2348377E-01
   7114.33  5.2047920E-01
   7114.67  4.0860499E-01
   7115.00  3.2006724E-01
   7115.33  2.6135165E-01
   7115.67  2.1945322E-01
   7116.00  1.8810137E-01
   7116.33  1.6634842E-01
   7116.67  1.5296968E-01
   7117.00  1.4721098E-01
   7117.33  1.4705035E-01
   7117.67  1.4783969E-01
   7118.00  1.4830927E-01
   7118.33  1.4925422E-01
   7118.67  1.5011400E-01
   7119.00  1.4943242E-01
   7119.33  1.4569467E-01
   7119.67  1.3963392E-01
   7120.00  1.3312578E-01
   7120.33  1.2903061E-01
   7120.67  1.2801722E-01
   7121.00  1.2921764E-01
   7121.33  1.3077193E-01
   7121.67  1.3157773E-01
   7122.00  1.3231556E-01
   7122.33  1.3476376E-01
   7122.67  1.3960155E-01
   7123.00  1.4694832E-01
   7123.33  1.5700677E-01
   7123.67  1.6932148E-01
   7124.00  1.8362124E-01
   7124.33  1.9939764E-01
   7124.67  2.1581273E-01
   7125.00  2.3253894E-01
   7125.33  2.4876014E-01
   7125.67  2.6354084E-01
   7126.00  2.7661866E-01
   7126.33  2.8804954E-01
   7126.67  2.9843881E-01
   7127.00  3.0871267E-01
   7127.33  3.2074469E-01
   7127.67  3.3604742E-01
   7128.00  3.5609996E-01
   7128.33  3.8360631E-01
   7128.67  4.1928184E-01
   7129.00  4.6321179E-01
   7129.33  5.1303964E-01
   7129.67  5.6179910E-01
   7130.00  6.0518138E-01
   7130.33  6.4386495E-01
   7130.67  6.8337088E-01
   7131.00  7.2539260E-01
   7131.33  7.6564031E-01
   7131.67  7.9674855E-01
   7132.00  8.1436266E-01
   7132.33  8.1763013E-01
   7132.67  8.1247777E-01
   7133.00  8.0200798E-01
   7133.33  7.8713355E-01
   7133.67  7.6850873E-01
   7134.00  7.4658150E-01
   7134.33  7.2242204E-01
   7134.67  6.9741376E-01
   7135.00  6.7158725E-01
   7135.33  6.4453231E-01
   7135.67  6.1719254E-01
   7136.00  5.9105426E-01
   7136.33  5.6808321E-01
   7136.67  5.4887523E-01
   7137.00  5.3374431E-01
   7137.33  5.2317032E-01
   7137.67  5.1632771E-01
   7138.00  5.1275912E-01
   7138.33  5.1207162E-01
   7138.67  5.1309820E-01
   7139.00  5.1509650E-01
   7139.33  5.1739035E-01
   7139.67  5.1960630E-01
   7140.00  5.2184117E-01
   7140.33  5.2466367E-01
   7140.67  5.2869338E-01
   7141.00  5.3442653E-01
   7141.33  5.4237498E-01
   7141.67  5.5217599E-01
   7142.00  5.6349547E-01
   7142.33  5.7594247E-01
   7142.67  5.8886354E-01
   7143.00  6.0184560E-01
   7143.33  6.1441497E-01
   7143.67  6.2624241E-01
   7144.00  6.3703615E-01
   7144.33  6.4633190E-01
   7144.67  6.5407751E-01
   7145.00  6.6017450E-01
   7145.33  6.6442289E-01
   7145.67  6.6717141E-01
   7146.00  6.6863474E-01
   7146.33  6.6900554E-01
   7146.67  6.6874373E-01
   7147.00  6.6811994E-01
   7147.33  6.6736398E-01
   7147.67  6.6665125E-01
