    FDMNES
    energy     <xanes>
   7097.00  5.1262710E-03
   7097.33  5.2463820E-03
   7097.67  5.3717728E-03
   7098.00  5.5027879E-03
   7098.33  5.6406282E-03
   7098.67  5.7850268E-03
   7099.00  5.9364495E-03
   7099.33  6.0964523E-03
   7099.67  6.2647580E-03
   7100.00  6.4420130E-03
   7100.33  6.6302864E-03
   7100.67  6.8293117E-03
   7101.00  7.0400147E-03
   7101.33  7.2652320E-03
   7101.67  7.5047569E-03
   7102.00  7.7599656E-03
   7102.33  8.0348949E-03
   7102.67  8.3295069E-03
   7103.00  8.6459435E-03
   7103.33  8.9902189E-03
   7103.67  9.3627159E-03
   7104.00  9.7669601E-03
   7104.33  1.0212447E-02
   7104.67  1.0700586E-02
   7105.00  1.1237609E-02
   7105.33  1.1839672E-02
   7105.67  1.2510798E-02
   7106.00  1.3263077E-02
   7106.33  1.4126885E-02
   7106.67  1.5113518E-02
   7107.00  1.6249619E-02
   7107.33  1.7600893E-02
   7107.67  1.9202153E-02
   7108.00  2.1124087E-02
   7108.33  2.3542142E-02
   7108.67  2.6588422E-02
   7109.00  3.0514426E-02
   7109.33  3.5982477E-02
   7109.67  4.3727161E-02
   7110.00  5.5189544E-02
   7110.33  7.4463440E-02
   7110.67  1.0536957E-01
   7111.00  1.4664368E-01
   7111.33  1.8385808E-01
   7111.67  2.1799336E-01
   7112.00  2.6092489E-01
   7112.33  3.0895273E-01
   7112.67  3.4840321E-01
   7113.00  3.7902047E-01
   7113.33  3.6299744E-01
   7113.67  2.9327445E-01
   7114.00  2.2012559E-01
   7114.33  1.7319077E-01
   7114.67  1.4470610E-01
   7115.00  1.2840404E-01
   7115.33  1.2076904E-01
   7115.67  1.1861530E-01
   7116.00  1.2111159E-01
   7116.33  1.2858382E-01
   7116.67  1.4068400E-01
   7117.00  1.5754226E-01
   7117.33  1.7876358E-01
   7117.67  2.0039357E-01
   7118.00  2.1774058E-01
   7118.33  2.2797218E-01
   7118.67  2.3617885E-01
   7119.00  2.4658669E-01
   7119.33  2.6053122E-01
   7119.67  2.7567485E-01
   7120.00  2.9145930E-01
   7120.33  3.0945588E-01
   7120.67  3.3033783E-01
   7121.00  3.5363287E-01
   7121.33  3.7893455E-01
   7121.67  4.0659974E-01
   7122.00  4.3726088E-01
   7122.33  4.7070150E-01
   7122.67  5.0514877E-01
   7123.00  5.3940595E-01
   7123.33  5.7263916E-01
   7123.67  6.0464965E-01
   7124.00  6.3445351E-01
   7124.33  6.5878950E-01
   7124.67  6.7525325E-01
   7125.00  6.8262140E-01
   7125.33  6.8086547E-01
   7125.67  6.7351161E-01
   7126.00  6.6274691E-01
   7126.33  6.4985571E-01
   7126.67  6.3531144E-01
   7127.00  6.1900044E-01
   7127.33  6.0126701E-01
   7127.67  5.8355039E-01
   7128.00  5.6712242E-01
   7128.33  5.5346187E-01
   7128.67  5.4281322E-01
   7129.00  5.3511249E-01
   7129.33  5.3012963E-01
   7129.67  5.2685827E-01
   7130.00  5.2477272E-01
   7130.33  5.2353748E-01
   7130.67  5.2280779E-01
   7131.00  5.2247423E-01
   7131.33  5.2250468E-01
   7131.67  5.2277795E-01
   7132.00  5.2319649E-01
   7132.33  5.2363654E-01
   7132.67  5.2399441E-01
   7133.00  5.2422233E-01
   7133.33  5.2428885E-01
   7133.67  5.2421904E-01
   7134.00  5.2400796E-01
   7134.33  5.2357749E-01
   7134.67  5.2285645E-01
   7135.00  5.2179802E-01
   7135.33  5.2039556E-01
   7135.67  5.1880470E-01
   7136.00  5.1717449E-01
   7136.33  5.1571025E-01
   7136.67  5.1455309E-01
   7137.00  5.1379995E-01
   7137.33  5.1357405E-01
   7137.67  5.1383842E-01
   7138.00  5.1458583E-01
   7138.33  5.1584397E-01
   7138.67  5.1751163E-01
   7139.00  5.1954236E-01
   7139.33  5.2191337E-01
   7139.67  5.2451779E-01
   7140.00  5.2729564E-01
   7140.33  5.3020241E-01
   7140.67  5.3317087E-01
   7141.00  5.3616954E-01
   7141.33  5.3918294E-01
   7141.67  5.4219597E-01
   7142.00  5.4519374E-01
   7142.33  5.4814869E-01
   7142.67  5.5103609E-01
   7143.00  5.5382524E-01
   7143.33  5.5645783E-01
   7143.67  5.5890690E-01
   7144.00  5.6113359E-01
   7144.33  5.6306091E-01
   7144.67  5.6468227E-01
   7145.00  5.6596812E-01
   7145.33  5.6684598E-01
   7145.67  5.6734368E-01
   7146.00  5.6745396E-01
   7146.33  5.6712912E-01
   7146.67  5.6642825E-01
   7147.00  5.6536734E-01
   7147.33  5.6392864E-01
   7147.67  5.6218186E-01
   7148.00  5.6015107E-01
   7148.33  5.5782995E-01
   7148.67  5.5527395E-01
   7149.00  5.5250046E-01
   7149.33  5.4950088E-01
   7149.67  5.4631291E-01
   7150.00  5.4294506E-01
   7150.33  5.3938413E-01
   7150.67  5.3565848E-01
   7151.00  5.3177308E-01
   7151.33  5.2771311E-01
   7151.67  5.2350196E-01
   7152.00  5.1914258E-01
   7152.33  5.1461892E-01
   7152.67  5.0995036E-01
   7153.00  5.0513706E-01
   7153.33  5.0016169E-01
   7153.67  4.9504563E-01
   7154.00  4.8979531E-01
   7154.33  4.8440737E-01
   7154.67  4.7891469E-01
   7155.00  4.7333713E-01
   7155.33  4.6769550E-01
   7155.67  4.6203006E-01
   7156.00  4.5637200E-01
   7156.33  4.5076433E-01
   7156.67  4.4523948E-01
   7157.00  4.3982955E-01
   7157.33  4.3458857E-01
   7157.67  4.2953086E-01
   7158.00  4.2468229E-01
   7158.33  4.2009735E-01
   7158.67  4.1576706E-01
   7159.00  4.1170594E-01
   7159.33  4.0796177E-01
   7159.67  4.0450711E-01
   7160.00  4.0134667E-01
   7160.33  3.9852195E-01
   7160.67  3.9599486E-01
   7161.00  3.9376130E-01
   7161.33  3.9185213E-01
   7161.67  3.9022619E-01
   7162.00  3.8887917E-01
   7162.33  3.8784000E-01
   7162.67  3.8706855E-01
   7163.00  3.8655913E-01
   7163.33  3.8633672E-01
   7163.67  3.8636248E-01
   7164.00  3.8663022E-01
   7164.33  3.8716107E-01
   7164.67  3.8791614E-01
   7165.00  3.8888598E-01
   7165.33  3.9008379E-01
   7165.67  3.9147059E-01
   7166.00  3.9303341E-01
   7166.33  3.9477610E-01
   7166.67  3.9666127E-01
   7167.00  3.9867324E-01
   7167.33  4.0080710E-01
   7167.67  4.0303071E-01
