    FDMNES
    energy     <xanes>
   7097.00  4.5455007E-03
   7097.33  4.6463498E-03
   7097.67  4.7517113E-03
   7098.00  4.8618963E-03
   7098.33  4.9779589E-03
   7098.67  5.0996944E-03
   7099.00  5.2275302E-03
   7099.33  5.3628550E-03
   7099.67  5.5054648E-03
   7100.00  5.6559642E-03
   7100.33  5.8162344E-03
   7100.67  5.9860981E-03
   7101.00  6.1664397E-03
   7101.33  6.3598939E-03
   7101.67  6.5663677E-03
   7102.00  6.7872071E-03
   7102.33  7.0262544E-03
   7102.67  7.2836289E-03
   7103.00  7.5614802E-03
   7103.33  7.8656963E-03
   7103.67  8.1969048E-03
   7104.00  8.5587493E-03
   7104.33  8.9608311E-03
   7104.67  9.4050121E-03
   7105.00  9.8979525E-03
   7105.33  1.0456615E-02
   7105.67  1.1086040E-02
   7106.00  1.1799672E-02
   7106.33  1.2630869E-02
   7106.67  1.3593757E-02
   7107.00  1.4719434E-02
   7107.33  1.6084147E-02
   7107.67  1.7732657E-02
   7108.00  1.9752632E-02
   7108.33  2.2362410E-02
   7108.67  2.5740701E-02
   7109.00  3.0224186E-02
   7109.33  3.6711655E-02
   7109.67  4.6265772E-02
   7110.00  6.0984007E-02
   7110.33  8.6929585E-02
   7110.67  1.3007759E-01
   7111.00  1.8834915E-01
   7111.33  2.3130891E-01
   7111.67  2.4706319E-01
   7112.00  2.5084777E-01
   7112.33  2.4876791E-01
   7112.67  2.4039262E-01
   7113.00  2.4191881E-01
   7113.33  2.4987308E-01
   7113.67  2.3503028E-01
   7114.00  2.0926170E-01
   7114.33  2.0071523E-01
   7114.67  2.0470720E-01
   7115.00  2.0433496E-01
   7115.33  1.9476286E-01
   7115.67  1.7841285E-01
   7116.00  1.4949135E-01
   7116.33  1.2046906E-01
   7116.67  1.0122276E-01
   7117.00  9.0689549E-02
   7117.33  8.6687144E-02
   7117.67  8.6723981E-02
   7118.00  9.0155339E-02
   7118.33  9.7132445E-02
   7118.67  1.0658417E-01
   7119.00  1.1661900E-01
   7119.33  1.2446559E-01
   7119.67  1.3069138E-01
   7120.00  1.3728768E-01
   7120.33  1.4548935E-01
   7120.67  1.5353112E-01
   7121.00  1.6026287E-01
   7121.33  1.6681817E-01
   7121.67  1.7460956E-01
   7122.00  1.8386139E-01
   7122.33  1.9414460E-01
   7122.67  2.0450851E-01
   7123.00  2.1461943E-01
   7123.33  2.2513965E-01
   7123.67  2.3742071E-01
   7124.00  2.5255382E-01
   7124.33  2.7097202E-01
   7124.67  2.9058588E-01
   7125.00  3.0929358E-01
   7125.33  3.2455764E-01
   7125.67  3.3487714E-01
   7126.00  3.3949936E-01
   7126.33  3.3929187E-01
   7126.67  3.3820769E-01
   7127.00  3.3916224E-01
   7127.33  3.4401575E-01
   7127.67  3.5112231E-01
   7128.00  3.5831092E-01
   7128.33  3.6332110E-01
   7128.67  3.6582809E-01
   7129.00  3.6630319E-01
   7129.33  3.6564438E-01
   7129.67  3.6498699E-01
   7130.00  3.6499863E-01
   7130.33  3.6642236E-01
   7130.67  3.6956297E-01
   7131.00  3.7469047E-01
   7131.33  3.8212733E-01
   7131.67  3.9141518E-01
   7132.00  4.0230518E-01
   7132.33  4.1484119E-01
   7132.67  4.2901197E-01
   7133.00  4.4519825E-01
   7133.33  4.6424300E-01
   7133.67  4.8610324E-01
   7134.00  5.1051221E-01
   7134.33  5.3652723E-01
   7134.67  5.6213381E-01
   7135.00  5.8565646E-01
   7135.33  6.0527848E-01
   7135.67  6.2089096E-01
   7136.00  6.3250803E-01
   7136.33  6.3991223E-01
   7136.67  6.4392048E-01
   7137.00  6.4489833E-01
   7137.33  6.4304090E-01
   7137.67  6.3925204E-01
   7138.00  6.3407184E-01
   7138.33  6.2802109E-01
   7138.67  6.2175485E-01
   7139.00  6.1568413E-01
   7139.33  6.1027558E-01
   7139.67  6.0575537E-01
   7140.00  6.0230643E-01
   7140.33  6.0022494E-01
   7140.67  5.9947945E-01
   7141.00  6.0020408E-01
   7141.33  6.0283388E-01
   7141.67  6.0742340E-01
   7142.00  6.1417004E-01
   7142.33  6.2344613E-01
   7142.67  6.3482227E-01
   7143.00  6.4794565E-01
   7143.33  6.6231889E-01
   7143.67  6.7704318E-01
   7144.00  6.9146575E-01
   7144.33  7.0479568E-01
   7144.67  7.1665396E-01
   7145.00  7.2676780E-01
   7145.33  7.3474542E-01
   7145.67  7.4080467E-01
   7146.00  7.4500530E-01
   7146.33  7.4726200E-01
   7146.67  7.4796206E-01
   7147.00  7.4726581E-01
   7147.33  7.4520812E-01
   7147.67  7.4211275E-01
   7148.00  7.3810819E-01
   7148.33  7.3322178E-01
   7148.67  7.2765483E-01
   7149.00  7.2148395E-01
   7149.33  7.1472618E-01
   7149.67  7.0752705E-01
   7150.00  6.9995619E-01
   7150.33  6.9206093E-01
   7150.67  6.8396874E-01
   7151.00  6.7576461E-01
   7151.33  6.6754604E-01
   7151.67  6.5941076E-01
   7152.00  6.5143858E-01
   7152.33  6.4375027E-01
   7152.67  6.3639702E-01
   7153.00  6.2944177E-01
   7153.33  6.2300181E-01
   7153.67  6.1706235E-01
   7154.00  6.1164329E-01
   7154.33  6.0681215E-01
   7154.67  6.0248487E-01
   7155.00  5.9863131E-01
   7155.33  5.9525752E-01
   7155.67  5.9225562E-01
   7156.00  5.8957823E-01
   7156.33  5.8720899E-01
   7156.67  5.8507164E-01
   7157.00  5.8313816E-01
   7157.33  5.8140653E-01
   7157.67  5.7983671E-01
   7158.00  5.7841682E-01
   7158.33  5.7715137E-01
   7158.67  5.7600999E-01
   7159.00  5.7497916E-01
   7159.33  5.7405141E-01
   7159.67  5.7319398E-01
   7160.00  5.7238787E-01
   7160.33  5.7161438E-01
   7160.67  5.7084679E-01
   7161.00  5.7006110E-01
   7161.33  5.6921221E-01
   7161.67  5.6826469E-01
   7162.00  5.6718560E-01
   7162.33  5.6590959E-01
   7162.67  5.6441118E-01
   7163.00  5.6265055E-01
   7163.33  5.6053968E-01
   7163.67  5.5806787E-01
   7164.00  5.5519579E-01
   7164.33  5.5183002E-01
   7164.67  5.4800035E-01
   7165.00  5.4370141E-01
   7165.33  5.3889498E-01
   7165.67  5.3368533E-01
   7166.00  5.2813676E-01
   7166.33  5.2231624E-01
   7166.67  5.1636881E-01
   7167.00  5.1040060E-01
   7167.33  5.0454739E-01
   7167.67  4.9891086E-01
   7168.00  4.9357813E-01
   7168.33  4.8868276E-01
   7168.67  4.8424126E-01
   7169.00  4.8029222E-01
   7169.33  4.7692385E-01
   7169.67  4.7407811E-01
   7170.00  4.7174969E-01
   7170.33  4.6998182E-01
   7170.67  4.6867888E-01
   7171.00  4.6779960E-01
