    FDMNES
    energy     <xanes>
   7097.00  4.7246505E-03
   7097.33  4.8330013E-03
   7097.67  4.9460321E-03
   7098.00  5.0640468E-03
   7098.33  5.1881075E-03
   7098.67  5.3179764E-03
   7099.00  5.4540647E-03
   7099.33  5.5977494E-03
   7099.67  5.7487844E-03
   7100.00  5.9077420E-03
   7100.33  6.0764548E-03
   7100.67  6.2546885E-03
   7101.00  6.4432652E-03
   7101.33  6.6447021E-03
   7101.67  6.8588221E-03
   7102.00  7.0868525E-03
   7102.33  7.3323859E-03
   7102.67  7.5954038E-03
   7103.00  7.8778255E-03
   7103.33  8.1850262E-03
   7103.67  8.5173794E-03
   7104.00  8.8780623E-03
   7104.33  9.2756071E-03
   7104.67  9.7113420E-03
   7105.00  1.0190919E-02
   7105.33  1.0728945E-02
   7105.67  1.1329175E-02
   7106.00  1.2002639E-02
   7106.33  1.2776983E-02
   7106.67  1.3662680E-02
   7107.00  1.4684146E-02
   7107.33  1.5901444E-02
   7107.67  1.7346611E-02
   7108.00  1.9084295E-02
   7108.33  2.1274464E-02
   7108.67  2.4036561E-02
   7109.00  2.7596837E-02
   7109.33  3.2546401E-02
   7109.67  3.9524597E-02
   7110.00  4.9776052E-02
   7110.33  6.6836046E-02
   7110.67  9.4394674E-02
   7111.00  1.3370374E-01
   7111.33  1.7845897E-01
   7111.67  2.2599178E-01
   7112.00  2.7228508E-01
   7112.33  3.1042483E-01
   7112.67  3.3941046E-01
   7113.00  3.2499657E-01
   7113.33  2.5449863E-01
   7113.67  1.8750094E-01
   7114.00  1.4235907E-01
   7114.33  1.1631959E-01
   7114.67  9.9652275E-02
   7115.00  8.9062790E-02
   7115.33  8.3973051E-02
   7115.67  8.2862782E-02
   7116.00  8.4930879E-02
   7116.33  8.9918813E-02
   7116.67  9.7522389E-02
   7117.00  1.0799564E-01
   7117.33  1.2188468E-01
   7117.67  1.3877551E-01
   7118.00  1.5842738E-01
   7118.33  1.8037079E-01
   7118.67  2.0286847E-01
   7119.00  2.2390692E-01
   7119.33  2.4000124E-01
   7119.67  2.4980511E-01
   7120.00  2.5492012E-01
   7120.33  2.6048637E-01
   7120.67  2.6966386E-01
   7121.00  2.8238647E-01
   7121.33  2.9895616E-01
   7121.67  3.2023498E-01
   7122.00  3.4761569E-01
   7122.33  3.8271261E-01
   7122.67  4.2369284E-01
   7123.00  4.6816061E-01
   7123.33  5.1179949E-01
   7123.67  5.4948690E-01
   7124.00  5.7746909E-01
   7124.33  5.9396075E-01
   7124.67  6.0391438E-01
   7125.00  6.1085754E-01
   7125.33  6.1626853E-01
   7125.67  6.1934189E-01
   7126.00  6.1821262E-01
   7126.33  6.1041060E-01
   7126.67  5.9728508E-01
   7127.00  5.8141854E-01
   7127.33  5.6633931E-01
   7127.67  5.5436684E-01
   7128.00  5.4662118E-01
   7128.33  5.4404697E-01
   7128.67  5.4536243E-01
   7129.00  5.4892509E-01
   7129.33  5.5160182E-01
   7129.67  5.5036528E-01
   7130.00  5.4401013E-01
   7130.33  5.3346800E-01
   7130.67  5.2249872E-01
   7131.00  5.1374475E-01
   7131.33  5.0933641E-01
   7131.67  5.0893803E-01
   7132.00  5.1192891E-01
   7132.33  5.1756214E-01
   7132.67  5.2458255E-01
   7133.00  5.3239020E-01
   7133.33  5.4042815E-01
   7133.67  5.4796310E-01
