    FDMNES
    energy     <xanes>
   7097.00  5.1563935E-03
   7097.33  5.2776716E-03
   7097.67  5.4044580E-03
   7098.00  5.5371245E-03
   7098.33  5.6769438E-03
   7098.67  5.8236529E-03
   7099.00  5.9777566E-03
   7099.33  6.1409152E-03
   7099.67  6.3128567E-03
   7100.00  6.4942840E-03
   7100.33  6.6874169E-03
   7100.67  6.8919973E-03
   7101.00  7.1090328E-03
   7101.33  7.3415791E-03
   7101.67  7.5894420E-03
   7102.00  7.8541173E-03
   7102.33  8.1399600E-03
   7102.67  8.4469506E-03
   7103.00  8.7774040E-03
   7103.33  9.1377942E-03
   7103.67  9.5285263E-03
   7104.00  9.9533690E-03
   7104.33  1.0422464E-02
   7104.67  1.0937229E-02
   7105.00  1.1504203E-02
   7105.33  1.2140373E-02
   7105.67  1.2849652E-02
   7106.00  1.3644379E-02
   7106.33  1.4555632E-02
   7106.67  1.5594004E-02
   7107.00  1.6785571E-02
   7107.33  1.8194682E-02
   7107.67  1.9852409E-02
   7108.00  2.1823769E-02
   7108.33  2.4269195E-02
   7108.67  2.7298336E-02
   7109.00  3.1122037E-02
   7109.33  3.6284528E-02
   7109.67  4.3333817E-02
   7110.00  5.3334207E-02
   7110.33  6.9284866E-02
   7110.67  9.4452238E-02
   7111.00  1.3123280E-01
   7111.33  1.7750072E-01
   7111.67  2.2588409E-01
   7112.00  2.7242903E-01
   7112.33  3.1409166E-01
   7112.67  3.4749423E-01
   7113.00  3.8650180E-01
   7113.33  4.4407846E-01
   7113.67  4.8725912E-01
   7114.00  4.9426487E-01
   7114.33  4.5919434E-01
   7114.67  3.9841944E-01
   7115.00  3.3569526E-01
   7115.33  2.8872339E-01
   7115.67  2.5666552E-01
   7116.00  2.3643733E-01
   7116.33  2.2498782E-01
   7116.67  2.1727465E-01
   7117.00  2.0901490E-01
   7117.33  1.9465682E-01
   7117.67  1.7565037E-01
   7118.00  1.5684011E-01
   7118.33  1.4264044E-01
   7118.67  1.3313044E-01
   7119.00  1.2768717E-01
   7119.33  1.2563808E-01
   7119.67  1.2533841E-01
   7120.00  1.2572335E-01
   7120.33  1.2592493E-01
   7120.67  1.2557176E-01
   7121.00  1.2458612E-01
   7121.33  1.2318140E-01
   7121.67  1.2200864E-01
   7122.00  1.2165359E-01
   7122.33  1.2283214E-01
   7122.67  1.2571332E-01
