    FDMNES
    energy     <xanes>
   7097.00  4.6563922E-03
   7097.33  4.7592476E-03
   7097.67  4.8666224E-03
   7098.00  4.9788269E-03
   7098.33  5.0969163E-03
   7098.67  5.2206858E-03
   7099.00  5.3505643E-03
   7099.33  5.4879453E-03
   7099.67  5.6326285E-03
   7100.00  5.7852250E-03
   7100.33  5.9476313E-03
   7100.67  6.1196815E-03
   7101.00  6.3022780E-03
   7101.33  6.4980966E-03
   7101.67  6.7070713E-03
   7102.00  6.9305928E-03
   7102.33  7.1726041E-03
   7102.67  7.4332867E-03
   7103.00  7.7148962E-03
   7103.33  8.0235613E-03
   7103.67  8.3600550E-03
   7104.00  8.7282735E-03
   7104.33  9.1383986E-03
   7104.67  9.5926492E-03
   7105.00  1.0098313E-02
   7105.33  1.0673810E-02
   7105.67  1.1325134E-02
   7106.00  1.2067404E-02
   7106.33  1.2937926E-02
   7106.67  1.3953692E-02
   7107.00  1.5150821E-02
   7107.33  1.6617688E-02
   7107.67  1.8409257E-02
   7108.00  2.0631242E-02
   7108.33  2.3547529E-02
   7108.67  2.7383830E-02
   7109.00  3.2563186E-02
   7109.33  4.0222486E-02
   7109.67  5.1746917E-02
   7110.00  6.9882601E-02
   7110.33  1.0271685E-01
   7110.67  1.5908938E-01
   7111.00  2.3663257E-01
   7111.33  2.7237160E-01
   7111.67  2.5891705E-01
   7112.00  2.5534165E-01
   7112.33  2.6684249E-01
   7112.67  2.4683269E-01
   7113.00  1.9903276E-01
   7113.33  1.6033570E-01
   7113.67  1.4070040E-01
   7114.00  1.3589393E-01
   7114.33  1.3884124E-01
   7114.67  1.3988821E-01
   7115.00  1.3122969E-01
   7115.33  1.1239336E-01
   7115.67  9.2471088E-02
   7116.00  7.6769920E-02
   7116.33  6.6784617E-02
   7116.67  6.0493670E-02
   7117.00  5.6814650E-02
   7117.33  5.5173146E-02
   7117.67  5.4899651E-02
   7118.00  5.5789509E-02
   7118.33  5.7848471E-02
   7118.67  6.0875925E-02
   7119.00  6.4799941E-02
   7119.33  6.9544626E-02
   7119.67  7.4710126E-02
   7120.00  7.9943232E-02
   7120.33  8.4874622E-02
   7120.67  8.9538810E-02
   7121.00  9.4285246E-02
   7121.33  9.9857635E-02
   7121.67  1.0687239E-01
   7122.00  1.1588589E-01
   7122.33  1.2758641E-01
   7122.67  1.4132930E-01
   7123.00  1.5592962E-01
   7123.33  1.6962814E-01
   7123.67  1.8249968E-01
   7124.00  1.9674267E-01
   7124.33  2.1573109E-01
   7124.67  2.3991183E-01
   7125.00  2.6917755E-01
   7125.33  3.0393303E-01
   7125.67  3.4358448E-01
   7126.00  3.8813447E-01
   7126.33  4.3828939E-01
   7126.67  4.9477855E-01
   7127.00  5.5916511E-01
   7127.33  6.3139421E-01
   7127.67  7.0705972E-01
   7128.00  7.8258062E-01
   7128.33  8.5154148E-01
   7128.67  9.0689862E-01
   7129.00  9.4244716E-01
   7129.33  9.5217519E-01
   7129.67  9.4141496E-01
   7130.00  9.1539875E-01
   7130.33  8.8006082E-01
   7130.67  8.4238978E-01
   7131.00  8.0611034E-01
   7131.33  7.7453830E-01
   7131.67  7.4858315E-01
   7132.00  7.2866617E-01
   7132.33  7.1539176E-01
   7132.67  7.0748917E-01
   7133.00  7.0434560E-01
   7133.33  7.0568424E-01
   7133.67  7.1023680E-01
   7134.00  7.1738242E-01
   7134.33  7.2671829E-01
   7134.67  7.3745973E-01
   7135.00  7.4923383E-01
   7135.33  7.6178971E-01
   7135.67  7.7476692E-01
   7136.00  7.8792810E-01
   7136.33  8.0089164E-01
   7136.67  8.1316307E-01
   7137.00  8.2415849E-01
   7137.33  8.3282541E-01
   7137.67  8.3861811E-01
   7138.00  8.4094227E-01
   7138.33  8.3883351E-01
   7138.67  8.3262212E-01
   7139.00  8.2243331E-01
   7139.33  8.0822575E-01
   7139.67  7.9105191E-01
   7140.00  7.7153869E-01
   7140.33  7.5025418E-01
   7140.67  7.2809416E-01
   7141.00  7.0554821E-01
   7141.33  6.8305176E-01
   7141.67  6.6093310E-01
   7142.00  6.3947900E-01
   7142.33  6.1924219E-01
   7142.67  6.0059512E-01
   7143.00  5.8395386E-01
   7143.33  5.6989823E-01
   7143.67  5.5812955E-01
   7144.00  5.4842217E-01
   7144.33  5.4058396E-01
   7144.67  5.3398490E-01
   7145.00  5.2830991E-01
   7145.33  5.2335257E-01
   7145.67  5.1883241E-01
   7146.00  5.1463775E-01
   7146.33  5.1072801E-01
   7146.67  5.0704247E-01
   7147.00  5.0358417E-01
   7147.33  5.0041476E-01
   7147.67  4.9754472E-01
   7148.00  4.9500865E-01
   7148.33  4.9287608E-01
   7148.67  4.9109104E-01
   7149.00  4.8960546E-01
   7149.33  4.8835626E-01
   7149.67  4.8719833E-01
   7150.00  4.8600682E-01
   7150.33  4.8459902E-01
   7150.67  4.8284230E-01
   7151.00  4.8061105E-01
   7151.33  4.7770349E-01
   7151.67  4.7410227E-01
   7152.00  4.6976532E-01
   7152.33  4.6460324E-01
   7152.67  4.5876795E-01
   7153.00  4.5235398E-01
   7153.33  4.4545585E-01
   7153.67  4.3830179E-01
   7154.00  4.3105131E-01
   7154.33  4.2389597E-01
   7154.67  4.1698582E-01
   7155.00  4.1043520E-01
   7155.33  4.0440315E-01
   7155.67  3.9889879E-01
   7156.00  3.9395237E-01
   7156.33  3.8963809E-01
   7156.67  3.8585700E-01
   7157.00  3.8256063E-01
   7157.33  3.7972064E-01
   7157.67  3.7719102E-01
   7158.00  3.7488630E-01
   7158.33  3.7273229E-01
   7158.67  3.7064388E-01
   7159.00  3.6858891E-01
   7159.33  3.6656906E-01
   7159.67  3.6461364E-01
   7160.00  3.6277208E-01
   7160.33  3.6113576E-01
   7160.67  3.5974902E-01
   7161.00  3.5866029E-01
   7161.33  3.5794824E-01
   7161.67  3.5758029E-01
   7162.00  3.5754793E-01
   7162.33  3.5786834E-01
   7162.67  3.5847117E-01
   7163.00  3.5932867E-01
   7163.33  3.6044167E-01
   7163.67  3.6176155E-01
