    FDMNES
    energy     <xanes>
   7097.00  4.2137189E-03
   7097.33  4.2950540E-03
   7097.67  4.3793736E-03
   7098.00  4.4668508E-03
   7098.33  4.5581292E-03
   7098.67  4.6530314E-03
   7099.00  4.7517884E-03
   7099.33  4.8552178E-03
   7099.67  4.9631340E-03
   7100.00  5.0758551E-03
   7100.33  5.1944489E-03
   7100.67  5.3187330E-03
   7101.00  5.4491617E-03
   7101.33  5.5871790E-03
   7101.67  5.7326322E-03
   7102.00  5.8861991E-03
   7102.33  6.0499188E-03
   7102.67  6.2237304E-03
   7103.00  6.4087008E-03
   7103.33  6.6078716E-03
   7103.67  6.8214208E-03
   7104.00  7.0511444E-03
   7104.33  7.3019091E-03
   7104.67  7.5745014E-03
   7105.00  7.8722142E-03
   7105.33  8.2035787E-03
   7105.67  8.5710108E-03
   7106.00  8.9812556E-03
   7106.33  9.4512109E-03
   7106.67  9.9881345E-03
   7107.00  1.0608094E-02
   7107.33  1.1350751E-02
   7107.67  1.2240473E-02
   7108.00  1.3324817E-02
   7108.33  1.4723406E-02
   7108.67  1.6540349E-02
   7109.00  1.8972582E-02
   7109.33  2.2556541E-02
   7109.67  2.7968867E-02
   7110.00  3.6557764E-02
   7110.33  5.2151023E-02
   7110.67  7.7112498E-02
   7111.00  1.0355178E-01
   7111.33  1.0918750E-01
   7111.67  1.0808738E-01
   7112.00  1.1352670E-01
   7112.33  1.2298604E-01
   7112.67  1.2166621E-01
   7113.00  1.0560026E-01
   7113.33  8.4050245E-02
   7113.67  6.6849937E-02
   7114.00  5.5925287E-02
   7114.33  5.0455112E-02
   7114.67  4.6938837E-02
   7115.00  4.3791912E-02
   7115.33  4.1971894E-02
   7115.67  4.1613486E-02
   7116.00  4.2371266E-02
   7116.33  4.3931988E-02
   7116.67  4.5950662E-02
   7117.00  4.8423169E-02
   7117.33  5.1693581E-02
   7117.67  5.6038996E-02
   7118.00  6.1737776E-02
   7118.33  6.9203841E-02
   7118.67  7.8267048E-02
   7119.00  8.8712338E-02
   7119.33  1.0006536E-01
   7119.67  1.1145680E-01
   7120.00  1.2240824E-01
   7120.33  1.3298574E-01
   7120.67  1.4411171E-01
   7121.00  1.5686661E-01
   7121.33  1.7280498E-01
   7121.67  1.9242910E-01
   7122.00  2.1610490E-01
   7122.33  2.4436834E-01
   7122.67  2.7645517E-01
   7123.00  3.1206171E-01
   7123.33  3.5115446E-01
   7123.67  3.9257086E-01
   7124.00  4.3488253E-01
   7124.33  4.7459226E-01
   7124.67  5.0726928E-01
   7125.00  5.2897376E-01
   7125.33  5.3649692E-01
   7125.67  5.3465781E-01
   7126.00  5.2895547E-01
