    FDMNES
    energy     <xanes>
   7097.00  5.4368635E-03
   7097.33  5.5755926E-03
   7097.67  5.7210793E-03
   7098.00  5.8738048E-03
   7098.33  6.0353733E-03
   7098.67  6.2054967E-03
   7099.00  6.3848371E-03
   7099.33  6.5755156E-03
   7099.67  6.7772439E-03
   7100.00  6.9909562E-03
   7100.33  7.2195310E-03
   7100.67  7.4627156E-03
   7101.00  7.7218687E-03
   7101.33  8.0010166E-03
   7101.67  8.3000205E-03
   7102.00  8.6209282E-03
   7102.33  8.9695785E-03
   7102.67  9.3461170E-03
   7103.00  9.7537646E-03
   7103.33  1.0201365E-02
   7103.67  1.0689730E-02
   7104.00  1.1224196E-02
   7104.33  1.1818892E-02
   7104.67  1.2476200E-02
   7105.00  1.3205543E-02
   7105.33  1.4031081E-02
   7105.67  1.4959036E-02
   7106.00  1.6007494E-02
   7106.33  1.7221568E-02
   7106.67  1.8617712E-02
   7107.00  2.0234699E-02
   7107.33  2.2167571E-02
   7107.67  2.4463854E-02
   7108.00  2.7220873E-02
   7108.33  3.0677478E-02
   7108.67  3.4997678E-02
   7109.00  4.0493380E-02
   7109.33  4.7962380E-02
   7109.67  5.8188204E-02
   7110.00  7.2676512E-02
   7110.33  9.5641858E-02
   7110.67  1.3189989E-01
   7111.00  1.8617352E-01
   7111.33  2.5752020E-01
   7111.67  3.4409468E-01
   7112.00  4.5656923E-01
   7112.33  6.0035137E-01
   7112.67  7.3079173E-01
   7113.00  7.5050727E-01
   7113.33  6.1273625E-01
   7113.67  4.5930375E-01
   7114.00  3.4720181E-01
   7114.33  2.7969197E-01
   7114.67  2.3804465E-01
   7115.00  2.1430094E-01
   7115.33  2.0455200E-01
   7115.67  2.0296807E-01
   7116.00  2.0486024E-01
   7116.33  2.0335859E-01
   7116.67  1.9535975E-01
   7117.00  1.8237528E-01
   7117.33  1.6836220E-01
   7117.67  1.5604683E-01
   7118.00  1.4600514E-01
   7118.33  1.3845217E-01
   7118.67  1.3288682E-01
   7119.00  1.2914464E-01
   7119.33  1.2745872E-01
   7119.67  1.2758653E-01
   7120.00  1.2918491E-01
   7120.33  1.3154275E-01
   7120.67  1.3376530E-01
   7121.00  1.3555258E-01
   7121.33  1.3723087E-01
   7121.67  1.3944721E-01
   7122.00  1.4282039E-01
   7122.33  1.4858813E-01
   7122.67  1.5718277E-01
   7123.00  1.6871298E-01
   7123.33  1.8293387E-01
   7123.67  1.9817523E-01
   7124.00  2.1322151E-01
   7124.33  2.2831958E-01
   7124.67  2.4530138E-01
   7125.00  2.6457973E-01
   7125.33  2.8381827E-01
   7125.67  3.0102949E-01
   7126.00  3.1763730E-01
   7126.33  3.3691552E-01
   7126.67  3.5823283E-01
   7127.00  3.7861978E-01
   7127.33  3.9504497E-01
   7127.67  4.0932479E-01
   7128.00  4.2492021E-01
   7128.33  4.4650621E-01
   7128.67  4.7611681E-01
   7129.00  5.1506015E-01
   7129.33  5.6498294E-01
   7129.67  6.2317931E-01
