    FDMNES
    energy     <xanes>
   7097.00  4.0328117E-03
   7097.33  4.1101052E-03
   7097.67  4.1902239E-03
   7098.00  4.2733332E-03
   7098.33  4.3600448E-03
   7098.67  4.4501927E-03
   7099.00  4.5439985E-03
   7099.33  4.6422417E-03
   7099.67  4.7447497E-03
   7100.00  4.8518290E-03
   7100.33  4.9645012E-03
   7100.67  5.0825991E-03
   7101.00  5.2065618E-03
   7101.33  5.3377771E-03
   7101.67  5.4761091E-03
   7102.00  5.6222160E-03
   7102.33  5.7780663E-03
   7102.67  5.9436168E-03
   7103.00  6.1199076E-03
   7103.33  6.3098877E-03
   7103.67  6.5137507E-03
   7104.00  6.7332513E-03
   7104.33  6.9731242E-03
   7104.67  7.2341592E-03
   7105.00  7.5195729E-03
   7105.33  7.8376757E-03
   7105.67  8.1908366E-03
   7106.00  8.5856218E-03
   7106.33  9.0384494E-03
   7106.67  9.5563233E-03
   7107.00  1.0154749E-02
   7107.33  1.0871923E-02
   7107.67  1.1730937E-02
   7108.00  1.2776898E-02
   7108.33  1.4122773E-02
   7108.67  1.5864470E-02
   7109.00  1.8182755E-02
   7109.33  2.1564799E-02
   7109.67  2.6606162E-02
   7110.00  3.4489144E-02
   7110.33  4.8664789E-02
   7110.67  7.2556052E-02
   7111.00  1.0414739E-01
   7111.33  1.2012245E-01
   7111.67  1.1675435E-01
   7112.00  1.0788033E-01
   7112.33  9.6577935E-02
   7112.67  9.0545078E-02
   7113.00  9.4677503E-02
   7113.33  1.0390519E-01
   7113.67  1.1078794E-01
   7114.00  1.1006805E-01
   7114.33  9.7077578E-02
   7114.67  7.9215900E-02
   7115.00  6.2323853E-02
   7115.33  5.0077223E-02
   7115.67  4.1973750E-02
   7116.00  3.6863281E-02
   7116.33  3.3907294E-02
   7116.67  3.2235172E-02
   7117.00  3.1526590E-02
   7117.33  3.1625129E-02
   7117.67  3.2214757E-02
   7118.00  3.3088326E-02
   7118.33  3.4128811E-02
   7118.67  3.5390987E-02
   7119.00  3.7015232E-02
   7119.33  3.9197241E-02
   7119.67  4.1996681E-02
   7120.00  4.5548447E-02
   7120.33  5.0169696E-02
   7120.67  5.5984455E-02
   7121.00  6.3259012E-02
   7121.33  7.2646863E-02
   7121.67  8.4449880E-02
   7122.00  9.9203263E-02
   7122.33  1.1811519E-01
   7122.67  1.4149094E-01
   7123.00  1.6954397E-01
   7123.33  2.0074433E-01
   7123.67  2.2909565E-01
   7124.00  2.5047903E-01
   7124.33  2.6791912E-01
   7124.67  2.8837884E-01
   7125.00  3.1462699E-01
   7125.33  3.4642339E-01
   7125.67  3.7990011E-01
   7126.00  4.1351867E-01
   7126.33  4.4912315E-01
   7126.67  4.8794558E-01
   7127.00  5.2823986E-01
   7127.33  5.7017750E-01
   7127.67  6.1887009E-01
   7128.00  6.7849877E-01
   7128.33  7.5100344E-01
   7128.67  8.2988061E-01
   7129.00  9.0652071E-01
   7129.33  9.6780068E-01
   7129.67  1.0088753E+00
   7130.00  1.0299788E+00
   7130.33  1.0326753E+00
   7130.67  1.0224600E+00
   7131.00  1.0020442E+00
   7131.33  9.7489365E-01
   7131.67  9.4661329E-01
   7132.00  9.2052652E-01
   7132.33  8.9905452E-01
   7132.67  8.8163914E-01
   7133.00  8.6720007E-01
   7133.33  8.5404456E-01
   7133.67  8.4018299E-01
   7134.00  8.2447756E-01
   7134.33  8.0616288E-01
   7134.67  7.8598737E-01
   7135.00  7.6494370E-01
   7135.33  7.4452190E-01
   7135.67  7.2583560E-01
   7136.00  7.0950310E-01
   7136.33  6.9610484E-01
   7136.67  6.8515111E-01
   7137.00  6.7625645E-01
   7137.33  6.6900442E-01
   7137.67  6.6261031E-01
   7138.00  6.5666097E-01
   7138.33  6.5086915E-01
   7138.67  6.4507543E-01
   7139.00  6.3922807E-01
   7139.33  6.3327088E-01
   7139.67  6.2717142E-01
   7140.00  6.2091208E-01
   7140.33  6.1452992E-01
   7140.67  6.0819330E-01
   7141.00  6.0210061E-01
   7141.33  5.9655412E-01
   7141.67  5.9166961E-01
   7142.00  5.8750817E-01
   7142.33  5.8412093E-01
   7142.67  5.8131426E-01
   7143.00  5.7898553E-01
   7143.33  5.7710712E-01
   7143.67  5.7563607E-01
   7144.00  5.7464644E-01
   7144.33  5.7432779E-01
   7144.67  5.7471573E-01
   7145.00  5.7586759E-01
   7145.33  5.7787421E-01
   7145.67  5.8056957E-01
   7146.00  5.8383744E-01
   7146.33  5.8751208E-01
   7146.67  5.9127362E-01
   7147.00  5.9486206E-01
   7147.33  5.9791155E-01
   7147.67  6.0018382E-01
   7148.00  6.0145822E-01
   7148.33  6.0138969E-01
   7148.67  5.9999870E-01
   7149.00  5.9724208E-01
   7149.33  5.9297836E-01
   7149.67  5.8746097E-01
   7150.00  5.8079641E-01
   7150.33  5.7299743E-01
   7150.67  5.6431250E-01
   7151.00  5.5481724E-01
   7151.33  5.4446886E-01
   7151.67  5.3338792E-01
   7152.00  5.2158773E-01
   7152.33  5.0900363E-01
   7152.67  4.9576490E-01
   7153.00  4.8192689E-01
   7153.33  4.6752084E-01
   7153.67  4.5274055E-01
   7154.00  4.3772655E-01
   7154.33  4.2265609E-01
   7154.67  4.0772374E-01
   7155.00  3.9308002E-01
   7155.33  3.7891912E-01
   7155.67  3.6528676E-01
   7156.00  3.5224169E-01
   7156.33  3.3991202E-01
   7156.67  3.2826046E-01
   7157.00  3.1732586E-01
   7157.33  3.0725055E-01
   7157.67  2.9798071E-01
   7158.00  2.8954201E-01
   7158.33  2.8205542E-01
   7158.67  2.7541930E-01
   7159.00  2.6963447E-01
   7159.33  2.6481052E-01
   7159.67  2.6084883E-01
   7160.00  2.5776149E-01
   7160.33  2.5567798E-01
   7160.67  2.5450444E-01
   7161.00  2.5425112E-01
   7161.33  2.5503554E-01
   7161.67  2.5673196E-01
   7162.00  2.5931671E-01
   7162.33  2.6283368E-01
   7162.67  2.6708557E-01
   7163.00  2.7198878E-01
   7163.33  2.7751508E-01
   7163.67  2.8348573E-01
   7164.00  2.8980099E-01
   7164.33  2.9637884E-01
   7164.67  3.0308643E-01
   7165.00  3.0984164E-01
   7165.33  3.1655461E-01
   7165.67  3.2315774E-01
   7166.00  3.2960006E-01
   7166.33  3.3581064E-01
   7166.67  3.4178542E-01
   7167.00  3.4751061E-01
   7167.33  3.5295156E-01
   7167.67  3.5814789E-01
   7168.00  3.6311233E-01
   7168.33  3.6783673E-01
   7168.67  3.7236637E-01
   7169.00  3.7671467E-01
   7169.33  3.8087107E-01
   7169.67  3.8485977E-01
   7170.00  3.8867625E-01
   7170.33  3.9228472E-01
   7170.67  3.9568661E-01
   7171.00  3.9885358E-01
   7171.33  4.0169763E-01
   7171.67  4.0416565E-01
   7172.00  4.0614833E-01
