    FDMNES
    energy     <xanes>
   7097.00  5.5737033E-03
   7097.33  5.7249316E-03
   7097.67  5.8839399E-03
   7098.00  6.0513071E-03
   7098.33  6.2289218E-03
   7098.67  6.4164866E-03
   7099.00  6.6148064E-03
   7099.33  6.8264084E-03
   7099.67  7.0510077E-03
   7100.00  7.2897539E-03
   7100.33  7.5461219E-03
   7100.67  7.8198913E-03
   7101.00  8.1127574E-03
   7101.33  8.4296537E-03
   7101.67  8.7705367E-03
   7102.00  9.1380027E-03
   7102.33  9.5393286E-03
   7102.67  9.9748954E-03
   7103.00  1.0448863E-02
   7103.33  1.0972475E-02
   7103.67  1.1547098E-02
   7104.00  1.2179778E-02
   7104.33  1.2888914E-02
   7104.67  1.3678212E-02
   7105.00  1.4560462E-02
   7105.33  1.5568073E-02
   7105.67  1.6710604E-02
   7106.00  1.8013480E-02
   7106.33  1.9539593E-02
   7106.67  2.1314658E-02
   7107.00  2.3395823E-02
   7107.33  2.5922684E-02
   7107.67  2.8972781E-02
   7108.00  3.2699395E-02
   7108.33  3.7480737E-02
   7108.67  4.3604862E-02
   7109.00  5.1613456E-02
   7109.33  6.2921071E-02
   7109.67  7.9069120E-02
   7110.00  1.0305506E-01
   7110.33  1.4344869E-01
   7110.67  2.0979456E-01
   7111.00  3.0757707E-01
   7111.33  4.1934625E-01
   7111.67  5.1897959E-01
   7112.00  6.0651743E-01
   7112.33  6.8565720E-01
   7112.67  7.2726984E-01
   7113.00  6.9829262E-01
   7113.33  5.9299939E-01
   7113.67  4.6896108E-01
   7114.00  3.6256186E-01
   7114.33  2.8804502E-01
   7114.67  2.3662788E-01
   7115.00  2.0227779E-01
   7115.33  1.8116806E-01
   7115.67  1.6865716E-01
   7116.00  1.6306329E-01
   7116.33  1.6325133E-01
   7116.67  1.6615483E-01
   7117.00  1.6919422E-01
   7117.33  1.6953027E-01
   7117.67  1.6677071E-01
   7118.00  1.6210602E-01
   7118.33  1.5736625E-01
   7118.67  1.5325479E-01
   7119.00  1.4943678E-01
   7119.33  1.4541318E-01
   7119.67  1.4172418E-01
   7120.00  1.3945598E-01
   7120.33  1.3943904E-01
   7120.67  1.4125394E-01
   7121.00  1.4506406E-01
   7121.33  1.5170059E-01
   7121.67  1.6137370E-01
   7122.00  1.7426187E-01
   7122.33  1.8903509E-01
   7122.67  2.0192634E-01
   7123.00  2.1145907E-01
   7123.33  2.1965469E-01
   7123.67  2.2968561E-01
   7124.00  2.4272001E-01
   7124.33  2.5850881E-01
   7124.67  2.7439865E-01
   7125.00  2.8791409E-01
   7125.33  2.9786682E-01
   7125.67  3.0683656E-01
   7126.00  3.1732819E-01
   7126.33  3.3152885E-01
   7126.67  3.4904213E-01
   7127.00  3.6869091E-01
   7127.33  3.8867003E-01
   7127.67  4.0748173E-01
   7128.00  4.2458502E-01
   7128.33  4.4008210E-01
   7128.67  4.5520971E-01
   7129.00  4.7106769E-01
   7129.33  4.8857798E-01
   7129.67  5.0742364E-01
   7130.00  5.2718199E-01
   7130.33  5.4737696E-01
   7130.67  5.6713005E-01
   7131.00  5.8558224E-01
   7131.33  6.0186263E-01
   7131.67  6.1603540E-01
   7132.00  6.2807130E-01
   7132.33  6.3768932E-01
   7132.67  6.4513595E-01
   7133.00  6.5030205E-01
   7133.33  6.5260299E-01
   7133.67  6.5208947E-01
   7134.00  6.4867429E-01
   7134.33  6.4203914E-01
   7134.67  6.3257840E-01
   7135.00  6.2031485E-01
   7135.33  6.0504663E-01
   7135.67  5.8739891E-01
   7136.00  5.6775164E-01
   7136.33  5.4658938E-01
   7136.67  5.2501998E-01
   7137.00  5.0402683E-01
   7137.33  4.8498146E-01
   7137.67  4.6862936E-01
   7138.00  4.5555663E-01
   7138.33  4.4661686E-01
   7138.67  4.4147095E-01
   7139.00  4.4004190E-01
   7139.33  4.4251057E-01
   7139.67  4.4806618E-01
   7140.00  4.5632200E-01
   7140.33  4.6707013E-01
   7140.67  4.7954522E-01
   7141.00  4.9334433E-01
   7141.33  5.0814113E-01
   7141.67  5.2343789E-01
   7142.00  5.3895721E-01
   7142.33  5.5445172E-01
   7142.67  5.6977005E-01
   7143.00  5.8484516E-01
   7143.33  5.9961576E-01
   7143.67  6.1410368E-01
   7144.00  6.2828381E-01
   7144.33  6.4204823E-01
   7144.67  6.5534787E-01
   7145.00  6.6808673E-01
   7145.33  6.8007912E-01
   7145.67  6.9133859E-01
   7146.00  7.0184297E-01
   7146.33  7.1151755E-01
   7146.67  7.2050414E-01
   7147.00  7.2885481E-01
   7147.33  7.3655225E-01
   7147.67  7.4370360E-01
   7148.00  7.5031269E-01
   7148.33  7.5628390E-01
   7148.67  7.6164117E-01
   7149.00  7.6633875E-01
   7149.33  7.7023461E-01
   7149.67  7.7335184E-01
   7150.00  7.7562831E-01
   7150.33  7.7688399E-01
   7150.67  7.7717804E-01
   7151.00  7.7648334E-01
   7151.33  7.7467427E-01
   7151.67  7.7190624E-01
   7152.00  7.6823071E-01
   7152.33  7.6362725E-01
   7152.67  7.5829789E-01
   7153.00  7.5233412E-01
   7153.33  7.4577785E-01
   7153.67  7.3879900E-01
   7154.00  7.3148198E-01
   7154.33  7.2388613E-01
   7154.67  7.1612151E-01
   7155.00  7.0824578E-01
   7155.33  7.0030518E-01
   7155.67  6.9234368E-01
   7156.00  6.8437786E-01
   7156.33  6.7640842E-01
   7156.67  6.6842002E-01
   7157.00  6.6038901E-01
   7157.33  6.5227001E-01
   7157.67  6.4403349E-01
   7158.00  6.3564786E-01
   7158.33  6.2706219E-01
   7158.67  6.1828430E-01
   7159.00  6.0931584E-01
   7159.33  6.0015487E-01
   7159.67  5.9086148E-01
   7160.00  5.8148241E-01
   7160.33  5.7207869E-01
   7160.67  5.6271755E-01
   7161.00  5.5344897E-01
   7161.33  5.4433920E-01
   7161.67  5.3540673E-01
   7162.00  5.2667095E-01
   7162.33  5.1816509E-01
   7162.67  5.0985712E-01
   7163.00  5.0173355E-01
   7163.33  4.9379438E-01
   7163.67  4.8599834E-01
   7164.00  4.7833047E-01
   7164.33  4.7079312E-01
   7164.67  4.6336720E-01
   7165.00  4.5605499E-01
   7165.33  4.4888033E-01
   7165.67  4.4184349E-01
   7166.00  4.3496346E-01
   7166.33  4.2828826E-01
   7166.67  4.2181823E-01
   7167.00  4.1556747E-01
   7167.33  4.0957531E-01
   7167.67  4.0381857E-01
   7168.00  3.9829758E-01
   7168.33  3.9303320E-01
   7168.67  3.8798118E-01
   7169.00  3.8312420E-01
   7169.33  3.7846237E-01
   7169.67  3.7395430E-01
   7170.00  3.6958686E-01
   7170.33  3.6537002E-01
   7170.67  3.6129655E-01
   7171.00  3.5739514E-01
   7171.33  3.5376837E-01
   7171.67  3.5052743E-01
   7172.00  3.4785894E-01
