    FDMNES
    energy     <xanes>
   7097.00  4.2948657E-03
   7097.33  4.3854996E-03
   7097.67  4.4798374E-03
   7098.00  4.5781149E-03
   7098.33  4.6811653E-03
   7098.67  4.7887950E-03
   7099.00  4.9013237E-03
   7099.33  5.0198294E-03
   7099.67  5.1441131E-03
   7100.00  5.2746203E-03
   7100.33  5.4127852E-03
   7100.67  5.5584198E-03
   7101.00  5.7121665E-03
   7101.33  5.8759971E-03
   7101.67  6.0497723E-03
   7102.00  6.2344560E-03
   7102.33  6.4328705E-03
   7102.67  6.6450095E-03
   7103.00  6.8723904E-03
   7103.33  7.1192570E-03
   7103.67  7.3859305E-03
   7104.00  7.6749453E-03
   7104.33  7.9930884E-03
   7104.67  8.3414811E-03
   7105.00  8.7246817E-03
   7105.33  9.1544345E-03
   7105.67  9.6339073E-03
   7106.00  1.0172123E-02
   7106.33  1.0791629E-02
   7106.67  1.1501335E-02
   7107.00  1.2321568E-02
   7107.33  1.3302278E-02
   7107.67  1.4471110E-02
   7108.00  1.5883164E-02
   7108.33  1.7675005E-02
   7108.67  1.9952018E-02
   7109.00  2.2913022E-02
   7109.33  2.7080354E-02
   7109.67  3.3034760E-02
   7110.00  4.1911244E-02
   7110.33  5.6987921E-02
   7110.67  8.2031747E-02
   7111.00  1.1900882E-01
   7111.33  1.5702345E-01
   7111.67  1.8508802E-01
   7112.00  2.0452230E-01
   7112.33  2.1760768E-01
   7112.67  2.3480441E-01
   7113.00  2.3922503E-01
   7113.33  2.0177771E-01
   7113.67  1.5673344E-01
   7114.00  1.2239897E-01
   7114.33  9.8465032E-02
   7114.67  8.1694509E-02
   7115.00  7.1186215E-02
   7115.33  6.5409902E-02
   7115.67  6.2203575E-02
   7116.00  6.0694099E-02
   7116.33  6.0388309E-02
   7116.67  6.1037669E-02
   7117.00  6.2879509E-02
   7117.33  6.6262457E-02
   7117.67  7.0996120E-02
   7118.00  7.7079551E-02
   7118.33  8.4765922E-02
   7118.67  9.3910274E-02
   7119.00  1.0442648E-01
   7119.33  1.1622830E-01
   7119.67  1.2882817E-01
   7120.00  1.4185858E-01
   7120.33  1.5485646E-01
   7120.67  1.6740848E-01
   7121.00  1.7925662E-01
   7121.33  1.9016951E-01
   7121.67  2.0031825E-01
   7122.00  2.0993118E-01
   7122.33  2.1971905E-01
   7122.67  2.3123795E-01
   7123.00  2.4622987E-01
   7123.33  2.6575938E-01
   7123.67  2.8835528E-01
   7124.00  3.1390188E-01
   7124.33  3.4376224E-01
   7124.67  3.7770770E-01
   7125.00  4.1403510E-01
   7125.33  4.4830123E-01
   7125.67  4.7740562E-01
   7126.00  5.0072928E-01
   7126.33  5.1774638E-01
   7126.67  5.2935334E-01
   7127.00  5.3642403E-01
   7127.33  5.4049721E-01
   7127.67  5.4303744E-01
   7128.00  5.4420224E-01
   7128.33  5.4419700E-01
   7128.67  5.4387239E-01
   7129.00  5.4372402E-01
   7129.33  5.4392455E-01
   7129.67  5.4425200E-01
   7130.00  5.4445728E-01
   7130.33  5.4423281E-01
   7130.67  5.4391834E-01
   7131.00  5.4464865E-01
   7131.33  5.4845395E-01
   7131.67  5.5574669E-01
   7132.00  5.6627420E-01
   7132.33  5.7981065E-01
   7132.67  5.9566439E-01
   7133.00  6.1368262E-01
   7133.33  6.3390115E-01
   7133.67  6.5552397E-01
   7134.00  6.7779841E-01
   7134.33  6.9991691E-01
   7134.67  7.2154174E-01
   7135.00  7.4271528E-01
   7135.33  7.6344701E-01
   7135.67  7.8316595E-01
   7136.00  8.0060509E-01
   7136.33  8.1357217E-01
   7136.67  8.2136791E-01
   7137.00  8.2359557E-01
   7137.33  8.1980036E-01
   7137.67  8.1139528E-01
   7138.00  7.9924654E-01
   7138.33  7.8406976E-01
   7138.67  7.6717345E-01
   7139.00  7.4928794E-01
   7139.33  7.3108504E-01
   7139.67  7.1315372E-01
   7140.00  6.9586083E-01
   7140.33  6.7964850E-01
   7140.67  6.6462708E-01
   7141.00  6.5093553E-01
   7141.33  6.3885761E-01
   7141.67  6.2826635E-01
   7142.00  6.1917098E-01
   7142.33  6.1172813E-01
   7142.67  6.0569076E-01
   7143.00  6.0097823E-01
   7143.33  5.9761807E-01
   7143.67  5.9530965E-01
   7144.00  5.9390557E-01
   7144.33  5.9330748E-01
   7144.67  5.9323040E-01
   7145.00  5.9351076E-01
   7145.33  5.9399421E-01
   7145.67  5.9450130E-01
   7146.00  5.9491703E-01
   7146.33  5.9510747E-01
   7146.67  5.9501800E-01
   7147.00  5.9460697E-01
   7147.33  5.9381688E-01
   7147.67  5.9270964E-01
   7148.00  5.9132717E-01
   7148.33  5.8971393E-01
   7148.67  5.8797953E-01
   7149.00  5.8619636E-01
   7149.33  5.8444129E-01
   7149.67  5.8276537E-01
   7150.00  5.8119254E-01
   7150.33  5.7973536E-01
   7150.67  5.7835181E-01
   7151.00  5.7699555E-01
   7151.33  5.7558680E-01
   7151.67  5.7404558E-01
   7152.00  5.7229166E-01
   7152.33  5.7018756E-01
   7152.67  5.6767439E-01
   7153.00  5.6467186E-01
