    FDMNES
    energy     <xanes>
   7097.00  4.7033233E-03
   7097.33  4.8151342E-03
   7097.67  4.9323345E-03
   7098.00  5.0553145E-03
   7098.33  5.1853651E-03
   7098.67  5.3222664E-03
   7099.00  5.4665591E-03
   7099.33  5.6199607E-03
   7099.67  5.7822572E-03
   7100.00  5.9542177E-03
   7100.33  6.1381908E-03
   7100.67  6.3340015E-03
   7101.00  6.5427798E-03
   7101.33  6.7678416E-03
   7101.67  7.0091235E-03
   7102.00  7.2683488E-03
   7102.33  7.5503814E-03
   7102.67  7.8554291E-03
   7103.00  8.1862408E-03
   7103.33  8.5502883E-03
   7103.67  8.9484128E-03
   7104.00  9.3852469E-03
   7104.33  9.8729453E-03
   7104.67  1.0413849E-02
   7105.00  1.1016326E-02
   7105.33  1.1701643E-02
   7105.67  1.2475895E-02
   7106.00  1.3355613E-02
   7106.33  1.4381777E-02
   7106.67  1.5570812E-02
   7107.00  1.6959628E-02
   7107.33  1.8638502E-02
   7107.67  2.0656914E-02
   7108.00  2.3113254E-02
   7108.33  2.6250478E-02
   7108.67  3.0252451E-02
   7109.00  3.5466099E-02
   7109.33  4.2799108E-02
   7109.67  5.3243704E-02
   7110.00  6.8734959E-02
   7110.33  9.4784004E-02
   7110.67  1.3706374E-01
   7111.00  1.9638341E-01
   7111.33  2.5573984E-01
   7111.67  3.1351910E-01
   7112.00  3.8521912E-01
   7112.33  4.6665036E-01
   7112.67  5.2267952E-01
   7113.00  5.2543803E-01
   7113.33  4.5090759E-01
   7113.67  3.4298451E-01
   7114.00  2.4536956E-01
   7114.33  1.8326001E-01
   7114.67  1.4877813E-01
   7115.00  1.3402764E-01
   7115.33  1.3035770E-01
   7115.67  1.2640467E-01
   7116.00  1.2173430E-01
   7116.33  1.2217733E-01
   7116.67  1.2734314E-01
   7117.00  1.3271716E-01
   7117.33  1.3263230E-01
   7117.67  1.2892824E-01
   7118.00  1.2529443E-01
   7118.33  1.2420475E-01
   7118.67  1.2467627E-01
   7119.00  1.2462091E-01
   7119.33  1.2266261E-01
   7119.67  1.2067149E-01
   7120.00  1.1888362E-01
   7120.33  1.1632782E-01
   7120.67  1.1410220E-01
   7121.00  1.1287130E-01
   7121.33  1.1223058E-01
   7121.67  1.1167158E-01
   7122.00  1.1155040E-01
   7122.33  1.1260423E-01
   7122.67  1.1488397E-01
   7123.00  1.1824489E-01
   7123.33  1.2237002E-01
   7123.67  1.2657818E-01
   7124.00  1.3048658E-01
   7124.33  1.3437441E-01
   7124.67  1.3891452E-01
   7125.00  1.4424795E-01
   7125.33  1.5003785E-01
   7125.67  1.5579700E-01
   7126.00  1.6142003E-01
   7126.33  1.6712947E-01
   7126.67  1.7334541E-01
   7127.00  1.8036336E-01
   7127.33  1.8825064E-01
   7127.67  1.9659625E-01
   7128.00  2.0516851E-01
   7128.33  2.1409798E-01
   7128.67  2.2386968E-01
   7129.00  2.3503950E-01
   7129.33  2.4833337E-01
   7129.67  2.6366633E-01
   7130.00  2.8087245E-01
   7130.33  2.9973727E-01
   7130.67  3.1970434E-01
   7131.00  3.4066231E-01
   7131.33  3.6297217E-01
   7131.67  3.8699835E-01
   7132.00  4.1333874E-01
   7132.33  4.4312453E-01
   7132.67  4.7638566E-01
   7133.00  5.1271547E-01
   7133.33  5.5065377E-01
   7133.67  5.8766303E-01
   7134.00  6.2194092E-01
   7134.33  6.5184313E-01
   7134.67  6.7755058E-01
   7135.00  6.9894037E-01
   7135.33  7.1503495E-01
   7135.67  7.2585343E-01
   7136.00  7.3101415E-01
   7136.33  7.2973129E-01
   7136.67  7.2301268E-01
   7137.00  7.1137959E-01
