    FDMNES
    energy     <xanes>
   7097.00  5.3118062E-03
   7097.33  5.4432143E-03
   7097.67  5.5808099E-03
   7098.00  5.7250200E-03
   7098.33  5.8772899E-03
   7098.67  6.0373364E-03
   7099.00  6.2057416E-03
   7099.33  6.3843994E-03
   7099.67  6.5730193E-03
   7100.00  6.7724142E-03
   7100.33  6.9851286E-03
   7100.67  7.2108910E-03
   7101.00  7.4508708E-03
   7101.33  7.7085859E-03
   7101.67  7.9838434E-03
   7102.00  8.2783839E-03
   7102.33  8.5972410E-03
   7102.67  8.9404306E-03
   7103.00  9.3106507E-03
   7103.33  9.7154094E-03
   7103.67  1.0155221E-02
   7104.00  1.0634481E-02
   7104.33  1.1164976E-02
   7104.67  1.1748396E-02
   7105.00  1.2392359E-02
   7105.33  1.3116606E-02
   7105.67  1.3925694E-02
   7106.00  1.4833932E-02
   7106.33  1.5877309E-02
   7106.67  1.7067941E-02
   7107.00  1.8435766E-02
   7107.33  2.0054556E-02
   7107.67  2.1959086E-02
   7108.00  2.4222531E-02
   7108.33  2.7024833E-02
   7108.67  3.0484647E-02
   7109.00  3.4830549E-02
   7109.33  4.0646966E-02
   7109.67  4.8496011E-02
   7110.00  5.9462253E-02
   7110.33  7.6563368E-02
   7110.67  1.0305202E-01
   7111.00  1.4170866E-01
   7111.33  1.9348849E-01
   7111.67  2.5844648E-01
   7112.00  3.3197031E-01
   7112.33  4.0147741E-01
   7112.67  4.7195524E-01
   7113.00  5.4957206E-01
   7113.33  6.0822721E-01
   7113.67  6.0898179E-01
   7114.00  5.5273955E-01
   7114.33  4.7260187E-01
   7114.67  3.9447575E-01
   7115.00  3.2837730E-01
   7115.33  2.8051045E-01
   7115.67  2.4730009E-01
   7116.00  2.2609238E-01
   7116.33  2.1466697E-01
   7116.67  2.0772111E-01
   7117.00  2.0101527E-01
   7117.33  1.9096331E-01
   7117.67  1.7855840E-01
   7118.00  1.6607093E-01
   7118.33  1.5561813E-01
   7118.67  1.4737257E-01
   7119.00  1.4098738E-01
   7119.33  1.3601676E-01
   7119.67  1.3183223E-01
   7120.00  1.2825040E-01
   7120.33  1.2538100E-01
   7120.67  1.2327623E-01
   7121.00  1.2198972E-01
   7121.33  1.2181211E-01
   7121.67  1.2283636E-01
   7122.00  1.2499245E-01
   7122.33  1.2811451E-01
   7122.67  1.3191843E-01
   7123.00  1.3639317E-01
   7123.33  1.4173979E-01
   7123.67  1.4804951E-01
   7124.00  1.5551719E-01
   7124.33  1.6450969E-01
   7124.67  1.7495776E-01
   7125.00  1.8690011E-01
   7125.33  2.0077280E-01
   7125.67  2.1699011E-01
   7126.00  2.3627884E-01
   7126.33  2.5967027E-01
   7126.67  2.8662481E-01
   7127.00  3.1640254E-01
   7127.33  3.4740258E-01
   7127.67  3.7724827E-01
   7128.00  4.0455639E-01
   7128.33  4.2941148E-01
   7128.67  4.5491251E-01
   7129.00  4.8470472E-01
   7129.33  5.2378884E-01
   7129.67  5.7287986E-01
   7130.00  6.3076349E-01
   7130.33  6.9376999E-01
   7130.67  7.5609123E-01
   7131.00  8.1440735E-01
   7131.33  8.6658798E-01
   7131.67  9.1360221E-01
