    FDMNES
    energy     <xanes>
   7097.00  5.6643505E-03
   7097.33  5.8160693E-03
   7097.67  5.9755090E-03
   7098.00  6.1432370E-03
   7098.33  6.3211152E-03
   7098.67  6.5088377E-03
   7099.00  6.7071897E-03
   7099.33  6.9186516E-03
   7099.67  7.1429242E-03
   7100.00  7.3811223E-03
   7100.33  7.6366384E-03
   7100.67  7.9092255E-03
   7101.00  8.2005162E-03
   7101.33  8.5152943E-03
   7101.67  8.8534649E-03
   7102.00  9.2175065E-03
   7102.33  9.6144149E-03
   7102.67  1.0044465E-02
   7103.00  1.0511584E-02
   7103.33  1.1026464E-02
   7103.67  1.1590236E-02
   7104.00  1.2209461E-02
   7104.33  1.2901386E-02
   7104.67  1.3669156E-02
   7105.00  1.4524462E-02
   7105.33  1.5497113E-02
   7105.67  1.6595201E-02
   7106.00  1.7841402E-02
   7106.33  1.9292066E-02
   7106.67  2.0968560E-02
   7107.00  2.2920143E-02
   7107.33  2.5267316E-02
   7107.67  2.8072253E-02
   7108.00  3.1460708E-02
   7108.33  3.5741413E-02
   7108.67  4.1132204E-02
   7109.00  4.8045334E-02
   7109.33  5.7539252E-02
   7109.67  7.0678486E-02
   7110.00  8.9509187E-02
   7110.33  1.1975307E-01
   7110.67  1.6769482E-01
   7111.00  2.3881598E-01
   7111.33  3.3704065E-01
   7111.67  4.6727036E-01
   7112.00  6.1745233E-01
   7112.33  7.2602651E-01
   7112.67  7.7038303E-01
   7113.00  7.5498701E-01
   7113.33  6.7994474E-01
   7113.67  5.7632796E-01
   7114.00  4.6811925E-01
   7114.33  3.7604624E-01
   7114.67  3.0648111E-01
   7115.00  2.5714492E-01
   7115.33  2.2434320E-01
   7115.67  2.0160315E-01
   7116.00  1.8614243E-01
   7116.33  1.7640990E-01
   7116.67  1.7021869E-01
   7117.00  1.6649031E-01
   7117.33  1.6432521E-01
   7117.67  1.6268523E-01
   7118.00  1.6118163E-01
   7118.33  1.5988244E-01
   7118.67  1.5864867E-01
   7119.00  1.5688177E-01
   7119.33  1.5372522E-01
   7119.67  1.4919397E-01
   7120.00  1.4377299E-01
   7120.33  1.3860531E-01
   7120.67  1.3466133E-01
   7121.00  1.3222863E-01
   7121.33  1.3105794E-01
   7121.67  1.3017290E-01
   7122.00  1.2907510E-01
   7122.33  1.2804605E-01
   7122.67  1.2784656E-01
   7123.00  1.2881772E-01
   7123.33  1.3102758E-01
   7123.67  1.3414712E-01
   7124.00  1.3808696E-01
   7124.33  1.4297006E-01
   7124.67  1.4882013E-01
   7125.00  1.5580152E-01
   7125.33  1.6426727E-01
   7125.67  1.7421151E-01
   7126.00  1.8587198E-01
   7126.33  2.0018936E-01
   7126.67  2.1791166E-01
   7127.00  2.3991133E-01
   7127.33  2.6727341E-01
   7127.67  2.9925841E-01
   7128.00  3.3549367E-01
   7128.33  3.7613426E-01
   7128.67  4.2003717E-01
   7129.00  4.6598024E-01
   7129.33  5.1195854E-01
   7129.67  5.5607682E-01
   7130.00  5.9762367E-01
   7130.33  6.3663794E-01
   7130.67  6.7401474E-01
   7131.00  7.1001546E-01
   7131.33  7.4444419E-01
   7131.67  7.7729701E-01
   7132.00  8.0833508E-01
   7132.33  8.3662167E-01
   7132.67  8.6114903E-01
   7133.00  8.8029074E-01
   7133.33  8.9125098E-01
   7133.67  8.9386131E-01
   7134.00  8.8810635E-01
   7134.33  8.7358274E-01
   7134.67  8.5186723E-01
   7135.00  8.2354219E-01
   7135.33  7.8910561E-01
   7135.67  7.5101550E-01
   7136.00  7.1104057E-01
   7136.33  6.7123298E-01
   7136.67  6.3338683E-01
   7137.00  5.9877944E-01
   7137.33  5.6899020E-01
   7137.67  5.4391893E-01
   7138.00  5.2339223E-01
   7138.33  5.0714889E-01
   7138.67  4.9374338E-01
   7139.00  4.8248899E-01
   7139.33  4.7320954E-01
   7139.67  4.6569730E-01
   7140.00  4.6013254E-01
   7140.33  4.5698656E-01
   7140.67  4.5606863E-01
   7141.00  4.5733641E-01
   7141.33  4.6092056E-01
   7141.67  4.6640568E-01
   7142.00  4.7365068E-01
   7142.33  4.8268188E-01
   7142.67  4.9310815E-01
   7143.00  5.0474954E-01
   7143.33  5.1752190E-01
   7143.67  5.3109585E-01
   7144.00  5.4529996E-01
   7144.33  5.5998980E-01
   7144.67  5.7491281E-01
   7145.00  5.8989942E-01
   7145.33  6.0474134E-01
   7145.67  6.1927112E-01
   7146.00  6.3333894E-01
   7146.33  6.4669918E-01
   7146.67  6.5926742E-01
   7147.00  6.7090591E-01
   7147.33  6.8132660E-01
   7147.67  6.9053525E-01
   7148.00  6.9845465E-01
   7148.33  7.0488827E-01
   7148.67  7.1004316E-01
   7149.00  7.1399914E-01
   7149.33  7.1673748E-01
   7149.67  7.1851354E-01
   7150.00  7.1941483E-01
   7150.33  7.1940849E-01
   7150.67  7.1861992E-01
   7151.00  7.1703758E-01
   7151.33  7.1451527E-01
   7151.67  7.1109984E-01
   7152.00  7.0674338E-01
   7152.33  7.0128892E-01
   7152.67  6.9486640E-01
   7153.00  6.8753017E-01
   7153.33  6.7930906E-01
   7153.67  6.7049606E-01
   7154.00  6.6130374E-01
   7154.33  6.5199971E-01
   7154.67  6.4288444E-01
   7155.00  6.3419020E-01
   7155.33  6.2622792E-01
   7155.67  6.1908459E-01
   7156.00  6.1284872E-01
   7156.33  6.0767329E-01
   7156.67  6.0340625E-01
   7157.00  5.9997015E-01
   7157.33  5.9731227E-01
   7157.67  5.9516470E-01
   7158.00  5.9335122E-01
   7158.33  5.9167459E-01
   7158.67  5.8991868E-01
   7159.00  5.8793419E-01
   7159.33  5.8553888E-01
   7159.67  5.8268825E-01
   7160.00  5.7934556E-01
   7160.33  5.7544958E-01
   7160.67  5.7110141E-01
   7161.00  5.6635658E-01
   7161.33  5.6125150E-01
   7161.67  5.5590292E-01
   7162.00  5.5037114E-01
   7162.33  5.4470192E-01
   7162.67  5.3896065E-01
   7163.00  5.3318164E-01
   7163.33  5.2739375E-01
   7163.67  5.2161918E-01
   7164.00  5.1587135E-01
   7164.33  5.1016599E-01
   7164.67  5.0450549E-01
   7165.00  4.9889366E-01
   7165.33  4.9333886E-01
   7165.67  4.8783422E-01
   7166.00  4.8237789E-01
   7166.33  4.7697212E-01
   7166.67  4.7160700E-01
   7167.00  4.6627890E-01
   7167.33  4.6098699E-01
   7167.67  4.5571823E-01
   7168.00  4.5046646E-01
   7168.33  4.4523533E-01
   7168.67  4.4002429E-01
   7169.00  4.3483521E-01
   7169.33  4.2967716E-01
   7169.67  4.2455695E-01
   7170.00  4.1948870E-01
   7170.33  4.1450764E-01
   7170.67  4.0964407E-01
   7171.00  4.0495122E-01
   7171.33  4.0056794E-01
   7171.67  3.9664818E-01
   7172.00  3.9343377E-01
