    FDMNES
    energy     <xanes>
   7097.00  4.6035290E-03
   7097.33  4.7028710E-03
   7097.67  4.8063298E-03
   7098.00  4.9141680E-03
   7098.33  5.0273125E-03
   7098.67  5.1455488E-03
   7099.00  5.2692326E-03
   7099.33  5.3995632E-03
   7099.67  5.5363197E-03
   7100.00  5.6799977E-03
   7100.33  5.8321925E-03
   7100.67  5.9926952E-03
   7101.00  6.1622203E-03
   7101.33  6.3429611E-03
   7101.67  6.5347627E-03
   7102.00  6.7386975E-03
   7102.33  6.9579054E-03
   7102.67  7.1923805E-03
   7103.00  7.4438126E-03
   7103.33  7.7169269E-03
   7103.67  8.0120864E-03
   7104.00  8.3321194E-03
   7104.33  8.6845972E-03
   7104.67  9.0707898E-03
   7105.00  9.4958038E-03
   7105.33  9.9727900E-03
   7105.67  1.0505356E-02
   7106.00  1.1103677E-02
   7106.33  1.1793169E-02
   7106.67  1.2584068E-02
   7107.00  1.3499540E-02
   7107.33  1.4596525E-02
   7107.67  1.5907218E-02
   7108.00  1.7495448E-02
   7108.33  1.9519782E-02
   7108.67  2.2105505E-02
   7109.00  2.5488831E-02
   7109.33  3.0294143E-02
   7109.67  3.7232712E-02
   7110.00  4.7699797E-02
   7110.33  6.5736002E-02
   7110.67  9.5846906E-02
   7111.00  1.3958759E-01
   7111.33  1.8085709E-01
   7111.67  2.0333973E-01
   7112.00  2.1616760E-01
   7112.33  2.2664039E-01
   7112.67  2.2847487E-01
   7113.00  2.2442180E-01
   7113.33  2.0902065E-01
   7113.67  1.7767243E-01
   7114.00  1.4220701E-01
   7114.33  1.1316705E-01
   7114.67  9.1341348E-02
   7115.00  7.6754069E-02
   7115.33  6.8411911E-02
   7115.67  6.3801012E-02
   7116.00  6.1930886E-02
   7116.33  6.2424993E-02
   7116.67  6.4646575E-02
   7117.00  6.8314608E-02
   7117.33  7.3150304E-02
   7117.67  7.8636144E-02
   7118.00  8.4722066E-02
   7118.33  9.1972385E-02
   7118.67  1.0098381E-01
   7119.00  1.1237487E-01
   7119.33  1.2713681E-01
   7119.67  1.4528064E-01
   7120.00  1.6668834E-01
   7120.33  1.9060976E-01
   7120.67  2.1486578E-01
   7121.00  2.3781193E-01
   7121.33  2.5842282E-01
   7121.67  2.7787174E-01
   7122.00  2.9786678E-01
   7122.33  3.2109078E-01
   7122.67  3.4921838E-01
   7123.00  3.8308625E-01
   7123.33  4.2242962E-01
   7123.67  4.6394985E-01
   7124.00  5.0502232E-01
   7124.33  5.4323947E-01
   7124.67  5.7749304E-01
   7125.00  6.0618228E-01
   7125.33  6.2623461E-01
   7125.67  6.3768042E-01
   7126.00  6.4144227E-01
   7126.33  6.3946602E-01
   7126.67  6.3541611E-01
   7127.00  6.3150331E-01
   7127.33  6.2956469E-01
   7127.67  6.2967186E-01
   7128.00  6.3127108E-01
   7128.33  6.3364025E-01
   7128.67  6.3615568E-01
   7129.00  6.3844009E-01
   7129.33  6.3968193E-01
   7129.67  6.3912590E-01
   7130.00  6.3634517E-01
   7130.33  6.3139882E-01
   7130.67  6.2546051E-01
   7131.00  6.1936267E-01
   7131.33  6.1376017E-01
   7131.67  6.0874822E-01
   7132.00  6.0421405E-01
   7132.33  5.9997288E-01
   7132.67  5.9585781E-01
   7133.00  5.9190487E-01
   7133.33  5.8838150E-01
   7133.67  5.8556210E-01
   7134.00  5.8370697E-01
   7134.33  5.8313168E-01
   7134.67  5.8369813E-01
   7135.00  5.8532319E-01
   7135.33  5.8796859E-01
   7135.67  5.9133075E-01
