    FDMNES
    energy     <xanes>
   7097.00  4.2374814E-03
   7097.33  4.3199463E-03
   7097.67  4.4054584E-03
   7098.00  4.4941950E-03
   7098.33  4.5868139E-03
   7098.67  4.6831338E-03
   7099.00  4.7833910E-03
   7099.33  4.8884200E-03
   7099.67  4.9980307E-03
   7100.00  5.1125468E-03
   7100.33  5.2330563E-03
   7100.67  5.3593700E-03
   7101.00  5.4919476E-03
   7101.33  5.6322543E-03
   7101.67  5.7801263E-03
   7102.00  5.9362430E-03
   7102.33  6.1026591E-03
   7102.67  6.2792912E-03
   7103.00  6.4671948E-03
   7103.33  6.6693985E-03
   7103.67  6.8860282E-03
   7104.00  7.1188252E-03
   7104.33  7.3725451E-03
   7104.67  7.6478353E-03
   7105.00  7.9477948E-03
   7105.33  8.2805177E-03
   7105.67  8.6479969E-03
   7106.00  9.0563089E-03
   7106.33  9.5207662E-03
   7106.67  1.0047137E-02
   7107.00  1.0648981E-02
   7107.33  1.1359751E-02
   7107.67  1.2197440E-02
   7108.00  1.3198350E-02
   7108.33  1.4452419E-02
   7108.67  1.6027451E-02
   7109.00  1.8051569E-02
   7109.33  2.0859181E-02
   7109.67  2.4811942E-02
   7110.00  3.0612895E-02
   7110.33  4.0295027E-02
   7110.67  5.6434742E-02
   7111.00  8.1848838E-02
   7111.33  1.1395460E-01
   7111.67  1.3582462E-01
   7112.00  1.4053142E-01
   7112.33  1.4735819E-01
   7112.67  1.6140389E-01
   7113.00  1.6713210E-01
   7113.33  1.4337268E-01
   7113.67  1.0980089E-01
   7114.00  8.2238199E-02
   7114.33  6.5520815E-02
   7114.67  5.4899579E-02
   7115.00  4.7016017E-02
   7115.33  4.1430243E-02
   7115.67  3.7900564E-02
   7116.00  3.6008423E-02
   7116.33  3.5461418E-02
   7116.67  3.5822800E-02
   7117.00  3.6912379E-02
   7117.33  3.8572718E-02
   7117.67  4.0487744E-02
   7118.00  4.2505660E-02
   7118.33  4.4702446E-02
   7118.67  4.7342487E-02
   7119.00  5.0704835E-02
   7119.33  5.5137193E-02
   7119.67  6.0623079E-02
   7120.00  6.7202837E-02
   7120.33  7.5194813E-02
   7120.67  8.4849120E-02
   7121.00  9.6649289E-02
   7121.33  1.1152199E-01
   7121.67  1.2963084E-01
   7122.00  1.5125366E-01
   7122.33  1.7692972E-01
   7122.67  2.0616140E-01
   7123.00  2.3891528E-01
   7123.33  2.7545860E-01
   7123.67  3.1472158E-01
   7124.00  3.5557072E-01
   7124.33  3.9628422E-01
   7124.67  4.3581087E-01
   7125.00  4.7476546E-01
   7125.33  5.1572240E-01
   7125.67  5.6038919E-01
   7126.00  6.0825490E-01
   7126.33  6.5553217E-01
   7126.67  6.9683465E-01
   7127.00  7.2954577E-01
   7127.33  7.5553087E-01
   7127.67  7.7955465E-01
   7128.00  8.0170309E-01
   7128.33  8.1944839E-01
   7128.67  8.3247053E-01
   7129.00  8.4129783E-01
   7129.33  8.4661943E-01
   7129.67  8.4978207E-01
   7130.00  8.5116839E-01
   7130.33  8.5096074E-01
   7130.67  8.5071847E-01
   7131.00  8.5212930E-01
   7131.33  8.5576877E-01
   7131.67  8.5915692E-01
   7132.00  8.5970836E-01
   7132.33  8.5496426E-01
   7132.67  8.4516890E-01
   7133.00  8.3061775E-01
   7133.33  8.1133817E-01
   7133.67  7.8906859E-01
   7134.00  7.6583943E-01
   7134.33  7.4485241E-01
   7134.67  7.2769797E-01
   7135.00  7.1427837E-01
   7135.33  7.0357398E-01
   7135.67  6.9384333E-01
   7136.00  6.8424228E-01
   7136.33  6.7426427E-01
   7136.67  6.6390649E-01
   7137.00  6.5333043E-01
   7137.33  6.4282100E-01
   7137.67  6.3265613E-01
   7138.00  6.2305675E-01
   7138.33  6.1433009E-01
   7138.67  6.0653061E-01
   7139.00  5.9974139E-01
   7139.33  5.9414064E-01
   7139.67  5.8959450E-01
   7140.00  5.8606882E-01
   7140.33  5.8361170E-01
   7140.67  5.8200889E-01
   7141.00  5.8116450E-01
   7141.33  5.8103336E-01
   7141.67  5.8139757E-01
   7142.00  5.8212355E-01
   7142.33  5.8306089E-01
   7142.67  5.8399816E-01
   7143.00  5.8475713E-01
   7143.33  5.8508380E-01
   7143.67  5.8487569E-01
   7144.00  5.8405566E-01
   7144.33  5.8250552E-01
   7144.67  5.8032633E-01
   7145.00  5.7757153E-01
   7145.33  5.7425531E-01
   7145.67  5.7049602E-01
   7146.00  5.6630250E-01
   7146.33  5.6157226E-01
   7146.67  5.5628565E-01
   7147.00  5.5037414E-01
   7147.33  5.4369747E-01
   7147.67  5.3633581E-01
   7148.00  5.2834044E-01
   7148.33  5.1974992E-01
   7148.67  5.1075838E-01
   7149.00  5.0147909E-01
   7149.33  4.9201338E-01
   7149.67  4.8248496E-01
   7150.00  4.7296408E-01
   7150.33  4.6352135E-01
   7150.67  4.5419278E-01
   7151.00  4.4500570E-01
   7151.33  4.3600394E-01
   7151.67  4.2718665E-01
   7152.00  4.1857114E-01
   7152.33  4.1021095E-01
   7152.67  4.0211938E-01
   7153.00  3.9433826E-01
   7153.33  3.8694498E-01
   7153.67  3.7991830E-01
   7154.00  3.7326876E-01
   7154.33  3.6704106E-01
   7154.67  3.6116743E-01
   7155.00  3.5561300E-01
   7155.33  3.5034740E-01
   7155.67  3.4526810E-01
   7156.00  3.4032485E-01
   7156.33  3.3548839E-01
   7156.67  3.3072833E-01
   7157.00  3.2605059E-01
   7157.33  3.2150064E-01
   7157.67  3.1711543E-01
   7158.00  3.1294814E-01
   7158.33  3.0909689E-01
   7158.67  3.0558305E-01
   7159.00  3.0244780E-01
   7159.33  2.9978141E-01
   7159.67  2.9756117E-01
   7160.00  2.9580905E-01
   7160.33  2.9460917E-01
   7160.67  2.9392085E-01
   7161.00  2.9376145E-01
   7161.33  2.9422063E-01
   7161.67  2.9525075E-01
   7162.00  2.9686901E-01
   7162.33  2.9916664E-01
   7162.67  3.0207445E-01
   7163.00  3.0559472E-01
   7163.33  3.0980208E-01
   7163.67  3.1460257E-01
   7164.00  3.1996411E-01
   7164.33  3.2589640E-01
   7164.67  3.3225571E-01
   7165.00  3.3896389E-01
   7165.33  3.4596441E-01
   7165.67  3.5313515E-01
   7166.00  3.6039623E-01
   7166.33  3.6765388E-01
   7166.67  3.7482048E-01
   7167.00  3.8182853E-01
   7167.33  3.8858396E-01
   7167.67  3.9506429E-01
   7168.00  4.0123975E-01
   7168.33  4.0705207E-01
   7168.67  4.1254014E-01
   7169.00  4.1771378E-01
   7169.33  4.2255807E-01
   7169.67  4.2713770E-01
   7170.00  4.3147788E-01
   7170.33  4.3557770E-01
   7170.67  4.3947828E-01
   7171.00  4.4317436E-01
   7171.33  4.4659031E-01
   7171.67  4.4963850E-01
   7172.00  4.5214347E-01
