    FDMNES
    energy     <xanes>
   7097.00  5.2429454E-03
   7097.33  5.3667407E-03
   7097.67  5.4961993E-03
   7098.00  5.6317069E-03
   7098.33  5.7745780E-03
   7098.67  5.9245478E-03
   7099.00  6.0821418E-03
   7099.33  6.2490804E-03
   7099.67  6.4250924E-03
   7100.00  6.6109130E-03
   7100.33  6.8088521E-03
   7100.67  7.0186580E-03
   7101.00  7.2413912E-03
   7101.33  7.4802487E-03
   7101.67  7.7350561E-03
   7102.00  8.0073998E-03
   7102.33  8.3018688E-03
   7102.67  8.6184944E-03
   7103.00  8.9597563E-03
   7103.33  9.3325425E-03
   7103.67  9.7373822E-03
   7104.00  1.0178367E-02
   7104.33  1.0666430E-02
   7104.67  1.1203298E-02
   7105.00  1.1796203E-02
   7105.33  1.2463797E-02
   7105.67  1.3210816E-02
   7106.00  1.4051250E-02
   7106.33  1.5020145E-02
   7106.67  1.6130532E-02
   7107.00  1.7413052E-02
   7107.33  1.8943143E-02
   7107.67  2.0760412E-02
   7108.00  2.2945359E-02
   7108.33  2.5697454E-02
   7108.67  2.9164899E-02
   7109.00  3.3629847E-02
   7109.33  3.9832379E-02
   7109.67  4.8580424E-02
   7110.00  6.1455651E-02
   7110.33  8.2973585E-02
   7110.67  1.1781269E-01
   7111.00  1.6703648E-01
   7111.33  2.1895431E-01
   7111.67  2.6284740E-01
   7112.00  2.9331972E-01
   7112.33  3.1214321E-01
   7112.67  3.3306207E-01
   7113.00  3.6091068E-01
   7113.33  3.8699894E-01
   7113.67  3.9948319E-01
   7114.00  3.9373321E-01
   7114.33  3.6948484E-01
   7114.67  3.3921400E-01
   7115.00  3.1293541E-01
   7115.33  2.9768568E-01
   7115.67  2.9234110E-01
   7116.00  2.9339090E-01
   7116.33  2.9228121E-01
   7116.67  2.8025098E-01
   7117.00  2.5566802E-01
   7117.33  2.2465030E-01
   7117.67  1.9594599E-01
   7118.00  1.7289581E-01
   7118.33  1.5662676E-01
   7118.67  1.4504363E-01
   7119.00  1.3682562E-01
   7119.33  1.3126009E-01
   7119.67  1.2758830E-01
   7120.00  1.2557007E-01
   7120.33  1.2482809E-01
   7120.67  1.2428936E-01
   7121.00  1.2355654E-01
   7121.33  1.2346559E-01
   7121.67  1.2502265E-01
   7122.00  1.2866813E-01
   7122.33  1.3483087E-01
   7122.67  1.4340167E-01
   7123.00  1.5461326E-01
   7123.33  1.6893954E-01
   7123.67  1.8560388E-01
   7124.00  2.0367131E-01
   7124.33  2.2207294E-01
   7124.67  2.4069144E-01
   7125.00  2.6032563E-01
   7125.33  2.8201787E-01
   7125.67  3.0528972E-01
   7126.00  3.2916764E-01
   7126.33  3.5246787E-01
   7126.67  3.7484046E-01
   7127.00  3.9624689E-01
   7127.33  4.1660278E-01
   7127.67  4.3633851E-01
   7128.00  4.5592054E-01
   7128.33  4.7604711E-01
   7128.67  4.9734635E-01
   7129.00  5.2036701E-01
   7129.33  5.4590389E-01
   7129.67  5.7401727E-01
   7130.00  6.0486188E-01
   7130.33  6.3880472E-01
   7130.67  6.7528582E-01
   7131.00  7.1380960E-01
   7131.33  7.5344569E-01
   7131.67  7.9261154E-01
   7132.00  8.2997801E-01
   7132.33  8.6373912E-01
   7132.67  8.9299380E-01
   7133.00  9.1656475E-01
   7133.33  9.3217047E-01
   7133.67  9.3964099E-01
   7134.00  9.3860676E-01
   7134.33  9.2828738E-01
   7134.67  9.1069085E-01
   7135.00  8.8716088E-01
   7135.33  8.5902509E-01
   7135.67  8.2854826E-01
   7136.00  7.9696087E-01
   7136.33  7.6529902E-01
   7136.67  7.3427338E-01
   7137.00  7.0432639E-01
   7137.33  6.7610490E-01
   7137.67  6.4988231E-01
   7138.00  6.2606864E-01
   7138.33  6.0544524E-01
   7138.67  5.8794310E-01
   7139.00  5.7364582E-01
   7139.33  5.6284674E-01
   7139.67  5.5490307E-01
   7140.00  5.4952207E-01
   7140.33  5.4659290E-01
   7140.67  5.4542744E-01
   7141.00  5.4563060E-01
   7141.33  5.4677295E-01
   7141.67  5.4812799E-01
   7142.00  5.4912037E-01
   7142.33  5.4899134E-01
   7142.67  5.4739175E-01
   7143.00  5.4412863E-01
   7143.33  5.3905743E-01
   7143.67  5.3267727E-01
   7144.00  5.2534486E-01
   7144.33  5.1741708E-01
   7144.67  5.0932138E-01
   7145.00  5.0129878E-01
   7145.33  4.9358590E-01
   7145.67  4.8628056E-01
   7146.00  4.7945832E-01
   7146.33  4.7324849E-01
   7146.67  4.6762821E-01
   7147.00  4.6262969E-01
   7147.33  4.5836770E-01
   7147.67  4.5478950E-01
   7148.00  4.5191728E-01
   7148.33  4.4986419E-01
   7148.67  4.4855505E-01
   7149.00  4.4799296E-01
   7149.33  4.4826355E-01
   7149.67  4.4926762E-01
   7150.00  4.5100097E-01
   7150.33  4.5354546E-01
   7150.67  4.5679466E-01
   7151.00  4.6072564E-01
   7151.33  4.6537938E-01
   7151.67  4.7062037E-01
   7152.00  4.7638737E-01
   7152.33  4.8264772E-01
   7152.67  4.8924246E-01
   7153.00  4.9607031E-01
   7153.33  5.0301609E-01
   7153.67  5.0993132E-01
   7154.00  5.1669862E-01
   7154.33  5.2315273E-01
   7154.67  5.2921164E-01
   7155.00  5.3479024E-01
   7155.33  5.3974168E-01
   7155.67  5.4408416E-01
   7156.00  5.4779387E-01
   7156.33  5.5078559E-01
   7156.67  5.5315463E-01
   7157.00  5.5492777E-01
   7157.33  5.5607851E-01
   7157.67  5.5672663E-01
   7158.00  5.5691972E-01
   7158.33  5.5666729E-01
   7158.67  5.5607846E-01
   7159.00  5.5520157E-01
   7159.33  5.5406044E-01
   7159.67  5.5273445E-01
   7160.00  5.5126345E-01
   7160.33  5.4967693E-01
   7160.67  5.4802572E-01
   7161.00  5.4633880E-01
   7161.33  5.4464573E-01
   7161.67  5.4297567E-01
   7162.00  5.4134384E-01
   7162.33  5.3976534E-01
   7162.67  5.3824786E-01
   7163.00  5.3680334E-01
   7163.33  5.3545324E-01
   7163.67  5.3419402E-01
   7164.00  5.3302810E-01
   7164.33  5.3196607E-01
   7164.67  5.3099079E-01
   7165.00  5.3009423E-01
   7165.33  5.2927227E-01
   7165.67  5.2850087E-01
   7166.00  5.2776368E-01
   7166.33  5.2704058E-01
   7166.67  5.2630543E-01
   7167.00  5.2553393E-01
   7167.33  5.2468714E-01
   7167.67  5.2374709E-01
   7168.00  5.2269557E-01
   7168.33  5.2148946E-01
   7168.67  5.2011987E-01
   7169.00  5.1856922E-01
   7169.33  5.1680012E-01
   7169.67  5.1483293E-01
   7170.00  5.1267285E-01
   7170.33  5.1031598E-01
   7170.67  5.0781999E-01
   7171.00  5.0523620E-01
   7171.33  5.0266516E-01
   7171.67  5.0027611E-01
   7172.00  4.9828355E-01
