    FDMNES
    energy     <xanes>
   7097.00  4.9499886E-03
   7097.33  5.0704980E-03
   7097.67  5.1965448E-03
   7098.00  5.3285093E-03
   7098.33  5.4676824E-03
   7098.67  5.6138107E-03
   7099.00  5.7674153E-03
   7099.33  5.9301941E-03
   7099.67  6.1018925E-03
   7100.00  6.2832464E-03
   7100.33  6.4765506E-03
   7100.67  6.6815809E-03
   7101.00  6.8994109E-03
   7101.33  7.1332476E-03
   7101.67  7.3829654E-03
   7102.00  7.6501944E-03
   7102.33  7.9396000E-03
   7102.67  8.2513084E-03
   7103.00  8.5879163E-03
   7103.33  8.9565538E-03
   7103.67  9.3579517E-03
   7104.00  9.7964992E-03
   7104.33  1.0283787E-02
   7104.67  1.0822010E-02
   7105.00  1.1419163E-02
   7105.33  1.2095636E-02
   7105.67  1.2857377E-02
   7106.00  1.3720428E-02
   7106.33  1.4724621E-02
   7106.67  1.5886508E-02
   7107.00  1.7242803E-02
   7107.33  1.8883468E-02
   7107.67  2.0860104E-02
   7108.00  2.3274205E-02
   7108.33  2.6377529E-02
   7108.67  3.0369995E-02
   7109.00  3.5627557E-02
   7109.33  4.3143398E-02
   7109.67  5.4049588E-02
   7110.00  7.0562603E-02
   7110.33  9.9044447E-02
   7110.67  1.4607387E-01
   7111.00  2.1236829E-01
   7111.33  2.7835577E-01
   7111.67  3.3309508E-01
   7112.00  3.7682658E-01
   7112.33  3.8884048E-01
   7112.67  3.4883229E-01
   7113.00  2.8619942E-01
   7113.33  2.4641820E-01
   7113.67  2.2852779E-01
   7114.00  2.1733041E-01
   7114.33  1.9637378E-01
   7114.67  1.6767325E-01
   7115.00  1.3663886E-01
   7115.33  1.1126877E-01
   7115.67  9.4474800E-02
   7116.00  8.4873730E-02
   7116.33  8.0891163E-02
   7116.67  8.0626889E-02
   7117.00  8.3643821E-02
   7117.33  9.0132633E-02
   7117.67  9.9172345E-02
   7118.00  1.0981616E-01
   7118.33  1.2192417E-01
   7118.67  1.3638423E-01
   7119.00  1.5333877E-01
   7119.33  1.7160130E-01
   7119.67  1.9000783E-01
   7120.00  2.0886601E-01
   7120.33  2.3022584E-01
   7120.67  2.5578677E-01
   7121.00  2.8636107E-01
   7121.33  3.2255793E-01
   7121.67  3.6330698E-01
   7122.00  4.0812988E-01
   7122.33  4.5680216E-01
   7122.67  5.0776460E-01
   7123.00  5.5892752E-01
   7123.33  6.0538697E-01
   7123.67  6.4246011E-01
   7124.00  6.6745674E-01
   7124.33  6.7960618E-01
   7124.67  6.8383391E-01
   7125.00  6.8337420E-01
   7125.33  6.8000088E-01
   7125.67  6.7422180E-01
   7126.00  6.6577690E-01
   7126.33  6.5432033E-01
   7126.67  6.4016530E-01
   7127.00  6.2332279E-01
   7127.33  6.0414154E-01
   7127.67  5.8407394E-01
   7128.00  5.6386524E-01
   7128.33  5.4361218E-01
   7128.67  5.2315526E-01
   7129.00  5.0265309E-01
   7129.33  4.8271878E-01
   7129.67  4.6385534E-01
   7130.00  4.4635796E-01
   7130.33  4.3054023E-01
   7130.67  4.1622025E-01
   7131.00  4.0339040E-01
   7131.33  3.9229612E-01
   7131.67  3.8289421E-01
   7132.00  3.7536918E-01
   7132.33  3.7019663E-01
   7132.67  3.6727153E-01
   7133.00  3.6666956E-01
   7133.33  3.6873683E-01
   7133.67  3.7323501E-01
   7134.00  3.8025493E-01
   7134.33  3.9031437E-01
   7134.67  4.0335456E-01
   7135.00  4.1969634E-01
   7135.33  4.4021058E-01
   7135.67  4.6471973E-01
   7136.00  4.9326628E-01
   7136.33  5.2615033E-01
   7136.67  5.6250530E-01
   7137.00  6.0177895E-01
   7137.33  6.4309707E-01
   7137.67  6.8446663E-01
   7138.00  7.2384970E-01
   7138.33  7.5794422E-01
   7138.67  7.8477086E-01
   7139.00  8.0271200E-01
   7139.33  8.0979189E-01
   7139.67  8.0780138E-01
   7140.00  7.9818229E-01
   7140.33  7.8260485E-01
   7140.67  7.6420671E-01
   7141.00  7.4486101E-01
   7141.33  7.2631148E-01
   7141.67  7.0950624E-01
   7142.00  6.9490305E-01
   7142.33  6.8297601E-01
   7142.67  6.7326150E-01
   7143.00  6.6542579E-01
   7143.33  6.5916022E-01
   7143.67  6.5377117E-01
   7144.00  6.4883249E-01
   7144.33  6.4393477E-01
   7144.67  6.3879854E-01
   7145.00  6.3331527E-01
   7145.33  6.2744746E-01
   7145.67  6.2134432E-01
   7146.00  6.1514335E-01
   7146.33  6.0903864E-01
   7146.67  6.0321129E-01
   7147.00  5.9782388E-01
   7147.33  5.9312436E-01
   7147.67  5.8916401E-01
   7148.00  5.8599504E-01
   7148.33  5.8368489E-01
   7148.67  5.8200524E-01
   7149.00  5.8076388E-01
   7149.33  5.7969211E-01
   7149.67  5.7846356E-01
   7150.00  5.7684108E-01
   7150.33  5.7454819E-01
   7150.67  5.7156276E-01
   7151.00  5.6788685E-01
   7151.33  5.6352158E-01
   7151.67  5.5866263E-01
   7152.00  5.5341314E-01
   7152.33  5.4782974E-01
   7152.67  5.4200392E-01
   7153.00  5.3595352E-01
   7153.33  5.2965015E-01
   7153.67  5.2311641E-01
   7154.00  5.1635470E-01
   7154.33  5.0935580E-01
   7154.67  5.0217935E-01
   7155.00  4.9486415E-01
   7155.33  4.8744918E-01
   7155.67  4.7999354E-01
   7156.00  4.7253222E-01
   7156.33  4.6509765E-01
   7156.67  4.5770371E-01
   7157.00  4.5035646E-01
   7157.33  4.4306032E-01
   7157.67  4.3580165E-01
   7158.00  4.2856974E-01
   7158.33  4.2134943E-01
   7158.67  4.1412075E-01
   7159.00  4.0686758E-01
   7159.33  3.9956724E-01
   7159.67  3.9221133E-01
   7160.00  3.8478695E-01
   7160.33  3.7727163E-01
   7160.67  3.6967885E-01
   7161.00  3.6202000E-01
   7161.33  3.5431919E-01
   7161.67  3.4662884E-01
   7162.00  3.3899988E-01
   7162.33  3.3151566E-01
   7162.67  3.2423367E-01
   7163.00  3.1721918E-01
   7163.33  3.1058951E-01
   7163.67  3.0437305E-01
   7164.00  2.9862629E-01
   7164.33  2.9347207E-01
   7164.67  2.8889003E-01
   7165.00  2.8491006E-01
   7165.33  2.8163574E-01
   7165.67  2.7900476E-01
   7166.00  2.7702436E-01
   7166.33  2.7577753E-01
   7166.67  2.7517827E-01
   7167.00  2.7521865E-01
   7167.33  2.7596294E-01
   7167.67  2.7731344E-01
   7168.00  2.7924884E-01
   7168.33  2.8180866E-01
   7168.67  2.8488799E-01
   7169.00  2.8845124E-01
   7169.33  2.9250494E-01
   7169.67  2.9693856E-01
   7170.00  3.0169618E-01
   7170.33  3.0673200E-01
   7170.67  3.1191943E-01
   7171.00  3.1715072E-01
   7171.33  3.2222409E-01
   7171.67  3.2685259E-01
   7172.00  3.3065552E-01
