    FDMNES
    energy     <xanes>
   7097.00  5.1699279E-03
   7097.33  5.2922884E-03
   7097.67  5.4201287E-03
   7098.00  5.5538130E-03
   7098.33  5.6945987E-03
   7098.67  5.8422176E-03
   7099.00  5.9971636E-03
   7099.33  6.1610734E-03
   7099.67  6.3336699E-03
   7100.00  6.5156416E-03
   7100.33  6.7091737E-03
   7100.67  6.9140041E-03
   7101.00  7.1311223E-03
   7101.33  7.3635372E-03
   7101.67  7.6110548E-03
   7102.00  7.8751508E-03
   7102.33  8.1601248E-03
   7102.67  8.4659695E-03
   7103.00  8.7949864E-03
   7103.33  9.1536053E-03
   7103.67  9.5422762E-03
   7104.00  9.9647924E-03
   7104.33  1.0431331E-02
   7104.67  1.0943449E-02
   7105.00  1.1507847E-02
   7105.33  1.2141851E-02
   7105.67  1.2849802E-02
   7106.00  1.3644653E-02
   7106.33  1.4558888E-02
   7106.67  1.5604480E-02
   7107.00  1.6809703E-02
   7107.33  1.8244147E-02
   7107.67  1.9943887E-02
   7108.00  2.1982381E-02
   7108.33  2.4541050E-02
   7108.67  2.7751478E-02
   7109.00  3.1863498E-02
   7109.33  3.7525451E-02
   7109.67  4.5417430E-02
   7110.00  5.6859077E-02
   7110.33  7.5614820E-02
   7110.67  1.0607954E-01
   7111.00  1.5189661E-01
   7111.33  2.0693517E-01
   7111.67  2.6119479E-01
   7112.00  3.1822824E-01
   7112.33  3.6607053E-01
   7112.67  3.9047537E-01
   7113.00  3.9178786E-01
   7113.33  3.5908982E-01
   7113.67  2.8673917E-01
   7114.00  2.1022413E-01
   7114.33  1.6161048E-01
   7114.67  1.3463155E-01
   7115.00  1.2336848E-01
   7115.33  1.2588458E-01
   7115.67  1.3841066E-01
   7116.00  1.5559051E-01
   7116.33  1.6855361E-01
   7116.67  1.8173631E-01
   7117.00  2.0492806E-01
   7117.33  2.4342799E-01
   7117.67  2.8481206E-01
   7118.00  3.1079033E-01
   7118.33  3.0722293E-01
   7118.67  2.8889190E-01
   7119.00  2.6993897E-01
   7119.33  2.5992223E-01
   7119.67  2.5921844E-01
   7120.00  2.6550405E-01
   7120.33  2.7445473E-01
   7120.67  2.8444793E-01
   7121.00  2.9856979E-01
   7121.33  3.2117979E-01
   7121.67  3.5017177E-01
   7122.00  3.8091143E-01
   7122.33  4.0646473E-01
   7122.67  4.2402723E-01
   7123.00  4.3475543E-01
   7123.33  4.4206739E-01
   7123.67  4.4867644E-01
   7124.00  4.5439246E-01
   7124.33  4.5749798E-01
   7124.67  4.5717538E-01
   7125.00  4.5336434E-01
   7125.33  4.4675398E-01
   7125.67  4.3935236E-01
   7126.00  4.3273481E-01
   7126.33  4.2903366E-01
   7126.67  4.2947576E-01
   7127.00  4.3462595E-01
   7127.33  4.4444177E-01
   7127.67  4.5730915E-01
   7128.00  4.7260587E-01
   7128.33  4.9031832E-01
   7128.67  5.1021801E-01
   7129.00  5.3252397E-01
   7129.33  5.5795279E-01
   7129.67  5.8626334E-01
   7130.00  6.1674081E-01
   7130.33  6.4717254E-01
   7130.67  6.7453729E-01
   7131.00  6.9668973E-01
   7131.33  7.1164969E-01
   7131.67  7.2009091E-01
   7132.00  7.2226454E-01
   7132.33  7.1810902E-01
   7132.67  7.0943561E-01
   7133.00  6.9742962E-01
   7133.33  6.8321623E-01
   7133.67  6.6825055E-01
   7134.00  6.5343121E-01
   7134.33  6.3977364E-01
   7134.67  6.2780322E-01
   7135.00  6.1781833E-01
   7135.33  6.1005408E-01
   7135.67  6.0392531E-01
   7136.00  5.9899300E-01
   7136.33  5.9483404E-01
   7136.67  5.9100726E-01
   7137.00  5.8737939E-01
   7137.33  5.8398313E-01
   7137.67  5.8088915E-01
   7138.00  5.7818820E-01
   7138.33  5.7600888E-01
   7138.67  5.7431728E-01
   7139.00  5.7310719E-01
   7139.33  5.7241676E-01
   7139.67  5.7216744E-01
   7140.00  5.7234146E-01
   7140.33  5.7296926E-01
   7140.67  5.7398212E-01
   7141.00  5.7536413E-01
   7141.33  5.7713513E-01
   7141.67  5.7921533E-01
   7142.00  5.8155638E-01
   7142.33  5.8409664E-01
   7142.67  5.8669414E-01
   7143.00  5.8921636E-01
   7143.33  5.9144955E-01
   7143.67  5.9323280E-01
   7144.00  5.9441156E-01
   7144.33  5.9475139E-01
   7144.67  5.9426505E-01
   7145.00  5.9293534E-01
   7145.33  5.9068813E-01
   7145.67  5.8768157E-01
   7146.00  5.8396861E-01
   7146.33  5.7952061E-01
   7146.67  5.7446000E-01
   7147.00  5.6881640E-01
   7147.33  5.6256040E-01
   7147.67  5.5581613E-01
   7148.00  5.4865249E-01
   7148.33  5.4113444E-01
   7148.67  5.3342425E-01
   7149.00  5.2563172E-01
   7149.33  5.1787766E-01
   7149.67  5.1024871E-01
   7150.00  5.0279692E-01
   7150.33  4.9557795E-01
   7150.67  4.8856903E-01
   7151.00  4.8175927E-01
   7151.33  4.7515041E-01
   7151.67  4.6869617E-01
   7152.00  4.6237665E-01
   7152.33  4.5619263E-01
   7152.67  4.5012282E-01
   7153.00  4.4416072E-01
   7153.33  4.3831421E-01
   7153.67  4.3257288E-01
   7154.00  4.2694642E-01
   7154.33  4.2147156E-01
   7154.67  4.1615876E-01
   7155.00  4.1103488E-01
   7155.33  4.0615804E-01
   7155.67  4.0152585E-01
   7156.00  3.9715206E-01
   7156.33  3.9307333E-01
   7156.67  3.8924668E-01
   7157.00  3.8565351E-01
   7157.33  3.8228776E-01
   7157.67  3.7908649E-01
   7158.00  3.7601685E-01
   7158.33  3.7305562E-01
   7158.67  3.7016244E-01
   7159.00  3.6732142E-01
   7159.33  3.6453023E-01
   7159.67  3.6178654E-01
   7160.00  3.5910215E-01
   7160.33  3.5651145E-01
   7160.67  3.5403728E-01
   7161.00  3.5171417E-01
   7161.33  3.4961214E-01
   7161.67  3.4775157E-01
   7162.00  3.4617142E-01
   7162.33  3.4496210E-01
   7162.67  3.4413041E-01
   7163.00  3.4371445E-01
   7163.33  3.4381050E-01
   7163.67  3.4439390E-01
   7164.00  3.4548509E-01
   7164.33  3.4716286E-01
   7164.67  3.4936513E-01
   7165.00  3.5208806E-01
   7165.33  3.5538259E-01
   7165.67  3.5916317E-01
   7166.00  3.6340324E-01
   7166.33  3.6811647E-01
   7166.67  3.7320294E-01
   7167.00  3.7861502E-01
   7167.33  3.8432245E-01
   7167.67  3.9022165E-01
   7168.00  3.9624599E-01
   7168.33  4.0231836E-01
   7168.67  4.0834860E-01
   7169.00  4.1426428E-01
   7169.33  4.1995999E-01
   7169.67  4.2538653E-01
   7170.00  4.3048993E-01
   7170.33  4.3517376E-01
   7170.67  4.3944775E-01
   7171.00  4.4328661E-01
   7171.33  4.4659942E-01
   7171.67  4.4938989E-01
   7172.00  4.5158694E-01
