    FDMNES
    energy     <xanes>
   7097.00  5.1208474E-03
   7097.33  5.2418544E-03
   7097.67  5.3684210E-03
   7098.00  5.5009298E-03
   7098.33  5.6406776E-03
   7098.67  5.7874098E-03
   7099.00  5.9416494E-03
   7099.33  6.1050994E-03
   7099.67  6.2775019E-03
   7100.00  6.4595918E-03
   7100.33  6.6536652E-03
   7100.67  6.8594888E-03
   7101.00  7.0781285E-03
   7101.33  7.3127782E-03
   7101.67  7.5632916E-03
   7102.00  7.8312733E-03
   7102.33  8.1213373E-03
   7102.67  8.4335613E-03
   7103.00  8.7704733E-03
   7103.33  9.1390526E-03
   7103.67  9.5399155E-03
   7104.00  9.9772713E-03
   7104.33  1.0462304E-02
   7104.67  1.0996923E-02
   7105.00  1.1588649E-02
   7105.33  1.2256776E-02
   7105.67  1.3006478E-02
   7106.00  1.3852475E-02
   7106.33  1.4831493E-02
   7106.67  1.5957727E-02
   7107.00  1.7263819E-02
   7107.33  1.8829907E-02
   7107.67  2.0699124E-02
   7108.00  2.2958078E-02
   7108.33  2.5820911E-02
   7108.67  2.9448166E-02
   7109.00  3.4143369E-02
   7109.33  4.0698919E-02
   7109.67  4.9971340E-02
   7110.00  6.3627284E-02
   7110.33  8.6444883E-02
   7110.67  1.2398745E-01
   7111.00  1.8099302E-01
   7111.33  2.5304008E-01
   7111.67  3.0505800E-01
   7112.00  3.1713273E-01
   7112.33  3.4203254E-01
   7112.67  3.9578249E-01
   7113.00  4.2216885E-01
   7113.33  3.5688620E-01
   7113.67  2.6729535E-01
   7114.00  2.0323911E-01
   7114.33  1.7383235E-01
   7114.67  1.6691844E-01
   7115.00  1.7920144E-01
   7115.33  2.1335119E-01
   7115.67  2.6546885E-01
   7116.00  3.2370175E-01
   7116.33  3.5895969E-01
   7116.67  3.6112353E-01
   7117.00  3.3844770E-01
   7117.33  3.0391855E-01
   7117.67  2.6775542E-01
   7118.00  2.3355383E-01
   7118.33  2.0441479E-01
   7118.67  1.8085547E-01
   7119.00  1.6248175E-01
   7119.33  1.4873799E-01
   7119.67  1.3834649E-01
   7120.00  1.3091884E-01
   7120.33  1.2618158E-01
   7120.67  1.2297382E-01
   7121.00  1.2065297E-01
   7121.33  1.1902004E-01
   7121.67  1.1815683E-01
   7122.00  1.1836642E-01
   7122.33  1.2021439E-01
   7122.67  1.2383249E-01
   7123.00  1.2936424E-01
   7123.33  1.3710016E-01
   7123.67  1.4682439E-01
   7124.00  1.5859595E-01
   7124.33  1.7273108E-01
   7124.67  1.8890281E-01
   7125.00  2.0696074E-01
   7125.33  2.2698095E-01
   7125.67  2.4874492E-01
   7126.00  2.7236994E-01
   7126.33  2.9834854E-01
   7126.67  3.2644783E-01
   7127.00  3.5598368E-01
   7127.33  3.8468843E-01
   7127.67  4.0973048E-01
   7128.00  4.2969011E-01
   7128.33  4.4515603E-01
   7128.67  4.5977447E-01
   7129.00  4.7633164E-01
   7129.33  4.9750496E-01
   7129.67  5.2361911E-01
   7130.00  5.5463294E-01
   7130.33  5.9059648E-01
   7130.67  6.3013884E-01
   7131.00  6.7222448E-01
   7131.33  7.1521624E-01
   7131.67  7.5658281E-01
   7132.00  7.9385864E-01
   7132.33  8.2361638E-01
   7132.67  8.4524368E-01
   7133.00  8.5870008E-01
   7133.33  8.6414694E-01
   7133.67  8.6408046E-01
   7134.00  8.5989796E-01
   7134.33  8.5264320E-01
   7134.67  8.4369254E-01
