    FDMNES
    energy     <xanes>
   7097.00  4.4442905E-03
   7097.33  4.5391360E-03
   7097.67  4.6379023E-03
   7098.00  4.7408413E-03
   7098.33  4.8488393E-03
   7098.67  4.9616947E-03
   7099.00  5.0797503E-03
   7099.33  5.2041559E-03
   7099.67  5.3347060E-03
   7100.00  5.4718799E-03
   7100.33  5.6172130E-03
   7100.67  5.7705145E-03
   7101.00  5.9324790E-03
   7101.33  6.1052277E-03
   7101.67  6.2886277E-03
   7102.00  6.4837283E-03
   7102.33  6.6935839E-03
   7102.67  6.9182180E-03
   7103.00  7.1592962E-03
   7103.33  7.4214498E-03
   7103.67  7.7050860E-03
   7104.00  8.0130182E-03
   7104.33  8.3527371E-03
   7104.67  8.7255956E-03
   7105.00  9.1367304E-03
   7105.33  9.5993088E-03
   7105.67  1.0117140E-02
   7106.00  1.0700603E-02
   7106.33  1.1375545E-02
   7106.67  1.2152830E-02
   7107.00  1.3056532E-02
   7107.33  1.4145773E-02
   7107.67  1.5455258E-02
   7108.00  1.7053044E-02
   7108.33  1.9108672E-02
   7108.67  2.1760971E-02
   7109.00  2.5271317E-02
   7109.33  3.0336836E-02
   7109.67  3.7779622E-02
   7110.00  4.9219259E-02
   7110.33  6.9319254E-02
   7110.67  1.0259286E-01
   7111.00  1.4753529E-01
   7111.33  1.8481450E-01
   7111.67  2.0560081E-01
   7112.00  2.1165015E-01
   7112.33  2.0531158E-01
   7112.67  1.9626099E-01
   7113.00  1.8197723E-01
   7113.33  1.6346246E-01
   7113.67  1.4732751E-01
   7114.00  1.3396047E-01
   7114.33  1.1780106E-01
   7114.67  9.9796577E-02
   7115.00  8.5027674E-02
   7115.33  7.5249982E-02
   7115.67  6.8484166E-02
   7116.00  6.4075424E-02
   7116.33  6.2017115E-02
   7116.67  6.1783650E-02
   7117.00  6.3182893E-02
   7117.33  6.6307322E-02
   7117.67  7.0888683E-02
   7118.00  7.6642799E-02
   7118.33  8.3076049E-02
   7118.67  9.0133615E-02
   7119.00  9.8412703E-02
   7119.33  1.0870121E-01
   7119.67  1.2101297E-01
   7120.00  1.3543902E-01
   7120.33  1.5238281E-01
   7120.67  1.7181284E-01
   7121.00  1.9407748E-01
   7121.33  2.2008418E-01
   7121.67  2.4978799E-01
   7122.00  2.8315017E-01
   7122.33  3.1964237E-01
   7122.67  3.5680496E-01
   7123.00  3.9199153E-01
   7123.33  4.2152985E-01
   7123.67  4.4433463E-01
   7124.00  4.6076450E-01
   7124.33  4.7241496E-01
   7124.67  4.8135458E-01
   7125.00  4.8774466E-01
   7125.33  4.9214973E-01
   7125.67  4.9641536E-01
   7126.00  5.0115961E-01
   7126.33  5.0580316E-01
   7126.67  5.0915087E-01
   7127.00  5.1038798E-01
   7127.33  5.0981051E-01
   7127.67  5.0951539E-01
   7128.00  5.1101788E-01
   7128.33  5.1570646E-01
   7128.67  5.2356874E-01
   7129.00  5.3438040E-01
   7129.33  5.4773912E-01
   7129.67  5.6246035E-01
   7130.00  5.7777624E-01
   7130.33  5.9306141E-01
   7130.67  6.0814138E-01
   7131.00  6.2304468E-01
   7131.33  6.3746026E-01
   7131.67  6.5061982E-01
   7132.00  6.6161702E-01
   7132.33  6.6940804E-01
   7132.67  6.7444160E-01
   7133.00  6.7737494E-01
   7133.33  6.7914290E-01
   7133.67  6.8089765E-01
   7134.00  6.8335757E-01
   7134.33  6.8706690E-01
   7134.67  6.9122597E-01
   7135.00  6.9428901E-01
   7135.33  6.9401722E-01
   7135.67  6.9027022E-01
   7136.00  6.8397777E-01
   7136.33  6.7686160E-01
   7136.67  6.7052297E-01
   7137.00  6.6558160E-01
   7137.33  6.6221636E-01
   7137.67  6.5980703E-01
   7138.00  6.5786703E-01
   7138.33  6.5590870E-01
   7138.67  6.5362583E-01
   7139.00  6.5089898E-01
   7139.33  6.4765803E-01
   7139.67  6.4402960E-01
   7140.00  6.4010400E-01
   7140.33  6.3597054E-01
   7140.67  6.3175616E-01
   7141.00  6.2753802E-01
   7141.33  6.2340193E-01
   7141.67  6.1940722E-01
   7142.00  6.1561270E-01
   7142.33  6.1212808E-01
   7142.67  6.0899595E-01
   7143.00  6.0626356E-01
   7143.33  6.0401577E-01
   7143.67  6.0222807E-01
   7144.00  6.0092574E-01
   7144.33  6.0018946E-01
   7144.67  5.9995094E-01
   7145.00  6.0018107E-01
   7145.33  6.0086306E-01
   7145.67  6.0184280E-01
   7146.00  6.0300325E-01
   7146.33  6.0418228E-01
   7146.67  6.0519151E-01
   7147.00  6.0586335E-01
   7147.33  6.0594178E-01
   7147.67  6.0532620E-01
   7148.00  6.0390789E-01
   7148.33  6.0150096E-01
   7148.67  5.9820321E-01
   7149.00  5.9405669E-01
   7149.33  5.8907095E-01
   7149.67  5.8348463E-01
   7150.00  5.7744156E-01
   7150.33  5.7107415E-01
   7150.67  5.6456849E-01
   7151.00  5.5803191E-01
   7151.33  5.5156815E-01
   7151.67  5.4523438E-01
   7152.00  5.3906709E-01
   7152.33  5.3311362E-01
   7152.67  5.2735734E-01
   7153.00  5.2179435E-01
   7153.33  5.1643359E-01
   7153.67  5.1123204E-01
   7154.00  5.0616679E-01
   7154.33  5.0121090E-01
   7154.67  4.9630839E-01
   7155.00  4.9142421E-01
   7155.33  4.8651681E-01
   7155.67  4.8155318E-01
   7156.00  4.7650456E-01
   7156.33  4.7133005E-01
   7156.67  4.6602868E-01
   7157.00  4.6059900E-01
   7157.33  4.5503865E-01
   7157.67  4.4938993E-01
   7158.00  4.4368866E-01
   7158.33  4.3798728E-01
   7158.67  4.3234614E-01
   7159.00  4.2682016E-01
   7159.33  4.2149493E-01
   7159.67  4.1640671E-01
   7160.00  4.1159845E-01
   7160.33  4.0714703E-01
   7160.67  4.0303578E-01
   7161.00  3.9927467E-01
   7161.33  3.9590933E-01
   7161.67  3.9289165E-01
   7162.00  3.9021732E-01
   7162.33  3.8792490E-01
   7162.67  3.8597226E-01
   7163.00  3.8436165E-01
   7163.33  3.8313701E-01
   7163.67  3.8225271E-01
   7164.00  3.8170179E-01
   7164.33  3.8150940E-01
   7164.67  3.8161443E-01
   7165.00  3.8199389E-01
   7165.33  3.8264589E-01
   7165.67  3.8350338E-01
   7166.00  3.8453351E-01
   7166.33  3.8571540E-01
   7166.67  3.8699557E-01
   7167.00  3.8834409E-01
   7167.33  3.8973356E-01
   7167.67  3.9113128E-01
   7168.00  3.9251636E-01
   7168.33  3.9386420E-01
   7168.67  3.9516301E-01
   7169.00  3.9640323E-01
   7169.33  3.9757049E-01
   7169.67  3.9867121E-01
   7170.00  3.9970659E-01
   7170.33  4.0067174E-01
   7170.67  4.0157724E-01
   7171.00  4.0242302E-01
   7171.33  4.0319286E-01
   7171.67  4.0387064E-01
   7172.00  4.0441779E-01
