    FDMNES
    energy     <xanes>
   7097.00  4.8240322E-03
   7097.33  4.9375008E-03
   7097.67  5.0561824E-03
   7098.00  5.1804392E-03
   7098.33  5.3114941E-03
   7098.67  5.4491144E-03
   7099.00  5.5937982E-03
   7099.33  5.7471579E-03
   7099.67  5.9089615E-03
   7100.00  6.0799131E-03
   7100.33  6.2621981E-03
   7100.67  6.4556142E-03
   7101.00  6.6611897E-03
   7101.33  6.8819842E-03
   7101.67  7.1178895E-03
   7102.00  7.3704660E-03
   7102.33  7.6441669E-03
   7102.67  7.9391207E-03
   7103.00  8.2578065E-03
   7103.33  8.6070210E-03
   7103.67  8.9874536E-03
   7104.00  9.4032723E-03
   7104.33  9.8654796E-03
   7104.67  1.0376108E-02
   7105.00  1.0942680E-02
   7105.33  1.1584397E-02
   7105.67  1.2306680E-02
   7106.00  1.3124423E-02
   7106.33  1.4074632E-02
   7106.67  1.5172142E-02
   7107.00  1.6450383E-02
   7107.33  1.7991254E-02
   7107.67  1.9840041E-02
   7108.00  2.2086758E-02
   7108.33  2.4954151E-02
   7108.67  2.8613205E-02
   7109.00  3.3386651E-02
   7109.33  4.0122410E-02
   7109.67  4.9762294E-02
   7110.00  6.4146495E-02
   7110.33  8.8510686E-02
   7110.67  1.2803507E-01
   7111.00  1.8292533E-01
   7111.33  2.4010081E-01
   7111.67  2.9005778E-01
   7112.00  3.3128790E-01
   7112.33  3.8318573E-01
   7112.67  4.3824377E-01
   7113.00  4.4580126E-01
   7113.33  3.6573468E-01
   7113.67  2.7240827E-01
   7114.00  2.0388107E-01
   7114.33  1.6714767E-01
   7114.67  1.5363527E-01
   7115.00  1.5963302E-01
   7115.33  1.7558590E-01
   7115.67  1.7863084E-01
   7116.00  1.6141900E-01
   7116.33  1.3691970E-01
   7116.67  1.1625837E-01
   7117.00  1.0104148E-01
   7117.33  9.2149475E-02
   7117.67  8.8052759E-02
   7118.00  8.7178051E-02
   7118.33  8.7757282E-02
   7118.67  8.8633763E-02
   7119.00  8.9657391E-02
   7119.33  9.0770503E-02
   7119.67  9.1959070E-02
   7120.00  9.3372194E-02
   7120.33  9.5116465E-02
   7120.67  9.7305163E-02
   7121.00  1.0048648E-01
   7121.33  1.0590733E-01
   7121.67  1.1452209E-01
   7122.00  1.2714908E-01
   7122.33  1.4493061E-01
   7122.67  1.6753232E-01
   7123.00  1.9430406E-01
   7123.33  2.2316977E-01
   7123.67  2.5222679E-01
   7124.00  2.8136066E-01
   7124.33  3.0921140E-01
   7124.67  3.3291402E-01
   7125.00  3.5012690E-01
