    FDMNES
    energy     <xanes>
   7097.00  4.0841959E-03
   7097.33  4.1636655E-03
   7097.67  4.2460483E-03
   7098.00  4.3315122E-03
   7098.33  4.4206841E-03
   7098.67  4.5133890E-03
   7099.00  4.6098511E-03
   7099.33  4.7108645E-03
   7099.67  4.8162460E-03
   7100.00  4.9263026E-03
   7100.33  5.0420692E-03
   7100.67  5.1633638E-03
   7101.00  5.2906230E-03
   7101.33  5.4252409E-03
   7101.67  5.5670610E-03
   7102.00  5.7167307E-03
   7102.33  5.8762077E-03
   7102.67  6.0454167E-03
   7103.00  6.2253680E-03
   7103.33  6.4189592E-03
   7103.67  6.6263250E-03
   7104.00  6.8491467E-03
   7104.33  7.0920056E-03
   7104.67  7.3555676E-03
   7105.00  7.6428615E-03
   7105.33  7.9617762E-03
   7105.67  8.3143672E-03
   7106.00  8.7066802E-03
   7106.33  9.1539123E-03
   7106.67  9.6621015E-03
   7107.00  1.0245082E-02
   7107.33  1.0936966E-02
   7107.67  1.1757069E-02
   7108.00  1.2743770E-02
   7108.33  1.3992516E-02
   7108.67  1.5579004E-02
   7109.00  1.7645825E-02
   7109.33  2.0569604E-02
   7109.67  2.4778577E-02
   7110.00  3.1109692E-02
   7110.33  4.1962918E-02
   7110.67  5.9871585E-02
   7111.00  8.5640758E-02
   7111.33  1.1507786E-01
   7111.67  1.4258663E-01
   7112.00  1.5882849E-01
   7112.33  1.4278852E-01
   7112.67  1.0941458E-01
   7113.00  8.2608245E-02
   7113.33  6.8491540E-02
   7113.67  6.1541997E-02
   7114.00  5.8503076E-02
   7114.33  5.4404797E-02
   7114.67  4.8516971E-02
   7115.00  4.4204949E-02
   7115.33  4.2505839E-02
   7115.67  4.2417259E-02
   7116.00  4.3414720E-02
   7116.33  4.5128300E-02
   7116.67  4.7241976E-02
   7117.00  4.9724996E-02
   7117.33  5.2567747E-02
   7117.67  5.5564770E-02
   7118.00  5.8597118E-02
   7118.33  6.1737705E-02
   7118.67  6.5312135E-02
   7119.00  6.9696677E-02
   7119.33  7.5397560E-02
   7119.67  8.2529826E-02
   7120.00  9.1270701E-02
   7120.33  1.0201091E-01
   7120.67  1.1466143E-01
   7121.00  1.2939735E-01
   7121.33  1.4707111E-01
   7121.67  1.6819267E-01
   7122.00  1.9331623E-01
   7122.33  2.2296243E-01
   7122.67  2.5595389E-01
   7123.00  2.9142946E-01
   7123.33  3.2887830E-01
   7123.67  3.6816834E-01
   7124.00  4.1006071E-01
   7124.33  4.5623804E-01
   7124.67  5.0673381E-01
   7125.00  5.6028551E-01
   7125.33  6.1256619E-01
   7125.67  6.5755267E-01
   7126.00  6.8978333E-01
