    FDMNES
    energy     <xanes>
   7097.00  4.4966201E-03
   7097.33  4.5940492E-03
   7097.67  4.6956216E-03
   7098.00  4.8016125E-03
   7098.33  4.9129738E-03
   7098.67  5.0295051E-03
   7099.00  5.1515842E-03
   7099.33  5.2804573E-03
   7099.67  5.4159243E-03
   7100.00  5.5585188E-03
   7100.33  5.7099219E-03
   7100.67  5.8699570E-03
   7101.00  6.0394057E-03
   7101.33  6.2206163E-03
   7101.67  6.4134893E-03
   7102.00  6.6192175E-03
   7102.33  6.8412247E-03
   7102.67  7.0796071E-03
   7103.00  7.3362799E-03
   7103.33  7.6165016E-03
   7103.67  7.9208402E-03
   7104.00  8.2525660E-03
   7104.33  8.6202978E-03
   7104.67  9.0257534E-03
   7105.00  9.4749650E-03
   7105.33  9.9832763E-03
   7105.67  1.0555373E-02
   7106.00  1.1203546E-02
   7106.33  1.1958239E-02
   7106.67  1.2832610E-02
   7107.00  1.3855295E-02
   7107.33  1.5096364E-02
   7107.67  1.6597294E-02
   7108.00  1.8438784E-02
   7108.33  2.0821090E-02
   7108.67  2.3906759E-02
   7109.00  2.8000084E-02
   7109.33  3.3905928E-02
   7109.67  4.2551272E-02
   7110.00  5.5749596E-02
   7110.33  7.8742085E-02
   7110.67  1.1733752E-01
   7111.00  1.7384987E-01
   7111.33  2.3416234E-01
   7111.67  2.7898179E-01
   7112.00  2.9106919E-01
   7112.33  2.6136050E-01
   7112.67  2.1981761E-01
   7113.00  1.7994462E-01
   7113.33  1.4544207E-01
   7113.67  1.1699749E-01
   7114.00  9.5121746E-02
   7114.33  8.0484520E-02
   7114.67  7.0969842E-02
   7115.00  6.4840562E-02
   7115.33  6.1053757E-02
   7115.67  5.8767227E-02
   7116.00  5.7704195E-02
   7116.33  5.7802519E-02
   7116.67  5.8873785E-02
   7117.00  6.0925723E-02
   7117.33  6.4011418E-02
   7117.67  6.7745234E-02
   7118.00  7.1719477E-02
   7118.33  7.5493088E-02
   7118.67  7.9101506E-02
   7119.00  8.2908667E-02
   7119.33  8.7518953E-02
   7119.67  9.3240827E-02
   7120.00  1.0031184E-01
   7120.33  1.0914883E-01
   7120.67  1.1972630E-01
   7121.00  1.3209200E-01
   7121.33  1.4632267E-01
   7121.67  1.6202685E-01
   7122.00  1.7932328E-01
   7122.33  1.9912423E-01
   7122.67  2.2189350E-01
   7123.00  2.4790411E-01
   7123.33  2.7718400E-01
   7123.67  3.0850675E-01
   7124.00  3.4122045E-01
   7124.33  3.7557531E-01
   7124.67  4.1199443E-01
   7125.00  4.4994983E-01
   7125.33  4.8619731E-01
   7125.67  5.1632696E-01
   7126.00  5.3562545E-01
   7126.33  5.3758588E-01
   7126.67  5.2654836E-01
   7127.00  5.1325451E-01
   7127.33  5.1416533E-01
   7127.67  5.3360107E-01
   7128.00  5.6932967E-01
   7128.33  6.1665044E-01
   7128.67  6.6764901E-01
   7129.00  7.1736741E-01
   7129.33  7.6088306E-01
   7129.67  7.9638043E-01
   7130.00  8.2274323E-01
   7130.33  8.3800034E-01
   7130.67  8.4313669E-01
   7131.00  8.3887668E-01
   7131.33  8.2698460E-01
   7131.67  8.1244378E-01
   7132.00  7.9897593E-01
   7132.33  7.9026658E-01
   7132.67  7.8684985E-01
   7133.00  7.8795243E-01
   7133.33  7.9155532E-01
   7133.67  7.9437055E-01
   7134.00  7.9410600E-01
   7134.33  7.8915771E-01
   7134.67  7.8099824E-01
   7135.00  7.7108050E-01
   7135.33  7.6012642E-01
   7135.67  7.4799233E-01
   7136.00  7.3440073E-01
   7136.33  7.1941809E-01
   7136.67  7.0379171E-01
   7137.00  6.8805538E-01
   7137.33  6.7276482E-01
   7137.67  6.5823982E-01
   7138.00  6.4469903E-01
   7138.33  6.3243693E-01
   7138.67  6.2137234E-01
   7139.00  6.1149738E-01
   7139.33  6.0288278E-01
   7139.67  5.9526960E-01
   7140.00  5.8853799E-01
   7140.33  5.8266686E-01
   7140.67  5.7746840E-01
   7141.00  5.7284158E-01
   7141.33  5.6870624E-01
   7141.67  5.6488984E-01
   7142.00  5.6133231E-01
   7142.33  5.5806198E-01
   7142.67  5.5510856E-01
   7143.00  5.5255756E-01
   7143.33  5.5058001E-01
   7143.67  5.4919948E-01
   7144.00  5.4845845E-01
   7144.33  5.4843886E-01
   7144.67  5.4901050E-01
   7145.00  5.5009340E-01
   7145.33  5.5160661E-01
   7145.67  5.5334295E-01
   7146.00  5.5514729E-01
   7146.33  5.5681036E-01
   7146.67  5.5815231E-01
   7147.00  5.5901451E-01
   7147.33  5.5915848E-01
   7147.67  5.5855862E-01
   7148.00  5.5718119E-01
   7148.33  5.5493797E-01
   7148.67  5.5196076E-01
   7149.00  5.4829776E-01
   7149.33  5.4393939E-01
   7149.67  5.3903147E-01
   7150.00  5.3363036E-01
   7150.33  5.2773973E-01
   7150.67  5.2144133E-01
   7151.00  5.1473182E-01
   7151.33  5.0753075E-01
   7151.67  4.9985007E-01
   7152.00  4.9164662E-01
   7152.33  4.8280071E-01
   7152.67  4.7334992E-01
   7153.00  4.6328579E-01
   7153.33  4.5255329E-01
   7153.67  4.4129082E-01
   7154.00  4.2959878E-01
   7154.33  4.1760533E-01
   7154.67  4.0554133E-01
   7155.00  3.9359234E-01
   7155.33  3.8201585E-01
   7155.67  3.7097103E-01
   7156.00  3.6060933E-01
   7156.33  3.5117457E-01
   7156.67  3.4266068E-01
   7157.00  3.3511776E-01
   7157.33  3.2869582E-01
   7157.67  3.2326897E-01
   7158.00  3.1882073E-01
   7158.33  3.1543679E-01
   7158.67  3.1295526E-01
   7159.00  3.1133127E-01
   7159.33  3.1060478E-01
   7159.67  3.1060951E-01
   7160.00  3.1128488E-01
   7160.33  3.1263943E-01
   7160.67  3.1454545E-01
   7161.00  3.1697674E-01
   7161.33  3.1999278E-01
   7161.67  3.2354243E-01
   7162.00  3.2764205E-01
   7162.33  3.3237611E-01
   7162.67  3.3765992E-01
   7163.00  3.4345394E-01
   7163.33  3.4973287E-01
   7163.67  3.5632344E-01
   7164.00  3.6309612E-01
   7164.33  3.6988335E-01
   7164.67  3.7650893E-01
   7165.00  3.8283161E-01
   7165.33  3.8866049E-01
   7165.67  3.9395735E-01
   7166.00  3.9867968E-01
   7166.33  4.0274630E-01
   7166.67  4.0625789E-01
   7167.00  4.0925910E-01
   7167.33  4.1176197E-01
   7167.67  4.1389696E-01
   7168.00  4.1572876E-01
   7168.33  4.1729927E-01
   7168.67  4.1870054E-01
   7169.00  4.1997887E-01
   7169.33  4.2116851E-01
   7169.67  4.2231262E-01
   7170.00  4.2343133E-01
   7170.33  4.2453713E-01
   7170.67  4.2563511E-01
   7171.00  4.2671921E-01
   7171.33  4.2776247E-01
   7171.67  4.2872031E-01
   7172.00  4.2952442E-01
