    FDMNES
    energy     <xanes>
   7097.00  5.0723553E-03
   7097.33  5.1873234E-03
   7097.67  5.3071607E-03
   7098.00  5.4321750E-03
   7098.33  5.5634572E-03
   7098.67  5.7007484E-03
   7099.00  5.8444624E-03
   7099.33  5.9960039E-03
   7099.67  6.1551018E-03
   7100.00  6.3223280E-03
   7100.33  6.4995385E-03
   7100.67  6.6864690E-03
   7101.00  6.8839360E-03
   7101.33  7.0944701E-03
   7101.67  7.3178577E-03
   7102.00  7.5553114E-03
   7102.33  7.8104188E-03
   7102.67  8.0831172E-03
   7103.00  8.3752973E-03
   7103.33  8.6923000E-03
   7103.67  9.0344480E-03
   7104.00  9.4048748E-03
   7104.33  9.8120451E-03
   7104.67  1.0257248E-02
   7105.00  1.0746097E-02
   7105.33  1.1293157E-02
   7105.67  1.1902245E-02
   7106.00  1.2584511E-02
   7106.33  1.3367956E-02
   7106.67  1.4263700E-02
   7107.00  1.5297240E-02
   7107.33  1.6531524E-02
   7107.67  1.8002477E-02
   7108.00  1.9781611E-02
   7108.33  2.2047665E-02
   7108.67  2.4945944E-02
   7109.00  2.8751813E-02
   7109.33  3.4202692E-02
   7109.67  4.2174293E-02
   7110.00  5.4398443E-02
   7110.33  7.5846954E-02
   7110.67  1.1094027E-01
   7111.00  1.5599134E-01
   7111.33  1.8690910E-01
   7111.67  2.0268287E-01
   7112.00  2.1511692E-01
   7112.33  2.2602954E-01
   7112.67  2.2229958E-01
   7113.00  1.9961269E-01
   7113.33  1.7184316E-01
   7113.67  1.4906091E-01
   7114.00  1.3246861E-01
   7114.33  1.2257287E-01
   7114.67  1.1786807E-01
   7115.00  1.1762306E-01
   7115.33  1.2180256E-01
   7115.67  1.2976455E-01
   7116.00  1.4159297E-01
   7116.33  1.5806572E-01
   7116.67  1.7896116E-01
   7117.00  2.0415250E-01
   7117.33  2.3229522E-01
   7117.67  2.5876654E-01
   7118.00  2.7873892E-01
   7118.33  2.8829952E-01
   7118.67  2.9281737E-01
   7119.00  2.9965015E-01
   7119.33  3.1486635E-01
   7119.67  3.3788782E-01
   7120.00  3.6756237E-01
   7120.33  4.0239435E-01
   7120.67  4.3839699E-01
   7121.00  4.7164170E-01
   7121.33  4.9771299E-01
   7121.67  5.1649417E-01
   7122.00  5.2935487E-01
