    FDMNES
    energy     <xanes>
   7097.00  4.9174821E-03
   7097.33  5.0299373E-03
   7097.67  5.1472942E-03
   7098.00  5.2698739E-03
   7098.33  5.3987930E-03
   7098.67  5.5338050E-03
   7099.00  5.6753442E-03
   7099.33  5.8248590E-03
   7099.67  5.9820934E-03
   7100.00  6.1476504E-03
   7100.33  6.3234566E-03
   7100.67  6.5092659E-03
   7101.00  6.7059410E-03
   7101.33  6.9161226E-03
   7101.67  7.1396181E-03
   7102.00  7.3777070E-03
   7102.33  7.6341410E-03
   7102.67  7.9088776E-03
   7103.00  8.2038980E-03
   7103.33  8.5247704E-03
   7103.67  8.8718208E-03
   7104.00  9.2482822E-03
   7104.33  9.6628794E-03
   7104.67  1.0116823E-02
   7105.00  1.0615745E-02
   7105.33  1.1174294E-02
   7105.67  1.1795872E-02
   7106.00  1.2491166E-02
   7106.33  1.3287091E-02
   7106.67  1.4192939E-02
   7107.00  1.5231438E-02
   7107.33  1.6458644E-02
   7107.67  1.7901935E-02
   7108.00  1.9618311E-02
   7108.33  2.1748355E-02
   7108.67  2.4388840E-02
   7109.00  2.7725386E-02
   7109.33  3.2237164E-02
   7109.67  3.8408620E-02
   7110.00  4.7179811E-02
   7110.33  6.1182570E-02
   7110.67  8.3068290E-02
   7111.00  1.1382861E-01
   7111.33  1.4962447E-01
   7111.67  1.8934069E-01
   7112.00  2.3969829E-01
   7112.33  3.1880331E-01
   7112.67  4.1156231E-01
   7113.00  4.6580313E-01
   7113.33  4.1670695E-01
   7113.67  3.2575488E-01
   7114.00  2.4743030E-01
   7114.33  1.9921514E-01
   7114.67  1.7135406E-01
   7115.00  1.5798072E-01
   7115.33  1.5611863E-01
   7115.67  1.6121924E-01
   7116.00  1.6480387E-01
   7116.33  1.5316714E-01
   7116.67  1.3449115E-01
   7117.00  1.1898655E-01
   7117.33  1.1057040E-01
   7117.67  1.0747207E-01
   7118.00  1.0880495E-01
   7118.33  1.1458443E-01
   7118.67  1.2410102E-01
   7119.00  1.3666752E-01
   7119.33  1.4982492E-01
   7119.67  1.6072889E-01
   7120.00  1.6959025E-01
   7120.33  1.7918651E-01
   7120.67  1.9029679E-01
   7121.00  2.0013121E-01
   7121.33  2.0611593E-01
   7121.67  2.1175178E-01
   7122.00  2.2050962E-01
   7122.33  2.3488957E-01
   7122.67  2.5440256E-01
   7123.00  2.7861420E-01
   7123.33  3.0758119E-01
   7123.67  3.4070634E-01
   7124.00  3.7829055E-01
   7124.33  4.2101193E-01
   7124.67  4.6630467E-01
   7125.00  5.0946699E-01
   7125.33  5.4262504E-01
   7125.67  5.6465579E-01
   7126.00  5.7860881E-01
   7126.33  5.8899859E-01
   7126.67  5.9923057E-01
