    FDMNES
    energy     <xanes>
   7097.00  5.2883402E-03
   7097.33  5.4192739E-03
   7097.67  5.5563578E-03
   7098.00  5.7000151E-03
   7098.33  5.8516799E-03
   7098.67  6.0110691E-03
   7099.00  6.1787587E-03
   7099.33  6.3566271E-03
   7099.67  6.5443831E-03
   7100.00  6.7428311E-03
   7100.33  6.9544927E-03
   7100.67  7.1790950E-03
   7101.00  7.4177950E-03
   7101.33  7.6740767E-03
   7101.67  7.9477452E-03
   7102.00  8.2405222E-03
   7102.33  8.5573917E-03
   7102.67  8.8983660E-03
   7103.00  9.2661159E-03
   7103.33  9.6680770E-03
   7103.67  1.0104760E-02
   7104.00  1.0580523E-02
   7104.33  1.1107051E-02
   7104.67  1.1686038E-02
   7105.00  1.2325062E-02
   7105.33  1.3043750E-02
   7105.67  1.3846703E-02
   7106.00  1.4748237E-02
   7106.33  1.5784348E-02
   7106.67  1.6967405E-02
   7107.00  1.8327687E-02
   7107.33  1.9939830E-02
   7107.67  2.1840000E-02
   7108.00  2.4103698E-02
   7108.33  2.6917129E-02
   7108.67  3.0407685E-02
   7109.00  3.4820177E-02
   7109.33  4.0786497E-02
   7109.67  4.8943479E-02
   7110.00  6.0529016E-02
   7110.33  7.9045696E-02
   7110.67  1.0841227E-01
   7111.00  1.5159952E-01
   7111.33  2.0345761E-01
   7111.67  2.5330456E-01
   7112.00  3.0158498E-01
   7112.33  3.5395264E-01
   7112.67  4.1066083E-01
   7113.00  4.8199002E-01
   7113.33  5.7708766E-01
   7113.67  6.4021402E-01
   7114.00  6.2730201E-01
   7114.33  5.1657215E-01
   7114.67  3.9271131E-01
   7115.00  3.0276289E-01
   7115.33  2.5385966E-01
   7115.67  2.3089328E-01
   7116.00  2.2464274E-01
   7116.33  2.2303094E-01
   7116.67  2.1715580E-01
   7117.00  2.0720315E-01
   7117.33  1.9602125E-01
   7117.67  1.8554260E-01
   7118.00  1.7623765E-01
   7118.33  1.6868514E-01
   7118.67  1.6347783E-01
   7119.00  1.6097764E-01
   7119.33  1.6082462E-01
   7119.67  1.6133951E-01
   7120.00  1.6081782E-01
   7120.33  1.5700075E-01
   7120.67  1.5074912E-01
   7121.00  1.4452363E-01
   7121.33  1.4097791E-01
   7121.67  1.4034879E-01
   7122.00  1.4216091E-01
   7122.33  1.4620094E-01
   7122.67  1.5228938E-01
   7123.00  1.6064606E-01
   7123.33  1.7170970E-01
   7123.67  1.8519653E-01
   7124.00  2.0109938E-01
   7124.33  2.1940314E-01
   7124.67  2.3859687E-01
   7125.00  2.5660897E-01
   7125.33  2.7055771E-01
   7125.67  2.8046833E-01
   7126.00  2.8808295E-01
   7126.33  2.9662110E-01
   7126.67  3.0842681E-01
   7127.00  3.2433727E-01
   7127.33  3.4472680E-01
   7127.67  3.6850263E-01
   7128.00  3.9480310E-01
   7128.33  4.2184824E-01
   7128.67  4.4784620E-01
   7129.00  4.7336070E-01
   7129.33  5.0098627E-01
   7129.67  5.3178117E-01
   7130.00  5.6567862E-01
   7130.33  6.0294464E-01
   7130.67  6.4366288E-01
   7131.00  6.8873068E-01
   7131.33  7.4023726E-01
   7131.67  7.9841418E-01
   7132.00  8.6281147E-01
   7132.33  9.3052015E-01
   7132.67  9.9421753E-01
   7133.00  1.0458028E+00
   7133.33  1.0740297E+00
   7133.67  1.0774944E+00
   7134.00  1.0573251E+00
   7134.33  1.0153891E+00
   7134.67  9.5921136E-01
   7135.00  8.9360473E-01
   7135.33  8.2439128E-01
   7135.67  7.5758302E-01
   7136.00  6.9637445E-01
   7136.33  6.4331304E-01
   7136.67  5.9759763E-01
   7137.00  5.5871308E-01
   7137.33  5.2662471E-01
   7137.67  4.9988229E-01
   7138.00  4.7806345E-01
   7138.33  4.6141807E-01
   7138.67  4.4910403E-01
   7139.00  4.4083625E-01
   7139.33  4.3659551E-01
   7139.67  4.3533068E-01
   7140.00  4.3646234E-01
   7140.33  4.3953910E-01
   7140.67  4.4376343E-01
   7141.00  4.4874811E-01
   7141.33  4.5424694E-01
   7141.67  4.6004138E-01
   7142.00  4.6607396E-01
   7142.33  4.7235892E-01
   7142.67  4.7887600E-01
   7143.00  4.8562719E-01
   7143.33  4.9262644E-01
   7143.67  4.9981554E-01
   7144.00  5.0715846E-01
   7144.33  5.1462087E-01
   7144.67  5.2213849E-01
   7145.00  5.2966499E-01
   7145.33  5.3713639E-01
   7145.67  5.4449348E-01
   7146.00  5.5167150E-01
   7146.33  5.5855041E-01
   7146.67  5.6506474E-01
   7147.00  5.7112259E-01
   7147.33  5.7654441E-01
   7147.67  5.8129915E-01
   7148.00  5.8531575E-01
   7148.33  5.8844894E-01
   7148.67  5.9079372E-01
   7149.00  5.9237743E-01
   7149.33  5.9317850E-01
   7149.67  5.9338296E-01
   7150.00  5.9309768E-01
   7150.33  5.9242282E-01
   7150.67  5.9155357E-01
   7151.00  5.9061819E-01
   7151.33  5.8976458E-01
   7151.67  5.8910353E-01
   7152.00  5.8871827E-01
   7152.33  5.8872340E-01
   7152.67  5.8911811E-01
   7153.00  5.8991627E-01
   7153.33  5.9115832E-01
   7153.67  5.9276192E-01
   7154.00  5.9468199E-01
   7154.33  5.9688127E-01
   7154.67  5.9924738E-01
   7155.00  6.0170332E-01
   7155.33  6.0415464E-01
   7155.67  6.0650813E-01
   7156.00  6.0868727E-01
   7156.33  6.1057940E-01
   7156.67  6.1214817E-01
   7157.00  6.1334844E-01
   7157.33  6.1409410E-01
   7157.67  6.1441730E-01
   7158.00  6.1431477E-01
   7158.33  6.1373982E-01
   7158.67  6.1275558E-01
   7159.00  6.1137201E-01
   7159.33  6.0955183E-01
   7159.67  6.0735387E-01
   7160.00  6.0478001E-01
   7160.33  6.0177854E-01
   7160.67  5.9839367E-01
   7161.00  5.9462244E-01
   7161.33  5.9041381E-01
   7161.67  5.8581931E-01
   7162.00  5.8084775E-01
   7162.33  5.7547208E-01
   7162.67  5.6976301E-01
   7163.00  5.6374926E-01
   7163.33  5.5743723E-01
   7163.67  5.5090413E-01
   7164.00  5.4419022E-01
   7164.33  5.3732497E-01
   7164.67  5.3036801E-01
   7165.00  5.2335304E-01
   7165.33  5.1631088E-01
   7165.67  5.0927299E-01
   7166.00  5.0226019E-01
   7166.33  4.9529633E-01
