    FDMNES
    energy     <xanes>
   7097.00  4.5061418E-03
   7097.33  4.6068583E-03
   7097.67  4.7120704E-03
   7098.00  4.8220915E-03
   7098.33  4.9379794E-03
   7098.67  5.0595370E-03
   7099.00  5.1871994E-03
   7099.33  5.3223691E-03
   7099.67  5.4648559E-03
   7100.00  5.6152823E-03
   7100.33  5.7755655E-03
   7100.67  5.9455539E-03
   7101.00  6.1261703E-03
   7101.33  6.3201328E-03
   7101.67  6.5273974E-03
   7102.00  6.7493920E-03
   7102.33  6.9901423E-03
   7102.67  7.2498667E-03
   7103.00  7.5308904E-03
   7103.33  7.8395024E-03
   7103.67  8.1765433E-03
   7104.00  8.5460449E-03
   7104.33  8.9585035E-03
   7104.67  9.4162740E-03
   7105.00  9.9269173E-03
   7105.33  1.0509491E-02
   7105.67  1.1170280E-02
   7106.00  1.1924981E-02
   7106.33  1.2812240E-02
   7106.67  1.3849700E-02
   7107.00  1.5074727E-02
   7107.33  1.6578556E-02
   7107.67  1.8417501E-02
   7108.00  2.0699702E-02
   7108.33  2.3694089E-02
   7108.67  2.7626650E-02
   7109.00  3.2919374E-02
   7109.33  4.0696541E-02
   7109.67  5.2291859E-02
   7110.00  7.0326386E-02
   7110.33  1.0242803E-01
   7110.67  1.5700680E-01
   7111.00  2.3604828E-01
   7111.33  3.0912888E-01
   7111.67  3.4107378E-01
   7112.00  3.2593332E-01
   7112.33  2.7656769E-01
   7112.67  2.2301562E-01
   7113.00  1.7758311E-01
   7113.33  1.4284900E-01
   7113.67  1.1562086E-01
   7114.00  9.5302107E-02
   7114.33  8.2029086E-02
   7114.67  7.2678448E-02
   7115.00  6.4629569E-02
   7115.33  5.7981914E-02
   7115.67  5.3584300E-02
   7116.00  5.1141931E-02
   7116.33  5.0311556E-02
   7116.67  5.0554235E-02
   7117.00  5.1629854E-02
   7117.33  5.3428878E-02
   7117.67  5.5821336E-02
   7118.00  5.8860606E-02
   7118.33  6.2740818E-02
   7118.67  6.7446169E-02
   7119.00  7.2995126E-02
   7119.33  7.9424694E-02
   7119.67  8.6460632E-02
