    FDMNES
    energy     <xanes>
   7097.00  5.2361880E-03
   7097.33  5.3622729E-03
   7097.67  5.4942331E-03
   7098.00  5.6324758E-03
   7098.33  5.7783762E-03
   7098.67  5.9316688E-03
   7099.00  6.0929105E-03
   7099.33  6.2639091E-03
   7099.67  6.4443958E-03
   7100.00  6.6351529E-03
   7100.33  6.8386194E-03
   7100.67  7.0545522E-03
   7101.00  7.2840852E-03
   7101.33  7.5306119E-03
   7101.67  7.7939792E-03
   7102.00  8.0758924E-03
   7102.33  8.3812500E-03
   7102.67  8.7101329E-03
   7103.00  9.0652205E-03
   7103.33  9.4539113E-03
   7103.67  9.8768454E-03
   7104.00  1.0338470E-02
   7104.33  1.0850607E-02
   7104.67  1.1415238E-02
   7105.00  1.2040272E-02
   7105.33  1.2746028E-02
   7105.67  1.3537858E-02
   7106.00  1.4431171E-02
   7106.33  1.5464457E-02
   7106.67  1.6652402E-02
   7107.00  1.8029039E-02
   7107.33  1.9678041E-02
   7107.67  2.1644232E-02
   7108.00  2.4018041E-02
   7108.33  2.7023726E-02
   7108.67  3.0831025E-02
   7109.00  3.5762633E-02
   7109.33  4.2668877E-02
   7109.67  5.2496724E-02
   7110.00  6.7106203E-02
   7110.33  9.1816868E-02
   7110.67  1.3190368E-01
   7111.00  1.8690481E-01
   7111.33  2.3630795E-01
   7111.67  2.7020283E-01
   7112.00  3.0157731E-01
   7112.33  3.3946969E-01
   7112.67  3.8071527E-01
   7113.00  4.2546122E-01
   7113.33  4.6584243E-01
   7113.67  4.7140164E-01
   7114.00  4.3303791E-01
   7114.33  3.7477829E-01
   7114.67  3.2502195E-01
   7115.00  2.9180667E-01
   7115.33  2.7672604E-01
   7115.67  2.7062868E-01
   7116.00  2.6312552E-01
   7116.33  2.4741475E-01
   7116.67  2.2850805E-01
   7117.00  2.0888640E-01
   7117.33  1.8971217E-01
   7117.67  1.7230272E-01
   7118.00  1.5717712E-01
   7118.33  1.4512348E-01
   7118.67  1.3631835E-01
   7119.00  1.3056411E-01
   7119.33  1.2711244E-01
   7119.67  1.2465622E-01
   7120.00  1.2277583E-01
   7120.33  1.2145476E-01
   7120.67  1.2043234E-01
   7121.00  1.1951500E-01
   7121.33  1.1892189E-01
   7121.67  1.1887451E-01
   7122.00  1.1940879E-01
   7122.33  1.2065347E-01
   7122.67  1.2269729E-01
   7123.00  1.2573833E-01
   7123.33  1.3017216E-01
   7123.67  1.3608162E-01
   7124.00  1.4366926E-01
   7124.33  1.5338998E-01
   7124.67  1.6516862E-01
   7125.00  1.7910057E-01
   7125.33  1.9560780E-01
   7125.67  2.1467197E-01
   7126.00  2.3668600E-01
   7126.33  2.6267478E-01
   7126.67  2.9255421E-01
   7127.00  3.2591195E-01
   7127.33  3.6112246E-01
   7127.67  3.9497324E-01
   7128.00  4.2504828E-01
   7128.33  4.4995274E-01
   7128.67  4.7181670E-01
   7129.00  4.9271485E-01
   7129.33  5.1485395E-01
   7129.67  5.3955914E-01
   7130.00  5.6761638E-01
   7130.33  6.0006437E-01
   7130.67  6.3682138E-01
   7131.00  6.7824427E-01
   7131.33  7.2543965E-01
   7131.67  7.7799818E-01
   7132.00  8.3539097E-01
   7132.33  8.9581636E-01
   7132.67  9.5510902E-01
   7133.00  1.0091980E+00
   7133.33  1.0522496E+00
   7133.67  1.0821258E+00
   7134.00  1.0975982E+00
   7134.33  1.0971443E+00
   7134.67  1.0832916E+00
   7135.00  1.0568577E+00
   7135.33  1.0186856E+00
   7135.67  9.7356824E-01
   7136.00  9.2472617E-01
   7136.33  8.7520418E-01
   7136.67  8.2724746E-01
   7137.00  7.8205038E-01
   7137.33  7.4090244E-01
   7137.67  7.0380273E-01
   7138.00  6.7093472E-01
   7138.33  6.4287224E-01
   7138.67  6.1895719E-01
   7139.00  5.9899213E-01
   7139.33  5.8316551E-01
   7139.67  5.7073274E-01
   7140.00  5.6144462E-01
   7140.33  5.5535032E-01
   7140.67  5.5175744E-01
   7141.00  5.5033968E-01
   7141.33  5.5088431E-01
   7141.67  5.5269146E-01
   7142.00  5.5531927E-01
   7142.33  5.5828705E-01
   7142.67  5.6107972E-01
   7143.00  5.6335816E-01
   7143.33  5.6474240E-01
   7143.67  5.6518423E-01
   7144.00  5.6465288E-01
   7144.33  5.6308182E-01
   7144.67  5.6069685E-01
   7145.00  5.5761903E-01
   7145.33  5.5391710E-01
   7145.67  5.4977586E-01
   7146.00  5.4528791E-01
   7146.33  5.4053238E-01
   7146.67  5.3564535E-01
   7147.00  5.3071280E-01
   7147.33  5.2583136E-01
   7147.67  5.2107805E-01
   7148.00  5.1652507E-01
   7148.33  5.1228137E-01
   7148.67  5.0836093E-01
   7149.00  5.0479170E-01
   7149.33  5.0164106E-01
   7149.67  4.9887062E-01
   7150.00  4.9647678E-01
   7150.33  4.9448885E-01
   7150.67  4.9284013E-01
   7151.00  4.9151158E-01
   7151.33  4.9052061E-01
   7151.67  4.8981620E-01
   7152.00  4.8939508E-01
   7152.33  4.8930110E-01
   7152.67  4.8951641E-01
   7153.00  4.9006726E-01
   7153.33  4.9104245E-01
   7153.67  4.9243949E-01
   7154.00  4.9429072E-01
   7154.33  4.9667395E-01
   7154.67  4.9951440E-01
   7155.00  5.0276146E-01
   7155.33  5.0634502E-01
   7155.67  5.1007346E-01
   7156.00  5.1379019E-01
   7156.33  5.1728395E-01
   7156.67  5.2041457E-01
   7157.00  5.2307339E-01
   7157.33  5.2511225E-01
   7157.67  5.2657024E-01
   7158.00  5.2745507E-01
   7158.33  5.2773694E-01
   7158.67  5.2753945E-01
   7159.00  5.2691958E-01
   7159.33  5.2590329E-01
   7159.67  5.2460381E-01
   7160.00  5.2307701E-01
   7160.33  5.2136048E-01
   7160.67  5.1952544E-01
   7161.00  5.1760751E-01
   7161.33  5.1563402E-01
   7161.67  5.1363619E-01
   7162.00  5.1162897E-01
   7162.33  5.0962462E-01
   7162.67  5.0763086E-01
   7163.00  5.0564565E-01
   7163.33  5.0366143E-01
   7163.67  5.0167659E-01
   7164.00  4.9969204E-01
   7164.33  4.9770896E-01
   7164.67  4.9572803E-01
   7165.00  4.9375076E-01
   7165.33  4.9177980E-01
   7165.67  4.8981581E-01
   7166.00  4.8785962E-01
   7166.33  4.8591161E-01
   7166.67  4.8396803E-01
   7167.00  4.8202521E-01
   7167.33  4.8007744E-01
   7167.67  4.7811887E-01
   7168.00  4.7614458E-01
   7168.33  4.7414971E-01
   7168.67  4.7213778E-01
   7169.00  4.7011261E-01
   7169.33  4.6808406E-01
   7169.67  4.6607461E-01
   7170.00  4.6410718E-01
   7170.33  4.6221181E-01
   7170.67  4.6040329E-01
   7171.00  4.5870584E-01
   7171.33  4.5717525E-01
   7171.67  4.5584690E-01
   7172.00  4.5478132E-01
