    FDMNES
    energy     <xanes>
   7097.00  5.0913450E-03
   7097.33  5.2173821E-03
   7097.67  5.3493675E-03
   7098.00  5.4877162E-03
   7098.33  5.6338255E-03
   7098.67  5.7874303E-03
   7099.00  5.9490994E-03
   7099.33  6.1206724E-03
   7099.67  6.3018819E-03
   7100.00  6.4935281E-03
   7100.33  6.6980971E-03
   7100.67  6.9153494E-03
   7101.00  7.1464464E-03
   7101.33  7.3948531E-03
   7101.67  7.6604248E-03
   7102.00  7.9449098E-03
   7102.33  8.2533194E-03
   7102.67  8.5857514E-03
   7103.00  8.9449566E-03
   7103.33  9.3385159E-03
   7103.67  9.7671049E-03
   7104.00  1.0235293E-02
   7104.33  1.0755210E-02
   7104.67  1.1328912E-02
   7105.00  1.1964526E-02
   7105.33  1.2682911E-02
   7105.67  1.3489580E-02
   7106.00  1.4400349E-02
   7106.33  1.5454697E-02
   7106.67  1.6667648E-02
   7107.00  1.8074017E-02
   7107.33  1.9759327E-02
   7107.67  2.1769044E-02
   7108.00  2.4194976E-02
   7108.33  2.7264408E-02
   7108.67  3.1147256E-02
   7109.00  3.6166379E-02
   7109.33  4.3169015E-02
   7109.67  5.3084151E-02
   7110.00  6.7732303E-02
   7110.33  9.2328517E-02
   7110.67  1.3235986E-01
   7111.00  1.8900594E-01
   7111.33  2.4264446E-01
   7111.67  2.7531365E-01
   7112.00  3.0581483E-01
   7112.33  3.6722356E-01
   7112.67  4.4127653E-01
   7113.00  4.8903799E-01
   7113.33  5.2081140E-01
   7113.67  5.1822243E-01
   7114.00  4.4133230E-01
   7114.33  3.4868460E-01
   7114.67  2.9027970E-01
   7115.00  2.6386765E-01
   7115.33  2.4879969E-01
   7115.67  2.2459473E-01
   7116.00  1.9716297E-01
   7116.33  1.7815885E-01
   7116.67  1.6322995E-01
   7117.00  1.4774005E-01
   7117.33  1.3280497E-01
   7117.67  1.2174903E-01
   7118.00  1.1551299E-01
   7118.33  1.1307105E-01
   7118.67  1.1114182E-01
   7119.00  1.0880846E-01
   7119.33  1.0746872E-01
   7119.67  1.0812557E-01
   7120.00  1.1084713E-01
   7120.33  1.1502544E-01
   7120.67  1.1956723E-01
   7121.00  1.2461177E-01
   7121.33  1.3159816E-01
   7121.67  1.4121478E-01
   7122.00  1.5362223E-01
   7122.33  1.6925290E-01
   7122.67  1.8796690E-01
   7123.00  2.0996853E-01
   7123.33  2.3584705E-01
   7123.67  2.6528437E-01
   7124.00  2.9837298E-01
   7124.33  3.3533985E-01
   7124.67  3.7410688E-01
   7125.00  4.1090431E-01
   7125.33  4.3756698E-01
   7125.67  4.4933241E-01
   7126.00  4.4625031E-01
   7126.33  4.3330833E-01
   7126.67  4.1890951E-01
   7127.00  4.0708986E-01
   7127.33  4.0047527E-01
   7127.67  3.9884685E-01
   7128.00  4.0183979E-01
   7128.33  4.0915249E-01
   7128.67  4.1930807E-01
   7129.00  4.3131877E-01
   7129.33  4.4414057E-01
   7129.67  4.5686489E-01
   7130.00  4.6925758E-01
   7130.33  4.8180324E-01
   7130.67  4.9555225E-01
   7131.00  5.1157352E-01
   7131.33  5.3132602E-01
   7131.67  5.5491149E-01
   7132.00  5.8215821E-01
   7132.33  6.1225827E-01
   7132.67  6.4274863E-01
   7133.00  6.7137192E-01
   7133.33  6.9558812E-01
   7133.67  7.1533875E-01
   7134.00  7.3127663E-01
   7134.33  7.4423464E-01
   7134.67  7.5522531E-01
   7135.00  7.6415739E-01
   7135.33  7.7008490E-01
   7135.67  7.7274490E-01
   7136.00  7.7189971E-01
   7136.33  7.6703052E-01
   7136.67  7.5849092E-01
   7137.00  7.4620347E-01
   7137.33  7.2998286E-01
   7137.67  7.1121079E-01
   7138.00  6.9124455E-01
   7138.33  6.7201569E-01
   7138.67  6.5509074E-01
   7139.00  6.4144792E-01
   7139.33  6.3209765E-01
   7139.67  6.2652783E-01
   7140.00  6.2438286E-01
   7140.33  6.2535702E-01
   7140.67  6.2828918E-01
   7141.00  6.3245134E-01
   7141.33  6.3714730E-01
   7141.67  6.4172335E-01
   7142.00  6.4582159E-01
   7142.33  6.4912070E-01
   7142.67  6.5165477E-01
   7143.00  6.5348313E-01
   7143.33  6.5467414E-01
   7143.67  6.5546343E-01
   7144.00  6.5598665E-01
   7144.33  6.5636691E-01
   7144.67  6.5673888E-01
   7145.00  6.5719306E-01
   7145.33  6.5784923E-01
   7145.67  6.5877326E-01
   7146.00  6.6002872E-01
   7146.33  6.6171261E-01
   7146.67  6.6378689E-01
   7147.00  6.6621765E-01
   7147.33  6.6894405E-01
   7147.67  6.7178690E-01
   7148.00  6.7458891E-01
   7148.33  6.7711699E-01
   7148.67  6.7919873E-01
   7149.00  6.8067581E-01
   7149.33  6.8130273E-01
   7149.67  6.8106883E-01
   7150.00  6.7992385E-01
   7150.33  6.7773810E-01
   7150.67  6.7465396E-01
   7151.00  6.7071948E-01
   7151.33  6.6591398E-01
   7151.67  6.6042547E-01
   7152.00  6.5433657E-01
   7152.33  6.4767630E-01
   7152.67  6.4059531E-01
   7153.00  6.3316438E-01
   7153.33  6.2542597E-01
   7153.67  6.1748546E-01
   7154.00  6.0940232E-01
   7154.33  6.0123555E-01
   7154.67  5.9306100E-01
   7155.00  5.8493468E-01
   7155.33  5.7693500E-01
   7155.67  5.6911122E-01
   7156.00  5.6151598E-01
   7156.33  5.5424216E-01
   7156.67  5.4730606E-01
   7157.00  5.4074693E-01
   7157.33  5.3465271E-01
   7157.67  5.2899517E-01
   7158.00  5.2378260E-01
   7158.33  5.1906433E-01
   7158.67  5.1476245E-01
   7159.00  5.1084141E-01
   7159.33  5.0727902E-01
   7159.67  5.0395995E-01
   7160.00  5.0081392E-01
   7160.33  4.9776657E-01
   7160.67  4.9472146E-01
   7161.00  4.9160918E-01
   7161.33  4.8834584E-01
   7161.67  4.8489970E-01
   7162.00  4.8124327E-01
   7162.33  4.7733065E-01
   7162.67  4.7318517E-01
   7163.00  4.6880861E-01
   7163.33  4.6417675E-01
   7163.67  4.5931980E-01
   7164.00  4.5423610E-01
   7164.33  4.4889343E-01
   7164.67  4.4331937E-01
   7165.00  4.3751884E-01
   7165.33  4.3148381E-01
   7165.67  4.2527469E-01
   7166.00  4.1893424E-01
   7166.33  4.1251758E-01
   7166.67  4.0610786E-01
   7167.00  3.9977295E-01
   7167.33  3.9360797E-01
   7167.67  3.8766220E-01
   7168.00  3.8198436E-01
   7168.33  3.7665514E-01
   7168.67  3.7166482E-01
   7169.00  3.6703559E-01
   7169.33  3.6283018E-01
   7169.67  3.5900411E-01
   7170.00  3.5556132E-01
   7170.33  3.5255826E-01
   7170.67  3.4995452E-01
   7171.00  3.4775533E-01
   7171.33  3.4600860E-01
   7171.67  3.4464210E-01
   7172.00  3.4361046E-01
