    FDMNES
    energy     <xanes>
   7097.00  5.0391329E-03
   7097.33  5.1591364E-03
   7097.67  5.2846046E-03
   7098.00  5.4159067E-03
   7098.33  5.5543062E-03
   7098.67  5.6995429E-03
   7099.00  5.8521185E-03
   7099.33  6.0136819E-03
   7099.67  6.1839649E-03
   7100.00  6.3636666E-03
   7100.33  6.5549939E-03
   7100.67  6.7576931E-03
   7101.00  6.9727685E-03
   7101.33  7.2032616E-03
   7101.67  7.4489851E-03
   7102.00  7.7114330E-03
   7102.33  7.9949479E-03
   7102.67  8.2995231E-03
   7103.00  8.6274772E-03
   7103.33  8.9852840E-03
   7103.67  9.3733746E-03
   7104.00  9.7955404E-03
   7104.33  1.0261965E-02
   7104.67  1.0774128E-02
   7105.00  1.1338652E-02
   7105.33  1.1972699E-02
   7105.67  1.2680362E-02
   7106.00  1.3474252E-02
   7106.33  1.4386088E-02
   7106.67  1.5427054E-02
   7107.00  1.6624218E-02
   7107.33  1.8044354E-02
   7107.67  1.9720971E-02
   7108.00  2.1723371E-02
   7108.33  2.4223212E-02
   7108.67  2.7343656E-02
   7109.00  3.1321137E-02
   7109.33  3.6774892E-02
   7109.67  4.4369515E-02
   7110.00  5.5408324E-02
   7110.33  7.3550656E-02
   7110.67  1.0190843E-01
   7111.00  1.3850216E-01
   7111.33  1.7276591E-01
   7111.67  2.0928246E-01
   7112.00  2.5467759E-01
   7112.33  3.1617334E-01
   7112.67  3.8725031E-01
   7113.00  4.4670459E-01
   7113.33  4.5566547E-01
   7113.67  4.2381820E-01
   7114.00  3.8068006E-01
   7114.33  3.4850205E-01
   7114.67  3.2989499E-01
   7115.00  3.2099849E-01
   7115.33  3.1232915E-01
   7115.67  2.9593538E-01
   7116.00  2.7214213E-01
   7116.33  2.4634846E-01
   7116.67  2.2311323E-01
   7117.00  2.0360623E-01
   7117.33  1.8803750E-01
   7117.67  1.7530344E-01
   7118.00  1.6491503E-01
   7118.33  1.5670859E-01
   7118.67  1.5011676E-01
   7119.00  1.4485973E-01
   7119.33  1.4068050E-01
   7119.67  1.3706653E-01
   7120.00  1.3388270E-01
   7120.33  1.3154137E-01
   7120.67  1.3041469E-01
   7121.00  1.3053348E-01
   7121.33  1.3152749E-01
   7121.67  1.3276669E-01
   7122.00  1.3414942E-01
   7122.33  1.3598149E-01
   7122.67  1.3851522E-01
   7123.00  1.4193806E-01
   7123.33  1.4659133E-01
   7123.67  1.5260598E-01
   7124.00  1.6028867E-01
   7124.33  1.7034274E-01
   7124.67  1.8298081E-01
   7125.00  1.9854455E-01
