    FDMNES
    energy     <xanes>
   7097.00  4.5795383E-03
   7097.33  4.6768487E-03
   7097.67  4.7780968E-03
   7098.00  4.8835266E-03
   7098.33  4.9940129E-03
   7098.67  5.1093406E-03
   7099.00  5.2298378E-03
   7099.33  5.3566277E-03
   7099.67  5.4894857E-03
   7100.00  5.6288653E-03
   7100.33  5.7762474E-03
   7100.67  5.9314130E-03
   7101.00  6.0950096E-03
   7101.33  6.2690536E-03
   7101.67  6.4533666E-03
   7102.00  6.6489104E-03
   7102.33  6.8585404E-03
   7102.67  7.0821980E-03
   7103.00  7.3213832E-03
   7103.33  7.5803414E-03
   7103.67  7.8593180E-03
   7104.00  8.1607957E-03
   7104.33  8.4914892E-03
   7104.67  8.8523977E-03
   7105.00  9.2479515E-03
   7105.33  9.6896518E-03
   7105.67  1.0180443E-02
   7106.00  1.0729044E-02
   7106.33  1.1357355E-02
   7106.67  1.2073814E-02
   7107.00  1.2898006E-02
   7107.33  1.3878206E-02
   7107.67  1.5040900E-02
   7108.00  1.6439228E-02
   7108.33  1.8205165E-02
   7108.67  2.0440705E-02
   7109.00  2.3338793E-02
   7109.33  2.7407711E-02
   7109.67  3.3216559E-02
   7110.00  4.1878555E-02
   7110.33  5.6581844E-02
   7110.67  8.0658792E-02
   7111.00  1.1482370E-01
   7111.33  1.5077928E-01
   7111.67  1.8334393E-01
   7112.00  2.1195204E-01
   7112.33  2.2052703E-01
   7112.67  2.0578224E-01
   7113.00  1.8092510E-01
   7113.33  1.5304143E-01
   7113.67  1.3051557E-01
   7114.00  1.1348816E-01
   7114.33  9.7788915E-02
   7114.67  8.5194417E-02
   7115.00  7.7480261E-02
   7115.33  7.4736822E-02
   7115.67  7.5557348E-02
   7116.00  7.9120109E-02
   7116.33  8.4032580E-02
   7116.67  8.9854691E-02
   7117.00  9.8694279E-02
   7117.33  1.1347505E-01
   7117.67  1.3336819E-01
   7118.00  1.5575085E-01
   7118.33  1.7427668E-01
   7118.67  1.8531898E-01
   7119.00  1.9214962E-01
   7119.33  2.0076846E-01
   7119.67  2.1239544E-01
   7120.00  2.2646904E-01
   7120.33  2.4339437E-01
   7120.67  2.6302428E-01
   7121.00  2.8446293E-01
   7121.33  3.0583238E-01
   7121.67  3.2616074E-01
   7122.00  3.4613177E-01
   7122.33  3.6707746E-01
   7122.67  3.8932215E-01
   7123.00  4.1270165E-01
   7123.33  4.3685765E-01
   7123.67  4.6060092E-01
   7124.00  4.8170963E-01
   7124.33  4.9610786E-01
   7124.67  5.0284137E-01
   7125.00  5.0278108E-01
   7125.33  4.9878369E-01
   7125.67  4.9514671E-01
   7126.00  4.9411729E-01
   7126.33  4.9676706E-01
   7126.67  5.0191334E-01
   7127.00  5.0880392E-01
   7127.33  5.1738758E-01
   7127.67  5.2747854E-01
   7128.00  5.3853308E-01
   7128.33  5.4920675E-01
   7128.67  5.5842247E-01
   7129.00  5.6613796E-01
   7129.33  5.7367459E-01
   7129.67  5.8328420E-01
   7130.00  5.9677789E-01
   7130.33  6.1582608E-01
   7130.67  6.3912374E-01
   7131.00  6.6478268E-01
   7131.33  6.8982580E-01
   7131.67  7.1159490E-01
   7132.00  7.2840787E-01
   7132.33  7.3844778E-01
   7132.67  7.4209816E-01
   7133.00  7.3938166E-01
   7133.33  7.2996482E-01
   7133.67  7.1558340E-01
   7134.00  6.9763216E-01
   7134.33  6.7808678E-01
   7134.67  6.5952263E-01
   7135.00  6.4384651E-01
   7135.33  6.3328328E-01
   7135.67  6.2806962E-01
   7136.00  6.2815211E-01
   7136.33  6.3319414E-01
   7136.67  6.4099938E-01
   7137.00  6.4973961E-01
   7137.33  6.5703740E-01
   7137.67  6.6131102E-01
   7138.00  6.6184348E-01
   7138.33  6.5838753E-01
   7138.67  6.5238326E-01
   7139.00  6.4492952E-01
   7139.33  6.3718687E-01
   7139.67  6.3011852E-01
   7140.00  6.2426040E-01
   7140.33  6.2004131E-01
   7140.67  6.1719717E-01
   7141.00  6.1549825E-01
   7141.33  6.1469224E-01
   7141.67  6.1432147E-01
   7142.00  6.1410477E-01
   7142.33  6.1374092E-01
   7142.67  6.1302598E-01
   7143.00  6.1181374E-01
   7143.33  6.0989150E-01
   7143.67  6.0724866E-01
   7144.00  6.0385022E-01
   7144.33  5.9960973E-01
   7144.67  5.9466533E-01
   7145.00  5.8906589E-01
   7145.33  5.8278453E-01
   7145.67  5.7593344E-01
   7146.00  5.6853959E-01
   7146.33  5.6057996E-01
   7146.67  5.5218315E-01
   7147.00  5.4343385E-01
