    FDMNES
    energy     <xanes>
   7097.00  4.8049735E-03
   7097.33  4.9040735E-03
   7097.67  5.0071041E-03
   7098.00  5.1143052E-03
   7098.33  5.2265438E-03
   7098.67  5.3436000E-03
   7099.00  5.4657955E-03
   7099.33  5.5942395E-03
   7099.67  5.7287019E-03
   7100.00  5.8696256E-03
   7100.33  6.0184683E-03
   7100.67  6.1750037E-03
   7101.00  6.3398628E-03
   7101.33  6.5150231E-03
   7101.67  6.7002960E-03
   7102.00  6.8966166E-03
   7102.33  7.1067763E-03
   7102.67  7.3307001E-03
   7103.00  7.5698437E-03
   7103.33  7.8283450E-03
   7103.67  8.1064214E-03
   7104.00  8.4064791E-03
   7104.33  8.7350472E-03
   7104.67  9.0930715E-03
   7105.00  9.4848448E-03
   7105.33  9.9215343E-03
   7105.67  1.0405974E-02
   7106.00  1.0946619E-02
   7106.33  1.1564734E-02
   7106.67  1.2268510E-02
   7107.00  1.3076988E-02
   7107.33  1.4037143E-02
   7107.67  1.5174859E-02
   7108.00  1.6542057E-02
   7108.33  1.8267831E-02
   7108.67  2.0452630E-02
   7109.00  2.3286505E-02
   7109.33  2.7271081E-02
   7109.67  3.2971933E-02
   7110.00  4.1495639E-02
   7110.33  5.6001399E-02
   7110.67  7.9679110E-02
   7111.00  1.1311516E-01
   7111.33  1.5187474E-01
   7111.67  1.8863317E-01
   7112.00  2.0153683E-01
   7112.33  1.8002266E-01
   7112.67  1.5615778E-01
   7113.00  1.4325349E-01
   7113.33  1.4335040E-01
   7113.67  1.5113675E-01
   7114.00  1.5993010E-01
   7114.33  1.5766118E-01
   7114.67  1.4061955E-01
   7115.00  1.1630888E-01
   7115.33  9.6223329E-02
   7115.67  8.2496332E-02
   7116.00  7.4114564E-02
   7116.33  7.0181176E-02
   7116.67  6.9256614E-02
   7117.00  7.0882022E-02
   7117.33  7.4962557E-02
   7117.67  8.0711756E-02
   7118.00  8.7404998E-02
   7118.33  9.4131359E-02
   7118.67  1.0062575E-01
   7119.00  1.0745478E-01
   7119.33  1.1597184E-01
   7119.67  1.2740018E-01
   7120.00  1.4302060E-01
   7120.33  1.6476741E-01
   7120.67  1.9268472E-01
   7121.00  2.2674947E-01
   7121.33  2.6626094E-01
   7121.67  3.0769174E-01
   7122.00  3.4809365E-01
   7122.33  3.8460915E-01
   7122.67  4.1676356E-01
   7123.00  4.4502763E-01
   7123.33  4.7053890E-01
   7123.67  4.9501670E-01
   7124.00  5.1952649E-01
   7124.33  5.4554112E-01
   7124.67  5.7428764E-01
   7125.00  6.0702420E-01
   7125.33  6.4590607E-01
   7125.67  6.9140308E-01
   7126.00  7.4401510E-01
   7126.33  8.0355704E-01
   7126.67  8.6443287E-01
   7127.00  9.1808650E-01
   7127.33  9.4852253E-01
   7127.67  9.5012054E-01
   7128.00  9.2755455E-01
   7128.33  8.9338435E-01
   7128.67  8.5775625E-01
   7129.00  8.2109169E-01
   7129.33  7.8199851E-01
   7129.67  7.4277309E-01
   7130.00  7.0649787E-01
   7130.33  6.7633885E-01
   7130.67  6.5245862E-01
   7131.00  6.3467967E-01
   7131.33  6.2289501E-01
   7131.67  6.1562502E-01
   7132.00  6.1265134E-01
   7132.33  6.1512514E-01
   7132.67  6.2322092E-01
   7133.00  6.3659395E-01
   7133.33  6.5230578E-01
   7133.67  6.6441996E-01
   7134.00  6.6896080E-01
   7134.33  6.6418110E-01
   7134.67  6.5367653E-01
   7135.00  6.4029368E-01
   7135.33  6.2650272E-01
   7135.67  6.1359484E-01
   7136.00  6.0185409E-01
   7136.33  5.9136544E-01
   7136.67  5.8193097E-01
   7137.00  5.7362553E-01
   7137.33  5.6676157E-01
   7137.67  5.6124350E-01
   7138.00  5.5695953E-01
   7138.33  5.5364332E-01
   7138.67  5.5057138E-01
   7139.00  5.4708370E-01
   7139.33  5.4224592E-01
   7139.67  5.3562334E-01
   7140.00  5.2706913E-01
   7140.33  5.1678387E-01
   7140.67  5.0586815E-01
   7141.00  4.9524677E-01
   7141.33  4.8595840E-01
   7141.67  4.7834745E-01
   7142.00  4.7250441E-01
   7142.33  4.6843431E-01
   7142.67  4.6553322E-01
   7143.00  4.6334582E-01
   7143.33  4.6130190E-01
   7143.67  4.5882968E-01
   7144.00  4.5556158E-01
   7144.33  4.5114583E-01
   7144.67  4.4571337E-01
   7145.00  4.3939833E-01
   7145.33  4.3232799E-01
   7145.67  4.2477215E-01
   7146.00  4.1683768E-01
   7146.33  4.0855508E-01
   7146.67  4.0000898E-01
   7147.00  3.9125534E-01
   7147.33  3.8239933E-01
   7147.67  3.7363527E-01
   7148.00  3.6515735E-01
   7148.33  3.5725556E-01
   7148.67  3.5005937E-01
   7149.00  3.4369010E-01
   7149.33  3.3832783E-01
   7149.67  3.3384542E-01
   7150.00  3.3017282E-01
   7150.33  3.2727157E-01
   7150.67  3.2491585E-01
   7151.00  3.2299153E-01
   7151.33  3.2142675E-01
   7151.67  3.2009798E-01
   7152.00  3.1895567E-01
   7152.33  3.1798621E-01
   7152.67  3.1716164E-01
   7153.00  3.1648878E-01
   7153.33  3.1600597E-01
   7153.67  3.1571217E-01
   7154.00  3.1562251E-01
   7154.33  3.1577769E-01
   7154.67  3.1615796E-01
   7155.00  3.1676409E-01
   7155.33  3.1762292E-01
   7155.67  3.1870838E-01
   7156.00  3.2003032E-01
   7156.33  3.2164628E-01
   7156.67  3.2356449E-01
   7157.00  3.2583328E-01
   7157.33  3.2857278E-01
   7157.67  3.3180241E-01
   7158.00  3.3557958E-01
   7158.33  3.4003499E-01
   7158.67  3.4513052E-01
   7159.00  3.5088070E-01
   7159.33  3.5736293E-01
   7159.67  3.6446981E-01
   7160.00  3.7216199E-01
   7160.33  3.8043846E-01
   7160.67  3.8914902E-01
   7161.00  3.9821155E-01
   7161.33  4.0755440E-01
   7161.67  4.1703899E-01
   7162.00  4.2657354E-01
   7162.33  4.3605199E-01
   7162.67  4.4538560E-01
   7163.00  4.5449482E-01
   7163.33  4.6327256E-01
   7163.67  4.7171294E-01
   7164.00  4.7979865E-01
   7164.33  4.8749060E-01
   7164.67  4.9486126E-01
   7165.00  5.0194691E-01
   7165.33  5.0876265E-01
   7165.67  5.1537800E-01
   7166.00  5.2181592E-01
   7166.33  5.2806789E-01
   7166.67  5.3415533E-01
   7167.00  5.4006465E-01
   7167.33  5.4573833E-01
   7167.67  5.5116688E-01
   7168.00  5.5631909E-01
   7168.33  5.6111929E-01
   7168.67  5.6556945E-01
   7169.00  5.6963785E-01
   7169.33  5.7323780E-01
   7169.67  5.7639127E-01
   7170.00  5.7907794E-01
   7170.33  5.8122483E-01
   7170.67  5.8289493E-01
   7171.00  5.8410777E-01
   7171.33  5.8486390E-01
   7171.67  5.8531212E-01
   7172.00  5.8558457E-01
