    FDMNES
    energy     <xanes>
   7097.00  5.0743727E-03
   7097.33  5.1977143E-03
   7097.67  5.3268250E-03
   7098.00  5.4621062E-03
   7098.33  5.6049113E-03
   7098.67  5.7549821E-03
   7099.00  5.9128688E-03
   7099.33  6.0803531E-03
   7099.67  6.2571749E-03
   7100.00  6.4441089E-03
   7100.33  6.6435635E-03
   7100.67  6.8553066E-03
   7101.00  7.0804636E-03
   7101.33  7.3223932E-03
   7101.67  7.5809575E-03
   7102.00  7.8578534E-03
   7102.33  8.1579434E-03
   7102.67  8.4813296E-03
   7103.00  8.8306874E-03
   7103.33  9.2133852E-03
   7103.67  9.6300959E-03
   7104.00  1.0085275E-02
   7104.33  1.0590740E-02
   7104.67  1.1148528E-02
   7105.00  1.1766588E-02
   7105.33  1.2465296E-02
   7105.67  1.3250108E-02
   7106.00  1.4136535E-02
   7106.33  1.5163256E-02
   7106.67  1.6345104E-02
   7107.00  1.7716276E-02
   7107.33  1.9360678E-02
   7107.67  2.1322962E-02
   7108.00  2.3693036E-02
   7108.33  2.6692986E-02
   7108.67  3.0487357E-02
   7109.00  3.5387778E-02
   7109.33  4.2206854E-02
   7109.67  5.1816635E-02
   7110.00  6.5913338E-02
   7110.33  8.9306604E-02
   7110.67  1.2703667E-01
   7111.00  1.8136531E-01
   7111.33  2.4709220E-01
   7111.67  3.1414608E-01
   7112.00  3.6632090E-01
   7112.33  3.9656242E-01
   7112.67  4.2003129E-01
   7113.00  4.3895780E-01
   7113.33  4.3234655E-01
   7113.67  3.8833002E-01
   7114.00  3.2340644E-01
   7114.33  2.6788118E-01
   7114.67  2.3182082E-01
   7115.00  2.1473029E-01
   7115.33  2.1352436E-01
   7115.67  2.1590206E-01
   7116.00  2.1088483E-01
   7116.33  1.9562951E-01
   7116.67  1.7908093E-01
   7117.00  1.6550105E-01
   7117.33  1.5675132E-01
   7117.67  1.5246496E-01
   7118.00  1.5207073E-01
   7118.33  1.5461629E-01
   7118.67  1.5871924E-01
   7119.00  1.6306420E-01
   7119.33  1.6625407E-01
   7119.67  1.6856989E-01
   7120.00  1.7022584E-01
   7120.33  1.7143919E-01
   7120.67  1.7209359E-01
   7121.00  1.7093004E-01
   7121.33  1.6738278E-01
   7121.67  1.6380754E-01
   7122.00  1.6152367E-01
   7122.33  1.6140643E-01
   7122.67  1.6392502E-01
   7123.00  1.6963379E-01
   7123.33  1.7933485E-01
   7123.67  1.9254732E-01
   7124.00  2.0869721E-01
   7124.33  2.2663902E-01
   7124.67  2.4499470E-01
   7125.00  2.6341794E-01
   7125.33  2.8146282E-01
   7125.67  2.9812866E-01
   7126.00  3.1272266E-01
   7126.33  3.2573888E-01
   7126.67  3.3938467E-01
   7127.00  3.5551528E-01
   7127.33  3.7569339E-01
   7127.67  3.9892278E-01
   7128.00  4.2390553E-01
   7128.33  4.4959345E-01
   7128.67  4.7577306E-01
   7129.00  5.0285854E-01
   7129.33  5.3180264E-01
   7129.67  5.6312307E-01
   7130.00  5.9720962E-01
   7130.33  6.3477498E-01
   7130.67  6.7584781E-01
   7131.00  7.2018504E-01
   7131.33  7.6537172E-01
   7131.67  8.0604628E-01
   7132.00  8.3662137E-01
   7132.33  8.5015458E-01
   7132.67  8.4758348E-01
   7133.00  8.3182678E-01
   7133.33  8.0791927E-01
   7133.67  7.8246465E-01
   7134.00  7.5843863E-01
   7134.33  7.3719643E-01
   7134.67  7.1798221E-01
   7135.00  7.0010172E-01
   7135.33  6.8298390E-01
   7135.67  6.6617368E-01
   7136.00  6.4953750E-01
   7136.33  6.3307801E-01
   7136.67  6.1693327E-01
   7137.00  6.0145546E-01
   7137.33  5.8753463E-01
   7137.67  5.7597806E-01
   7138.00  5.6768346E-01
   7138.33  5.6401283E-01
   7138.67  5.6485350E-01
   7139.00  5.7010078E-01
   7139.33  5.7961144E-01
   7139.67  5.9191207E-01
   7140.00  6.0601437E-01
   7140.33  6.2091762E-01
   7140.67  6.3564407E-01
   7141.00  6.4961558E-01
   7141.33  6.6218881E-01
   7141.67  6.7319026E-01
   7142.00  6.8244343E-01
   7142.33  6.8962235E-01
   7142.67  6.9495804E-01
   7143.00  6.9849880E-01
   7143.33  7.0011000E-01
   7143.67  7.0009989E-01
   7144.00  6.9857166E-01
   7144.33  6.9552872E-01
   7144.67  6.9137737E-01
   7145.00  6.8636170E-01
   7145.33  6.8070085E-01
   7145.67  6.7471705E-01
   7146.00  6.6856513E-01
   7146.33  6.6233465E-01
   7146.67  6.5605455E-01
   7147.00  6.4969929E-01
   7147.33  6.4319564E-01
   7147.67  6.3647839E-01
   7148.00  6.2946236E-01
   7148.33  6.2201050E-01
   7148.67  6.1411342E-01
   7149.00  6.0575150E-01
   7149.33  5.9688655E-01
   7149.67  5.8764051E-01
   7150.00  5.7810957E-01
   7150.33  5.6842987E-01
   7150.67  5.5879866E-01
   7151.00  5.4937435E-01
   7151.33  5.4037252E-01
   7151.67  5.3188353E-01
   7152.00  5.2399603E-01
   7152.33  5.1685993E-01
   7152.67  5.1042137E-01
   7153.00  5.0468677E-01
   7153.33  4.9973916E-01
   7153.67  4.9548107E-01
   7154.00  4.9190343E-01
   7154.33  4.8908131E-01
   7154.67  4.8692382E-01
   7155.00  4.8542538E-01
   7155.33  4.8465895E-01
   7155.67  4.8452850E-01
   7156.00  4.8501069E-01
   7156.33  4.8613279E-01
   7156.67  4.8776111E-01
   7157.00  4.8982796E-01
   7157.33  4.9228570E-01
   7157.67  4.9499337E-01
   7158.00  4.9786771E-01
   7158.33  5.0082702E-01
   7158.67  5.0377895E-01
   7159.00  5.0665795E-01
   7159.33  5.0937394E-01
   7159.67  5.1187384E-01
   7160.00  5.1409504E-01
   7160.33  5.1592038E-01
   7160.67  5.1732479E-01
   7161.00  5.1825596E-01
   7161.33  5.1860362E-01
   7161.67  5.1841263E-01
   7162.00  5.1768494E-01
   7162.33  5.1637512E-01
   7162.67  5.1458466E-01
   7163.00  5.1235179E-01
   7163.33  5.0966682E-01
   7163.67  5.0661019E-01
   7164.00  5.0319756E-01
   7164.33  4.9939343E-01
   7164.67  4.9524329E-01
   7165.00  4.9074902E-01
   7165.33  4.8587738E-01
   7165.67  4.8069030E-01
   7166.00  4.7521539E-01
   7166.33  4.6946718E-01
   7166.67  4.6353436E-01
   7167.00  4.5747414E-01
   7167.33  4.5135228E-01
   7167.67  4.4525749E-01
   7168.00  4.3925854E-01
   7168.33  4.3344536E-01
   7168.67  4.2785823E-01
   7169.00  4.2254374E-01
   7169.33  4.1758780E-01
   7169.67  4.1298708E-01
   7170.00  4.0876518E-01
   7170.33  4.0499021E-01
   7170.67  4.0162353E-01
   7171.00  3.9867109E-01
   7171.33  3.9619206E-01
   7171.67  3.9414661E-01
   7172.00  3.9254993E-01
