    FDMNES
    energy     <xanes>
   7097.00  4.8577638E-03
   7097.33  4.9576565E-03
   7097.67  5.0613292E-03
   7098.00  5.1689941E-03
   7098.33  5.2814533E-03
   7098.67  5.3984698E-03
   7099.00  5.5203206E-03
   7099.33  5.6480088E-03
   7099.67  5.7812779E-03
   7100.00  5.9204987E-03
   7100.33  6.0669534E-03
   7100.67  6.2203734E-03
   7101.00  6.3812698E-03
   7101.33  6.5513276E-03
   7101.67  6.7302849E-03
   7102.00  6.9188728E-03
   7102.33  7.1193844E-03
   7102.67  7.3316097E-03
   7103.00  7.5566449E-03
   7103.33  7.7977536E-03
   7103.67  8.0548876E-03
   7104.00  8.3297913E-03
   7104.33  8.6273943E-03
   7104.67  8.9480835E-03
   7105.00  9.2948610E-03
   7105.33  9.6757951E-03
   7105.67  1.0092447E-02
   7106.00  1.0550553E-02
   7106.33  1.1064881E-02
   7106.67  1.1640415E-02
   7107.00  1.2289828E-02
   7107.33  1.3044849E-02
   7107.67  1.3922106E-02
   7108.00  1.4956134E-02
   7108.33  1.6233712E-02
   7108.67  1.7822607E-02
   7109.00  1.9852991E-02
   7109.33  2.2673432E-02
   7109.67  2.6691487E-02
   7110.00  3.2714752E-02
   7110.33  4.3056724E-02
   7110.67  5.9749681E-02
   7111.00  8.1143890E-02
   7111.33  9.6721634E-02
   7111.67  1.0514056E-01
   7112.00  1.1180580E-01
   7112.33  1.1750583E-01
   7112.67  1.1908703E-01
   7113.00  1.1413779E-01
   7113.33  1.0268366E-01
   7113.67  9.0391240E-02
   7114.00  8.1166854E-02
   7114.33  7.6294783E-02
   7114.67  7.4398612E-02
   7115.00  7.4830745E-02
   7115.33  7.7561913E-02
   7115.67  8.2514198E-02
   7116.00  9.0144954E-02
   7116.33  1.0178944E-01
   7116.67  1.1835203E-01
   7117.00  1.4131285E-01
   7117.33  1.7294321E-01
   7117.67  2.1053518E-01
   7118.00  2.4748820E-01
   7118.33  2.7195952E-01
   7118.67  2.8390013E-01
   7119.00  2.9159779E-01
   7119.33  3.0649633E-01
   7119.67  3.3317184E-01
   7120.00  3.7129242E-01
   7120.33  4.1581302E-01
   7120.67  4.5871450E-01
   7121.00  4.9789654E-01
   7121.33  5.3596313E-01
   7121.67  5.7607817E-01
   7122.00  6.1870981E-01
   7122.33  6.6189318E-01
   7122.67  7.0217334E-01
   7123.00  7.3699240E-01
   7123.33  7.6385962E-01
   7123.67  7.8388416E-01
   7124.00  7.9839532E-01
   7124.33  8.0814744E-01
   7124.67  8.1354270E-01
   7125.00  8.1326191E-01
   7125.33  8.0408451E-01
   7125.67  7.8628063E-01
   7126.00  7.6160552E-01
   7126.33  7.3304819E-01
   7126.67  7.0374864E-01
   7127.00  6.7473982E-01
   7127.33  6.4615289E-01
   7127.67  6.1769066E-01
   7128.00  5.8952768E-01
   7128.33  5.6291033E-01
   7128.67  5.3930715E-01
   7129.00  5.1985992E-01
   7129.33  5.0562935E-01
   7129.67  4.9571342E-01
   7130.00  4.8948378E-01
   7130.33  4.8645001E-01
   7130.67  4.8546628E-01
   7131.00  4.8596315E-01
   7131.33  4.8753804E-01
   7131.67  4.8968056E-01
   7132.00  4.9212972E-01
   7132.33  4.9462573E-01
   7132.67  4.9689866E-01
   7133.00  4.9870588E-01
   7133.33  4.9968012E-01
   7133.67  4.9969253E-01
   7134.00  4.9862162E-01
   7134.33  4.9630680E-01
   7134.67  4.9299244E-01
   7135.00  4.8885877E-01
   7135.33  4.8413603E-01
   7135.67  4.7924691E-01
   7136.00  4.7451265E-01
   7136.33  4.7034333E-01
   7136.67  4.6695899E-01
   7137.00  4.6453510E-01
   7137.33  4.6332862E-01
   7137.67  4.6324045E-01
   7138.00  4.6423801E-01
   7138.33  4.6633675E-01
   7138.67  4.6923863E-01
   7139.00  4.7274313E-01
   7139.33  4.7660718E-01
   7139.67  4.8046764E-01
   7140.00  4.8403225E-01
   7140.33  4.8691715E-01
   7140.67  4.8898084E-01
   7141.00  4.9009984E-01
   7141.33  4.9004749E-01
   7141.67  4.8890941E-01
   7142.00  4.8668948E-01
   7142.33  4.8330519E-01
   7142.67  4.7896782E-01
   7143.00  4.7376767E-01
   7143.33  4.6773316E-01
   7143.67  4.6109119E-01
   7144.00  4.5396514E-01
   7144.33  4.4646391E-01
   7144.67  4.3878359E-01
   7145.00  4.3105529E-01
   7145.33  4.2343560E-01
   7145.67  4.1604333E-01
   7146.00  4.0897654E-01
   7146.33  4.0238118E-01
   7146.67  3.9627789E-01
   7147.00  3.9071688E-01
   7147.33  3.8581104E-01
   7147.67  3.8150794E-01
   7148.00  3.7781280E-01
   7148.33  3.7479448E-01
   7148.67  3.7236047E-01
   7149.00  3.7048863E-01
   7149.33  3.6921000E-01
   7149.67  3.6841577E-01
   7150.00  3.6806649E-01
   7150.33  3.6816667E-01
   7150.67  3.6862363E-01
   7151.00  3.6940347E-01
   7151.33  3.7050566E-01
   7151.67  3.7186134E-01
   7152.00  3.7344496E-01
   7152.33  3.7525507E-01
   7152.67  3.7724330E-01
   7153.00  3.7939235E-01
   7153.33  3.8170302E-01
   7153.67  3.8414221E-01
   7154.00  3.8669704E-01
   7154.33  3.8936750E-01
   7154.67  3.9213199E-01
   7155.00  3.9498565E-01
   7155.33  3.9793557E-01
   7155.67  4.0096907E-01
   7156.00  4.0408518E-01
   7156.33  4.0729277E-01
   7156.67  4.1057909E-01
   7157.00  4.1394115E-01
   7157.33  4.1738426E-01
   7157.67  4.2089544E-01
   7158.00  4.2447096E-01
   7158.33  4.2811414E-01
   7158.67  4.3181310E-01
   7159.00  4.3556371E-01
   7159.33  4.3936566E-01
   7159.67  4.4320477E-01
   7160.00  4.4707206E-01
   7160.33  4.5095866E-01
   7160.67  4.5485170E-01
   7161.00  4.5874300E-01
   7161.33  4.6262423E-01
   7161.67  4.6648885E-01
   7162.00  4.7032497E-01
   7162.33  4.7411594E-01
   7162.67  4.7786347E-01
   7163.00  4.8156787E-01
   7163.33  4.8522655E-01
