    FDMNES
    energy     <xanes>
   7097.00  4.3832305E-03
   7097.33  4.4750879E-03
   7097.67  4.5707768E-03
   7098.00  4.6705514E-03
   7098.33  4.7752919E-03
   7098.67  4.8848137E-03
   7099.00  4.9994669E-03
   7099.33  5.1204063E-03
   7099.67  5.2474491E-03
   7100.00  5.3810925E-03
   7100.33  5.5228987E-03
   7100.67  5.6727111E-03
   7101.00  5.8312616E-03
   7101.33  6.0007432E-03
   7101.67  6.1810781E-03
   7102.00  6.3733927E-03
   7102.33  6.5809049E-03
   7102.67  6.8037361E-03
   7103.00  7.0437123E-03
   7103.33  7.3058206E-03
   7103.67  7.5906626E-03
   7104.00  7.9013945E-03
   7104.33  8.2462913E-03
   7104.67  8.6271335E-03
   7105.00  9.0498369E-03
   7105.33  9.5293784E-03
   7105.67  1.0070629E-02
   7106.00  1.0685900E-02
   7106.33  1.1405591E-02
   7106.67  1.2243605E-02
   7107.00  1.3229472E-02
   7107.33  1.4435462E-02
   7107.67  1.5906751E-02
   7108.00  1.7730128E-02
   7108.33  2.0122293E-02
   7108.67  2.3269310E-02
   7109.00  2.7519694E-02
   7109.33  3.3810286E-02
   7109.67  4.3283991E-02
   7110.00  5.8202590E-02
   7110.33  8.5169323E-02
   7110.67  1.3100110E-01
   7111.00  1.9390845E-01
   7111.33  2.3358760E-01
   7111.67  2.2620639E-01
   7112.00  2.0375105E-01
   7112.33  1.9783479E-01
   7112.67  1.8847863E-01
   7113.00  1.5993264E-01
   7113.33  1.2983509E-01
   7113.67  1.1020177E-01
   7114.00  9.9602006E-02
   7114.33  9.0434637E-02
   7114.67  7.7920602E-02
   7115.00  6.4329477E-02
   7115.33  5.3758533E-02
   7115.67  4.6953205E-02
   7116.00  4.3031813E-02
   7116.33  4.1202666E-02
   7116.67  4.0625642E-02
   7117.00  4.1002969E-02
   7117.33  4.2209471E-02
   7117.67  4.4033550E-02
   7118.00  4.6466508E-02
   7118.33  4.9706139E-02
   7118.67  5.3846782E-02
   7119.00  5.9044003E-02
   7119.33  6.5538661E-02
   7119.67  7.3087923E-02
   7120.00  8.1369967E-02
   7120.33  8.9739402E-02
   7120.67  9.7446640E-02
   7121.00  1.0410424E-01
   7121.33  1.0974255E-01
   7121.67  1.1520995E-01
   7122.00  1.2133351E-01
   7122.33  1.2913463E-01
   7122.67  1.3897175E-01
   7123.00  1.5117660E-01
   7123.33  1.6655941E-01
   7123.67  1.8543365E-01
   7124.00  2.0853891E-01
   7124.33  2.3746518E-01
   7124.67  2.7242898E-01
   7125.00  3.1391756E-01
   7125.33  3.6196334E-01
   7125.67  4.1141090E-01
   7126.00  4.5465215E-01
   7126.33  4.8257290E-01
   7126.67  4.9764658E-01
   7127.00  5.0505382E-01
   7127.33  5.1165695E-01
   7127.67  5.2373717E-01
   7128.00  5.4461988E-01
   7128.33  5.7663903E-01
   7128.67  6.1799316E-01
   7129.00  6.6755976E-01
   7129.33  7.2370696E-01
   7129.67  7.8206498E-01
   7130.00  8.3910572E-01
   7130.33  8.9075445E-01
   7130.67  9.3543465E-01
   7131.00  9.7218292E-01
   7131.33  9.9922162E-01
   7131.67  1.0169759E+00
   7132.00  1.0250709E+00
   7132.33  1.0225723E+00
   7132.67  1.0116736E+00
   7133.00  9.9355320E-01
   7133.33  9.6913399E-01
   7133.67  9.4137122E-01
   7134.00  9.1265595E-01
   7134.33  8.8517302E-01
   7134.67  8.5881212E-01
   7135.00  8.3248922E-01
   7135.33  8.0522533E-01
   7135.67  7.7736674E-01
   7136.00  7.4970172E-01
   7136.33  7.2338988E-01
   7136.67  6.9907085E-01
   7137.00  6.7718416E-01
   7137.33  6.5834472E-01
   7137.67  6.4230855E-01
   7138.00  6.2905608E-01
   7138.33  6.1880396E-01
   7138.67  6.1102215E-01
   7139.00  6.0549302E-01
   7139.33  6.0214693E-01
   7139.67  6.0036386E-01
   7140.00  5.9977605E-01
   7140.33  6.0002282E-01
   7140.67  6.0057508E-01
   7141.00  6.0111134E-01
   7141.33  6.0132152E-01
   7141.67  6.0109682E-01
   7142.00  6.0041339E-01
   7142.33  5.9928786E-01
   7142.67  5.9789870E-01
   7143.00  5.9637711E-01
   7143.33  5.9487373E-01
   7143.67  5.9352388E-01
   7144.00  5.9243163E-01
   7144.33  5.9171040E-01
   7144.67  5.9134506E-01
   7145.00  5.9134278E-01
   7145.33  5.9174157E-01
   7145.67  5.9245576E-01
   7146.00  5.9341227E-01
   7146.33  5.9448796E-01
   7146.67  5.9547314E-01
   7147.00  5.9615043E-01
   7147.33  5.9613533E-01
   7147.67  5.9515168E-01
   7148.00  5.9289727E-01
   7148.33  5.8887842E-01
   7148.67  5.8309685E-01
   7149.00  5.7550182E-01
   7149.33  5.6597435E-01
   7149.67  5.5498051E-01
   7150.00  5.4282929E-01
   7150.33  5.2984155E-01
   7150.67  5.1652410E-01
   7151.00  5.0319489E-01
   7151.33  4.9018948E-01
   7151.67  4.7768653E-01
   7152.00  4.6580888E-01
   7152.33  4.5472847E-01
   7152.67  4.4438356E-01
   7153.00  4.3476168E-01
   7153.33  4.2590408E-01
   7153.67  4.1766289E-01
   7154.00  4.0997679E-01
   7154.33  4.0282685E-01
   7154.67  3.9606901E-01
   7155.00  3.8963089E-01
   7155.33  3.8346055E-01
   7155.67  3.7745157E-01
   7156.00  3.7154418E-01
   7156.33  3.6568282E-01
   7156.67  3.5981433E-01
   7157.00  3.5390967E-01
   7157.33  3.4794392E-01
   7157.67  3.4192539E-01
   7158.00  3.3587327E-01
   7158.33  3.2983275E-01
   7158.67  3.2387005E-01
   7159.00  3.1806111E-01
   7159.33  3.1254487E-01
   7159.67  3.0741141E-01
   7160.00  3.0277495E-01
   7160.33  2.9884988E-01
   7160.67  2.9568482E-01
   7161.00  2.9337749E-01
   7161.33  2.9213847E-01
   7161.67  2.9190441E-01
   7162.00  2.9269462E-01
   7162.33  2.9463680E-01
   7162.67  2.9757127E-01
   7163.00  3.0143862E-01
   7163.33  3.0624003E-01
   7163.67  3.1174596E-01
   7164.00  3.1783195E-01
   7164.33  3.2440786E-01
   7164.67  3.3128163E-01
   7165.00  3.3834154E-01
   7165.33  3.4547917E-01
   7165.67  3.5258477E-01
   7166.00  3.5958073E-01
   7166.33  3.6637215E-01
   7166.67  3.7293769E-01
   7167.00  3.7925440E-01
   7167.33  3.8527418E-01
   7167.67  3.9102596E-01
   7168.00  3.9651338E-01
   7168.33  4.0171482E-01
   7168.67  4.0667595E-01
   7169.00  4.1140968E-01
   7169.33  4.1590444E-01
   7169.67  4.2020020E-01
   7170.00  4.2430556E-01
   7170.33  4.2820147E-01
   7170.67  4.3190466E-01
   7171.00  4.3539518E-01
   7171.33  4.3858667E-01
   7171.67  4.4140206E-01
   7172.00  4.4369273E-01
