    FDMNES
    energy     <xanes>
   7097.00  4.8538152E-03
   7097.33  4.9614947E-03
   7097.67  5.0737328E-03
   7098.00  5.1908160E-03
   7098.33  5.3137617E-03
   7098.67  5.4423229E-03
   7099.00  5.5768811E-03
   7099.33  5.7187378E-03
   7099.67  5.8676286E-03
   7100.00  6.0240726E-03
   7100.33  6.1897717E-03
   7100.67  6.3644546E-03
   7101.00  6.5488466E-03
   7101.33  6.7452304E-03
   7101.67  6.9533529E-03
   7102.00  7.1742593E-03
   7102.33  7.4111054E-03
   7102.67  7.6637129E-03
   7103.00  7.9336439E-03
   7103.33  8.2254236E-03
   7103.67  8.5390749E-03
   7104.00  8.8770386E-03
   7104.33  9.2461022E-03
   7104.67  9.6467799E-03
   7105.00  1.0083102E-02
   7105.33  1.0565847E-02
   7105.67  1.1096723E-02
   7106.00  1.1682876E-02
   7106.33  1.2342755E-02
   7106.67  1.3081120E-02
   7107.00  1.3911928E-02
   7107.33  1.4870181E-02
   7107.67  1.5969335E-02
   7108.00  1.7240692E-02
   7108.33  1.8761640E-02
   7108.67  2.0575413E-02
   7109.00  2.2769315E-02
   7109.33  2.5563521E-02
   7109.67  2.9141739E-02
   7110.00  3.3859640E-02
   7110.33  4.0689521E-02
   7110.67  5.0731658E-02
   7111.00  6.5588541E-02
   7111.33  8.7756802E-02
   7111.67  1.1602312E-01
   7112.00  1.4662782E-01
   7112.33  1.7873087E-01
   7112.67  2.1414044E-01
   7113.00  2.5711488E-01
   7113.33  3.0587246E-01
   7113.67  3.4048578E-01
   7114.00  3.5747227E-01
   7114.33  3.7875757E-01
   7114.67  4.0915703E-01
   7115.00  4.3352101E-01
   7115.33  4.3729355E-01
   7115.67  4.1741383E-01
   7116.00  3.7712326E-01
   7116.33  3.3370216E-01
   7116.67  3.0059869E-01
   7117.00  2.8009466E-01
   7117.33  2.7042013E-01
   7117.67  2.6361625E-01
   7118.00  2.5233386E-01
   7118.33  2.3076666E-01
   7118.67  2.0366881E-01
   7119.00  1.7717498E-01
   7119.33  1.5634253E-01
   7119.67  1.4127338E-01
   7120.00  1.3109606E-01
   7120.33  1.2479476E-01
   7120.67  1.2067547E-01
   7121.00  1.1800972E-01
   7121.33  1.1643214E-01
   7121.67  1.1563609E-01
   7122.00  1.1576905E-01
   7122.33  1.1755803E-01
   7122.67  1.2138546E-01
   7123.00  1.2729930E-01
   7123.33  1.3463067E-01
   7123.67  1.4182228E-01
