    FDMNES
    energy     <xanes>
   7097.00  5.0195043E-03
   7097.33  5.1372428E-03
   7097.67  5.2602702E-03
   7098.00  5.3889436E-03
   7098.33  5.5244858E-03
   7098.67  5.6666462E-03
   7099.00  5.8159124E-03
   7099.33  5.9738850E-03
   7099.67  6.1403096E-03
   7100.00  6.3158709E-03
   7100.33  6.5027216E-03
   7100.67  6.7006307E-03
   7101.00  6.9105917E-03
   7101.33  7.1355956E-03
   7101.67  7.3754947E-03
   7102.00  7.6317886E-03
   7102.33  7.9088003E-03
   7102.67  8.2066003E-03
   7103.00  8.5275621E-03
   7103.33  8.8782449E-03
   7103.67  9.2592491E-03
   7104.00  9.6745594E-03
   7104.33  1.0134756E-02
   7104.67  1.0641729E-02
   7105.00  1.1202690E-02
   7105.33  1.1836107E-02
   7105.67  1.2547191E-02
   7106.00  1.3350333E-02
   7106.33  1.4281380E-02
   7106.67  1.5354982E-02
   7107.00  1.6604014E-02
   7107.33  1.8109240E-02
   7107.67  1.9916906E-02
   7108.00  2.2118453E-02
   7108.33  2.4941614E-02
   7108.67  2.8569787E-02
   7109.00  3.3349679E-02
   7109.33  4.0205969E-02
   7109.67  5.0223637E-02
   7110.00  6.5544711E-02
   7110.33  9.2323596E-02
   7110.67  1.3623171E-01
   7111.00  1.9345785E-01
   7111.33  2.3303143E-01
   7111.67  2.5364262E-01
   7112.00  2.7360507E-01
   7112.33  2.9874640E-01
   7112.67  3.1740872E-01
   7113.00  3.1988591E-01
   7113.33  3.1005532E-01
   7113.67  2.8781165E-01
   7114.00  2.5659215E-01
   7114.33  2.2582295E-01
   7114.67  1.9071961E-01
   7115.00  1.5705541E-01
   7115.33  1.4024470E-01
   7115.67  1.4070373E-01
   7116.00  1.5423266E-01
   7116.33  1.6487900E-01
   7116.67  1.5754665E-01
   7117.00  1.4117365E-01
   7117.33  1.3256402E-01
   7117.67  1.3567006E-01
   7118.00  1.5075662E-01
   7118.33  1.7670100E-01
   7118.67  2.0275529E-01
   7119.00  2.1599556E-01
   7119.33  2.0847099E-01
   7119.67  1.9422218E-01
   7120.00  1.8465645E-01
   7120.33  1.8594210E-01
   7120.67  1.9538927E-01
   7121.00  2.0955477E-01
   7121.33  2.2458724E-01
   7121.67  2.3876369E-01
   7122.00  2.5304882E-01
