    FDMNES
    energy     <xanes>
   7097.00  5.1254455E-03
   7097.33  5.2432448E-03
   7097.67  5.3661861E-03
   7098.00  5.4946018E-03
   7098.33  5.6296549E-03
   7098.67  5.7710797E-03
   7099.00  5.9193222E-03
   7099.33  6.0758824E-03
   7099.67  6.2404796E-03
   7100.00  6.4137275E-03
   7100.33  6.5976062E-03
   7100.67  6.7918364E-03
   7101.00  6.9972866E-03
   7101.33  7.2166446E-03
   7101.67  7.4496703E-03
   7102.00  7.6976348E-03
   7102.33  7.9643108E-03
   7102.67  8.2495820E-03
   7103.00  8.5553868E-03
   7103.33  8.8872427E-03
   7103.67  9.2453488E-03
   7104.00  9.6328148E-03
   7104.33  1.0058137E-02
   7104.67  1.0522286E-02
   7105.00  1.1030580E-02
   7105.33  1.1597011E-02
   7105.67  1.2224473E-02
   7106.00  1.2922883E-02
   7106.33  1.3717451E-02
   7106.67  1.4616301E-02
   7107.00  1.5640242E-02
   7107.33  1.6840975E-02
   7107.67  1.8243010E-02
   7108.00  1.9898508E-02
   7108.33  2.1937083E-02
   7108.67  2.4448840E-02
   7109.00  2.7608783E-02
   7109.33  3.1875652E-02
   7109.67  3.7736140E-02
   7110.00  4.6147493E-02
   7110.33  5.9783126E-02
   7110.67  8.0754869E-02
   7111.00  1.0712905E-01
   7111.33  1.3245855E-01
   7111.67  1.6118088E-01
   7112.00  1.9589024E-01
   7112.33  2.4024782E-01
   7112.67  2.8350714E-01
   7113.00  3.0560280E-01
   7113.33  3.0939634E-01
   7113.67  3.2531404E-01
   7114.00  3.5717529E-01
   7114.33  3.8476810E-01
   7114.67  3.8640833E-01
   7115.00  3.6820373E-01
   7115.33  3.4552661E-01
   7115.67  3.2432407E-01
   7116.00  3.0890215E-01
   7116.33  3.0563145E-01
   7116.67  3.1193412E-01
   7117.00  3.1977325E-01
   7117.33  3.1594164E-01
   7117.67  3.0020579E-01
   7118.00  2.8249302E-01
   7118.33  2.7334976E-01
   7118.67  2.6878340E-01
   7119.00  2.6006216E-01
   7119.33  2.4130426E-01
   7119.67  2.1878772E-01
   7120.00  1.9782666E-01
   7120.33  1.8119652E-01
   7120.67  1.6854741E-01
   7121.00  1.5947711E-01
   7121.33  1.5317047E-01
   7121.67  1.4856885E-01
   7122.00  1.4596687E-01
   7122.33  1.4650196E-01
   7122.67  1.5034991E-01
   7123.00  1.5761042E-01
   7123.33  1.6870527E-01
   7123.67  1.8337076E-01
   7124.00  2.0195717E-01
   7124.33  2.2552216E-01
   7124.67  2.5369987E-01
   7125.00  2.8592012E-01
   7125.33  3.2042779E-01
   7125.67  3.5360788E-01
   7126.00  3.8234824E-01
   7126.33  4.0367261E-01
   7126.67  4.1887377E-01
   7127.00  4.2989028E-01
   7127.33  4.3887119E-01
   7127.67  4.4753993E-01
   7128.00  4.5663016E-01
   7128.33  4.6688179E-01
   7128.67  4.7847821E-01
   7129.00  4.9150697E-01
   7129.33  5.0649448E-01
   7129.67  5.2400172E-01
   7130.00  5.4490145E-01
   7130.33  5.7024045E-01
   7130.67  5.9897115E-01
   7131.00  6.2976449E-01
   7131.33  6.6064911E-01
   7131.67  6.8994404E-01
   7132.00  7.1698982E-01
   7132.33  7.4188116E-01
   7132.67  7.6599208E-01
   7133.00  7.9031947E-01
   7133.33  8.1531913E-01
   7133.67  8.3990910E-01
   7134.00  8.6201971E-01
   7134.33  8.7743414E-01
   7134.67  8.8322499E-01
   7135.00  8.7725307E-01
   7135.33  8.5794481E-01
   7135.67  8.2925509E-01
   7136.00  7.9438769E-01
   7136.33  7.5662574E-01
   7136.67  7.1896727E-01
   7137.00  6.8284736E-01
   7137.33  6.4950030E-01
   7137.67  6.1914422E-01
   7138.00  5.9212534E-01
   7138.33  5.6924816E-01
   7138.67  5.5026284E-01
   7139.00  5.3516176E-01
   7139.33  5.2414976E-01
   7139.67  5.1635619E-01
   7140.00  5.1139078E-01
   7140.33  5.0913588E-01
   7140.67  5.0892154E-01
   7141.00  5.1044919E-01
   7141.33  5.1352313E-01
   7141.67  5.1754899E-01
   7142.00  5.2210739E-01
   7142.33  5.2665564E-01
   7142.67  5.3064708E-01
   7143.00  5.3366354E-01
   7143.33  5.3517031E-01
   7143.67  5.3515384E-01
   7144.00  5.3363250E-01
   7144.33  5.3064348E-01
   7144.67  5.2667885E-01
   7145.00  5.2206527E-01
   7145.33  5.1714142E-01
   7145.67  5.1226752E-01
   7146.00  5.0767053E-01
   7146.33  5.0361186E-01
   7146.67  5.0017335E-01
   7147.00  4.9743752E-01
   7147.33  4.9556125E-01
   7147.67  4.9448268E-01
   7148.00  4.9421442E-01
   7148.33  4.9485797E-01
   7148.67  4.9629923E-01
   7149.00  4.9851837E-01
   7149.33  5.0157667E-01
   7149.67  5.0534092E-01
   7150.00  5.0977070E-01
   7150.33  5.1488419E-01
   7150.67  5.2053020E-01
   7151.00  5.2663829E-01
   7151.33  5.3317301E-01
   7151.67  5.3999727E-01
   7152.00  5.4702935E-01
   7152.33  5.5418742E-01
   7152.67  5.6136493E-01
   7153.00  5.6848692E-01
   7153.33  5.7545503E-01
   7153.67  5.8221054E-01
   7154.00  5.8869242E-01
   7154.33  5.9479169E-01
   7154.67  6.0048698E-01
   7155.00  6.0572853E-01
   7155.33  6.1040601E-01
   7155.67  6.1454405E-01
   7156.00  6.1811711E-01
   7156.33  6.2103072E-01
   7156.67  6.2334556E-01
   7157.00  6.2505646E-01
   7157.33  6.2608598E-01
   7157.67  6.2650989E-01
   7158.00  6.2632899E-01
   7158.33  6.2547046E-01
   7158.67  6.2401414E-01
   7159.00  6.2196640E-01
   7159.33  6.1926692E-01
   7159.67  6.1600726E-01
   7160.00  6.1221144E-01
   7160.33  6.0785756E-01
   7160.67  6.0306143E-01
   7161.00  5.9787858E-01
   7161.33  5.9234484E-01
   7161.67  5.8658231E-01
   7162.00  5.8066585E-01
   7162.33  5.7467462E-01
   7162.67  5.6870005E-01
   7163.00  5.6280564E-01
   7163.33  5.5707145E-01
   7163.67  5.5153294E-01
   7164.00  5.4623226E-01
   7164.33  5.4123318E-01
   7164.67  5.3650888E-01
   7165.00  5.3205440E-01
   7165.33  5.2788570E-01
   7165.67  5.2394749E-01
   7166.00  5.2021553E-01
   7166.33  5.1667842E-01
   7166.67  5.1327707E-01
   7167.00  5.0997851E-01
   7167.33  5.0675378E-01
   7167.67  5.0355944E-01
   7168.00  5.0036676E-01
   7168.33  4.9714151E-01
   7168.67  4.9386207E-01
   7169.00  4.9051204E-01
   7169.33  4.8706552E-01
   7169.67  4.8352352E-01
   7170.00  4.7988870E-01
   7170.33  4.7617096E-01
   7170.67  4.7241942E-01
   7171.00  4.6869162E-01
   7171.33  4.6511519E-01
   7171.67  4.6186420E-01
   7172.00  4.5917804E-01
