    FDMNES
    energy     <xanes>
   7097.00  4.5388743E-03
   7097.33  4.6374672E-03
   7097.67  4.7403488E-03
   7098.00  4.8478032E-03
   7098.33  4.9608129E-03
   7098.67  5.0791665E-03
   7099.00  5.2032489E-03
   7099.33  5.3343370E-03
   7099.67  5.4722114E-03
   7100.00  5.6174068E-03
   7100.33  5.7716244E-03
   7100.67  5.9346532E-03
   7101.00  6.1072581E-03
   7101.33  6.2917723E-03
   7101.67  6.4880307E-03
   7102.00  6.6971654E-03
   7102.33  6.9224896E-03
   7102.67  7.1639662E-03
   7103.00  7.4233421E-03
   7103.33  7.7055242E-03
   7103.67  8.0107886E-03
   7104.00  8.3419707E-03
   7104.33  8.7067278E-03
   7104.67  9.1060840E-03
   7105.00  9.5449449E-03
   7105.33  1.0036083E-02
   7105.67  1.0582371E-02
   7106.00  1.1193031E-02
   7106.33  1.1891337E-02
   7106.67  1.2685100E-02
   7107.00  1.3593737E-02
   7107.33  1.4665220E-02
   7107.67  1.5922465E-02
   7108.00  1.7413656E-02
   7108.33  1.9257666E-02
   7108.67  2.1534915E-02
   7109.00  2.4400156E-02
   7109.33  2.8251476E-02
   7109.67  3.3483418E-02
   7110.00  4.0860310E-02
   7110.33  5.2552897E-02
   7110.67  7.1227996E-02
   7111.00  1.0003765E-01
   7111.33  1.3906398E-01
   7111.67  1.7949071E-01
   7112.00  2.0862534E-01
   7112.33  2.2151891E-01
   7112.67  2.3549764E-01
   7113.00  2.5384245E-01
   7113.33  2.8099941E-01
   7113.67  3.1710568E-01
   7114.00  3.6598210E-01
   7114.33  4.1371720E-01
   7114.67  4.2100026E-01
   7115.00  3.8476924E-01
   7115.33  3.1773816E-01
   7115.67  2.5011822E-01
   7116.00  1.9790541E-01
   7116.33  1.6418383E-01
   7116.67  1.4107163E-01
   7117.00  1.2389088E-01
   7117.33  1.1041630E-01
   7117.67  1.0052361E-01
   7118.00  9.4594004E-02
   7118.33  9.1962243E-02
   7118.67  9.0447700E-02
   7119.00  8.9251662E-02
   7119.33  8.9062859E-02
   7119.67  9.0591649E-02
   7120.00  9.3826308E-02
   7120.33  9.8564876E-02
   7120.67  1.0442866E-01
   7121.00  1.1124011E-01
   7121.33  1.1842518E-01
   7121.67  1.2455678E-01
   7122.00  1.2853420E-01
   7122.33  1.3009364E-01
   7122.67  1.3047634E-01
   7123.00  1.3065916E-01
   7123.33  1.3157886E-01
   7123.67  1.3367751E-01
   7124.00  1.3736166E-01
   7124.33  1.4334690E-01
   7124.67  1.5155572E-01
   7125.00  1.6182212E-01
   7125.33  1.7401037E-01
   7125.67  1.8763439E-01
   7126.00  2.0249176E-01
   7126.33  2.1818922E-01
   7126.67  2.3369319E-01
   7127.00  2.4805822E-01
   7127.33  2.6031803E-01
   7127.67  2.7055139E-01
   7128.00  2.7886294E-01
   7128.33  2.8518711E-01
   7128.67  2.9008437E-01
   7129.00  2.9417555E-01
   7129.33  2.9854333E-01
   7129.67  3.0426033E-01
   7130.00  3.1213197E-01
   7130.33  3.2323406E-01
   7130.67  3.3769142E-01
   7131.00  3.5574093E-01
   7131.33  3.7791817E-01
   7131.67  4.0362613E-01
   7132.00  4.3250605E-01
   7132.33  4.6400315E-01
   7132.67  4.9649379E-01
   7133.00  5.2864312E-01
   7133.33  5.5892489E-01
   7133.67  5.8686377E-01
   7134.00  6.1241414E-01
   7134.33  6.3558838E-01
   7134.67  6.5688981E-01
   7135.00  6.7631350E-01
   7135.33  6.9334451E-01
   7135.67  7.0783403E-01
   7136.00  7.1932748E-01
   7136.33  7.2666562E-01
   7136.67  7.2952497E-01
   7137.00  7.2754940E-01
   7137.33  7.2082945E-01
   7137.67  7.1176675E-01
   7138.00  7.0240612E-01
   7138.33  6.9483301E-01
   7138.67  6.8967774E-01
   7139.00  6.8687916E-01
   7139.33  6.8606273E-01
   7139.67  6.8620525E-01
   7140.00  6.8664548E-01
   7140.33  6.8676303E-01
   7140.67  6.8631665E-01
   7141.00  6.8534683E-01
   7141.33  6.8414629E-01
   7141.67  6.8322226E-01
   7142.00  6.8299925E-01
   7142.33  6.8396382E-01
   7142.67  6.8609281E-01
   7143.00  6.8933229E-01
   7143.33  6.9363535E-01
   7143.67  6.9864365E-01
   7144.00  7.0412390E-01
   7144.33  7.0984125E-01
   7144.67  7.1555280E-01
   7145.00  7.2112196E-01
   7145.33  7.2641595E-01
   7145.67  7.3140971E-01
   7146.00  7.3607635E-01
   7146.33  7.4034620E-01
   7146.67  7.4423014E-01
   7147.00  7.4768829E-01
   7147.33  7.5060036E-01
   7147.67  7.5295627E-01
   7148.00  7.5468938E-01
   7148.33  7.5563123E-01
   7148.67  7.5578930E-01
   7149.00  7.5509760E-01
   7149.33  7.5337044E-01
   7149.67  7.5065900E-01
   7150.00  7.4692362E-01
   7150.33  7.4201701E-01
   7150.67  7.3608698E-01
   7151.00  7.2917957E-01
   7151.33  7.2127411E-01
   7151.67  7.1260790E-01
   7152.00  7.0331271E-01
   7152.33  6.9350115E-01
   7152.67  6.8340567E-01
   7153.00  6.7317007E-01
   7153.33  6.6294325E-01
   7153.67  6.5284266E-01
   7154.00  6.4294297E-01
   7154.33  6.3333042E-01
   7154.67  6.2399569E-01
   7155.00  6.1493785E-01
   7155.33  6.0617090E-01
   7155.67  5.9763403E-01
   7156.00  5.8930150E-01
   7156.33  5.8117224E-01
   7156.67  5.7321297E-01
   7157.00  5.6542407E-01
   7157.33  5.5783633E-01
   7157.67  5.5044497E-01
   7158.00  5.4327407E-01
   7158.33  5.3639336E-01
   7158.67  5.2981440E-01
   7159.00  5.2357557E-01
   7159.33  5.1776527E-01
   7159.67  5.1236979E-01
   7160.00  5.0741113E-01
   7160.33  5.0296239E-01
   7160.67  4.9897573E-01
   7161.00  4.9545245E-01
   7161.33  4.9244100E-01
   7161.67  4.8986559E-01
   7162.00  4.8770458E-01
   7162.33  4.8597645E-01
   7162.67  4.8459988E-01
   7163.00  4.8354450E-01
   7163.33  4.8280844E-01
   7163.67  4.8231974E-01
   7164.00  4.8205078E-01
   7164.33  4.8198966E-01
   7164.67  4.8207024E-01
   7165.00  4.8226354E-01
   7165.33  4.8256087E-01
   7165.67  4.8293614E-01
   7166.00  4.8337924E-01
   7166.33  4.8388769E-01
   7166.67  4.8444635E-01
   7167.00  4.8504866E-01
   7167.33  4.8569009E-01
   7167.67  4.8635529E-01
   7168.00  4.8703257E-01
   7168.33  4.8770824E-01
   7168.67  4.8837510E-01
   7169.00  4.8902491E-01
   7169.33  4.8963775E-01
   7169.67  4.9020423E-01
   7170.00  4.9071462E-01
   7170.33  4.9115014E-01
   7170.67  4.9151232E-01
   7171.00  4.9179911E-01
   7171.33  4.9200383E-01
   7171.67  4.9214397E-01
   7172.00  4.9223212E-01
