    FDMNES
    energy     <xanes>
   7097.00  5.0541387E-03
   7097.33  5.1701007E-03
   7097.67  5.2913038E-03
   7098.00  5.4181049E-03
   7098.33  5.5517207E-03
   7098.67  5.6919064E-03
   7099.00  5.8391493E-03
   7099.33  5.9950433E-03
   7099.67  6.1593395E-03
   7100.00  6.3327212E-03
   7100.33  6.5173326E-03
   7100.67  6.7129460E-03
   7101.00  6.9205505E-03
   7101.33  7.1431222E-03
   7101.67  7.3805113E-03
   7102.00  7.6342050E-03
   7102.33  7.9084922E-03
   7102.67  8.2034283E-03
   7103.00  8.5213520E-03
   7103.33  8.8687382E-03
   7103.67  9.2461365E-03
   7104.00  9.6574379E-03
   7104.33  1.0113001E-02
   7104.67  1.0614568E-02
   7105.00  1.1169089E-02
   7105.33  1.1794424E-02
   7105.67  1.2495339E-02
   7106.00  1.3285462E-02
   7106.33  1.4198822E-02
   7106.67  1.5248622E-02
   7107.00  1.6465226E-02
   7107.33  1.7923278E-02
   7107.67  1.9663430E-02
   7108.00  2.1767249E-02
   7108.33  2.4437105E-02
   7108.67  2.7828206E-02
   7109.00  3.2234814E-02
   7109.33  3.8432976E-02
   7109.67  4.7292675E-02
   7110.00  6.0521224E-02
   7110.33  8.3010611E-02
   7110.67  1.1971131E-01
   7111.00  1.7056316E-01
   7111.33  2.1763867E-01
   7111.67  2.5245233E-01
   7112.00  2.8355736E-01
   7112.33  3.1403947E-01
   7112.67  3.3344982E-01
   7113.00  3.4110240E-01
   7113.33  3.3889767E-01
   7113.67  3.2188474E-01
   7114.00  2.9283630E-01
   7114.33  2.6331803E-01
   7114.67  2.4017521E-01
   7115.00  2.2378561E-01
   7115.33  2.1283599E-01
   7115.67  2.0535765E-01
   7116.00  2.0102325E-01
   7116.33  1.9931721E-01
   7116.67  1.9773255E-01
   7117.00  1.9422683E-01
   7117.33  1.8836818E-01
   7117.67  1.8236101E-01
   7118.00  1.7767703E-01
   7118.33  1.7499491E-01
   7118.67  1.7374301E-01
   7119.00  1.7361256E-01
   7119.33  1.7486918E-01
   7119.67  1.7800272E-01
   7120.00  1.8367651E-01
   7120.33  1.9270233E-01
   7120.67  2.0451021E-01
   7121.00  2.1830240E-01
