    FDMNES
    energy     <xanes>
   7097.00  5.1654914E-03
   7097.33  5.2870375E-03
   7097.67  5.4140816E-03
   7098.00  5.5469953E-03
   7098.33  5.6870504E-03
   7098.67  5.8339863E-03
   7099.00  5.9883092E-03
   7099.33  6.1516817E-03
   7099.67  6.3238369E-03
   7100.00  6.5054833E-03
   7100.33  6.6988512E-03
   7100.67  6.9036932E-03
   7101.00  7.1210315E-03
   7101.33  7.3539525E-03
   7101.67  7.6022848E-03
   7102.00  7.8675594E-03
   7102.33  8.1542086E-03
   7102.67  8.4622636E-03
   7103.00  8.7941221E-03
   7103.33  9.1564460E-03
   7103.67  9.5497565E-03
   7104.00  9.9780219E-03
   7104.33  1.0451841E-02
   7104.67  1.0972916E-02
   7105.00  1.1548287E-02
   7105.33  1.2196094E-02
   7105.67  1.2921015E-02
   7106.00  1.3736721E-02
   7106.33  1.4677433E-02
   7106.67  1.5756016E-02
   7107.00  1.7002524E-02
   7107.33  1.8490858E-02
   7107.67  2.0260016E-02
   7108.00  2.2388948E-02
   7108.33  2.5072929E-02
   7108.67  2.8456438E-02
   7109.00  3.2813642E-02
   7109.33  3.8860233E-02
   7109.67  4.7365573E-02
   7110.00  5.9825797E-02
   7110.33  8.0458398E-02
   7110.67  1.1345763E-01
   7111.00  1.6044603E-01
   7111.33  2.2318436E-01
   7111.67  2.9085172E-01
   7112.00  3.2099654E-01
   7112.33  3.2598211E-01
   7112.67  3.4825453E-01
   7113.00  3.6784018E-01
   7113.33  3.5675617E-01
   7113.67  3.0850306E-01
   7114.00  2.4260610E-01
   7114.33  2.0113637E-01
   7114.67  1.9091891E-01
   7115.00  2.0924385E-01
   7115.33  2.5396619E-01
   7115.67  3.0567298E-01
   7116.00  3.4095294E-01
   7116.33  3.4028191E-01
   7116.67  3.0755475E-01
   7117.00  2.5905654E-01
   7117.33  2.1770236E-01
   7117.67  1.8917494E-01
   7118.00  1.7155197E-01
   7118.33  1.6118835E-01
   7118.67  1.5413524E-01
   7119.00  1.5003292E-01
   7119.33  1.4934802E-01
   7119.67  1.5120560E-01
   7120.00  1.5499730E-01
   7120.33  1.6006169E-01
   7120.67  1.6559393E-01
   7121.00  1.7113818E-01
   7121.33  1.7586570E-01
   7121.67  1.7934338E-01
   7122.00  1.8197566E-01
   7122.33  1.8510570E-01
   7122.67  1.8991808E-01
   7123.00  1.9711891E-01
   7123.33  2.0756202E-01
   7123.67  2.2112297E-01
   7124.00  2.3778208E-01
   7124.33  2.5734204E-01
   7124.67  2.7848653E-01
   7125.00  3.0048328E-01
   7125.33  3.2341140E-01
   7125.67  3.4774106E-01
   7126.00  3.7352211E-01
   7126.33  3.9972768E-01
   7126.67  4.2453026E-01
   7127.00  4.4660441E-01
   7127.33  4.6510213E-01
   7127.67  4.8158274E-01
   7128.00  4.9800322E-01
   7128.33  5.1703899E-01
   7128.67  5.3997963E-01
   7129.00  5.6720425E-01
   7129.33  5.9861337E-01
   7129.67  6.3247345E-01
   7130.00  6.6732231E-01
   7130.33  7.0110868E-01
   7130.67  7.3212268E-01
   7131.00  7.5914671E-01
   7131.33  7.8076191E-01
   7131.67  7.9743939E-01
   7132.00  8.0961541E-01
   7132.33  8.1771175E-01
   7132.67  8.2303759E-01
   7133.00  8.2612973E-01
   7133.33  8.2719467E-01
   7133.67  8.2677370E-01
   7134.00  8.2503630E-01
   7134.33  8.2180271E-01
   7134.67  8.1692749E-01
   7135.00  8.0991474E-01
   7135.33  7.9970792E-01
   7135.67  7.8608405E-01
   7136.00  7.6885010E-01
   7136.33  7.4784966E-01
   7136.67  7.2426205E-01
   7137.00  6.9901582E-01
   7137.33  6.7324372E-01
   7137.67  6.4810985E-01
   7138.00  6.2438367E-01
   7138.33  6.0295828E-01
   7138.67  5.8395867E-01
   7139.00  5.6753723E-01
   7139.33  5.5398003E-01
   7139.67  5.4277309E-01
   7140.00  5.3372141E-01
   7140.33  5.2685520E-01
   7140.67  5.2172879E-01
   7141.00  5.1816546E-01
   7141.33  5.1611472E-01
   7141.67  5.1517856E-01
   7142.00  5.1516027E-01
   7142.33  5.1593442E-01
   7142.67  5.1722667E-01
   7143.00  5.1889683E-01
   7143.33  5.2081455E-01
   7143.67  5.2277410E-01
   7144.00  5.2458769E-01
   7144.33  5.2593908E-01
   7144.67  5.2659087E-01
   7145.00  5.2632238E-01
   7145.33  5.2485232E-01
   7145.67  5.2235398E-01
   7146.00  5.1903204E-01
   7146.33  5.1523165E-01
   7146.67  5.1148235E-01
   7147.00  5.0817105E-01
   7147.33  5.0574678E-01
   7147.67  5.0432137E-01
   7148.00  5.0396826E-01
   7148.33  5.0481004E-01
   7148.67  5.0663532E-01
   7149.00  5.0934346E-01
   7149.33  5.1289953E-01
   7149.67  5.1709736E-01
   7150.00  5.2186474E-01
   7150.33  5.2721044E-01
   7150.67  5.3303820E-01
   7151.00  5.3932863E-01
   7151.33  5.4610506E-01
   7151.67  5.5325142E-01
   7152.00  5.6067454E-01
   7152.33  5.6823559E-01
   7152.67  5.7572730E-01
   7153.00  5.8296562E-01
   7153.33  5.8967503E-01
   7153.67  5.9571814E-01
   7154.00  6.0095882E-01
   7154.33  6.0517519E-01
   7154.67  6.0843136E-01
   7155.00  6.1072835E-01
   7155.33  6.1199549E-01
   7155.67  6.1242482E-01
   7156.00  6.1210054E-01
   7156.33  6.1105120E-01
   7156.67  6.0947064E-01
   7157.00  6.0745477E-01
   7157.33  6.0506895E-01
   7157.67  6.0245246E-01
   7158.00  5.9968173E-01
   7158.33  5.9682700E-01
   7158.67  5.9396649E-01
   7159.00  5.9115000E-01
   7159.33  5.8843430E-01
   7159.67  5.8583896E-01
   7160.00  5.8337813E-01
   7160.33  5.8107079E-01
   7160.67  5.7888677E-01
   7161.00  5.7680437E-01
   7161.33  5.7479424E-01
   7161.67  5.7279860E-01
   7162.00  5.7076840E-01
   7162.33  5.6863124E-01
   7162.67  5.6633853E-01
   7163.00  5.6384070E-01
   7163.33  5.6105371E-01
   7163.67  5.5796899E-01
   7164.00  5.5456220E-01
   7164.33  5.5077599E-01
   7164.67  5.4665358E-01
   7165.00  5.4220880E-01
   7165.33  5.3743308E-01
   7165.67  5.3240251E-01
   7166.00  5.2715761E-01
   7166.33  5.2172795E-01
   7166.67  5.1618260E-01
   7167.00  5.1056038E-01
   7167.33  5.0489691E-01
   7167.67  4.9923055E-01
   7168.00  4.9358484E-01
   7168.33  4.8798732E-01
   7168.67  4.8245229E-01
   7169.00  4.7699644E-01
   7169.33  4.7165276E-01
   7169.67  4.6643210E-01
   7170.00  4.6135472E-01
   7170.33  4.5646836E-01
   7170.67  4.5179283E-01
   7171.00  4.4737884E-01
   7171.33  4.4335817E-01
   7171.67  4.3983298E-01
   7172.00  4.3698268E-01
