    FDMNES
    energy     <xanes>
   7097.00  5.4108912E-03
   7097.33  5.5478722E-03
   7097.67  5.6914698E-03
   7098.00  5.8421522E-03
   7098.33  6.0014844E-03
   7098.67  6.1691799E-03
   7099.00  6.3458813E-03
   7099.33  6.5336543E-03
   7099.67  6.7322106E-03
   7100.00  6.9424549E-03
   7100.33  7.1671847E-03
   7100.67  7.4061431E-03
   7101.00  7.6606434E-03
   7101.33  7.9345886E-03
   7101.67  8.2278276E-03
   7102.00  8.5423341E-03
   7102.33  8.8837523E-03
   7102.67  9.2521970E-03
   7103.00  9.6507627E-03
   7103.33  1.0087970E-02
   7103.67  1.0564558E-02
   7104.00  1.1085634E-02
   7104.33  1.1664758E-02
   7104.67  1.2304140E-02
   7105.00  1.3012757E-02
   7105.33  1.3813683E-02
   7105.67  1.4712718E-02
   7106.00  1.5726998E-02
   7106.33  1.6899350E-02
   7106.67  1.8245096E-02
   7107.00  1.9800734E-02
   7107.33  2.1655825E-02
   7107.67  2.3854467E-02
   7108.00  2.6487566E-02
   7108.33  2.9778288E-02
   7108.67  3.3878199E-02
   7109.00  3.9076605E-02
   7109.33  4.6113911E-02
   7109.67  5.5714995E-02
   7110.00  6.9273965E-02
   7110.33  9.0637926E-02
   7110.67  1.2358960E-01
   7111.00  1.7013007E-01
   7111.33  2.3190831E-01
   7111.67  3.1901986E-01
   7112.00  4.3710911E-01
   7112.33  5.7551133E-01
   7112.67  6.9437191E-01
   7113.00  7.2513532E-01
   7113.33  6.2410936E-01
   7113.67  4.9070936E-01
   7114.00  3.8150610E-01
   7114.33  3.0874349E-01
   7114.67  2.5961237E-01
   7115.00  2.2788711E-01
   7115.33  2.1059969E-01
   7115.67  2.0309852E-01
   7116.00  2.0201960E-01
   7116.33  2.0119375E-01
   7116.67  1.9591687E-01
   7117.00  1.8644134E-01
   7117.33  1.7543734E-01
   7117.67  1.6526631E-01
   7118.00  1.5639435E-01
   7118.33  1.4873316E-01
   7118.67  1.4205359E-01
   7119.00  1.3645401E-01
   7119.33  1.3224299E-01
   7119.67  1.2925716E-01
   7120.00  1.2723531E-01
   7120.33  1.2582729E-01
   7120.67  1.2483062E-01
   7121.00  1.2437383E-01
   7121.33  1.2463962E-01
   7121.67  1.2566898E-01
   7122.00  1.2766274E-01
   7122.33  1.3096316E-01
   7122.67  1.3550998E-01
   7123.00  1.4129321E-01
   7123.33  1.4837110E-01
   7123.67  1.5652172E-01
   7124.00  1.6581188E-01
   7124.33  1.7675379E-01
   7124.67  1.8968673E-01
   7125.00  2.0508211E-01
   7125.33  2.2368747E-01
   7125.67  2.4506938E-01
   7126.00  2.6852300E-01
   7126.33  2.9269516E-01
   7126.67  3.1625871E-01
   7127.00  3.3905974E-01
   7127.33  3.6226710E-01
   7127.67  3.8746671E-01
