    FDMNES
    energy     <xanes>
   7097.00  5.0606684E-03
   7097.33  5.1871092E-03
   7097.67  5.3195302E-03
   7098.00  5.4583525E-03
   7098.33  5.6049883E-03
   7098.67  5.7591784E-03
   7099.00  5.9215042E-03
   7099.33  6.0938352E-03
   7099.67  6.2759170E-03
   7100.00  6.4685757E-03
   7100.33  6.6743587E-03
   7100.67  6.8930540E-03
   7101.00  7.1258773E-03
   7101.33  7.3764203E-03
   7101.67  7.6445979E-03
   7102.00  7.9322740E-03
   7102.33  8.2447281E-03
   7102.67  8.5821915E-03
   7103.00  8.9476680E-03
   7103.33  9.3493272E-03
   7103.67  9.7881571E-03
   7104.00  1.0269308E-02
   7104.33  1.0806266E-02
   7104.67  1.1401866E-02
   7105.00  1.2065662E-02
   7105.33  1.2821850E-02
   7105.67  1.3678078E-02
   7106.00  1.4653981E-02
   7106.33  1.5798094E-02
   7106.67  1.7132027E-02
   7107.00  1.8702229E-02
   7107.33  2.0622448E-02
   7107.67  2.2962277E-02
   7108.00  2.5856321E-02
   7108.33  2.9640522E-02
   7108.67  3.4599199E-02
   7109.00  4.1266296E-02
   7109.33  5.1075588E-02
   7109.67  6.5764188E-02
   7110.00  8.8767612E-02
   7110.33  1.3002827E-01
   7110.67  1.9900558E-01
   7111.00  2.9036712E-01
   7111.33  3.5226391E-01
   7111.67  3.6518331E-01
   7112.00  3.4802618E-01
   7112.33  3.1895166E-01
   7112.67  2.8704663E-01
   7113.00  2.5960272E-01
   7113.33  2.4438611E-01
   7113.67  2.3726380E-01
   7114.00  2.3060587E-01
   7114.33  2.1711608E-01
   7114.67  1.9791284E-01
   7115.00  1.7683664E-01
   7115.33  1.5875409E-01
   7115.67  1.4550746E-01
   7116.00  1.3719656E-01
   7116.33  1.3370762E-01
   7116.67  1.3380443E-01
   7117.00  1.3698103E-01
   7117.33  1.4297186E-01
   7117.67  1.5091526E-01
   7118.00  1.6032928E-01
   7118.33  1.7022435E-01
   7118.67  1.7916017E-01
   7119.00  1.8656630E-01
   7119.33  1.9318838E-01
