    FDMNES
    energy     <xanes>
   7097.00  4.5323777E-03
   7097.33  4.6358569E-03
   7097.67  4.7441431E-03
   7098.00  4.8575827E-03
   7098.33  4.9773251E-03
   7098.67  5.1031746E-03
   7099.00  5.2356141E-03
   7099.33  5.3761787E-03
   7099.67  5.5246835E-03
   7100.00  5.6818227E-03
   7100.33  5.8497095E-03
   7100.67  6.0282056E-03
   7101.00  6.2183448E-03
   7101.33  6.4231418E-03
   7101.67  6.6425837E-03
   7102.00  6.8782755E-03
   7102.33  7.1347063E-03
   7102.67  7.4121638E-03
   7103.00  7.7132673E-03
   7103.33  8.0450593E-03
   7103.67  8.4085332E-03
   7104.00  8.8082337E-03
   7104.33  9.2559469E-03
   7104.67  9.7543702E-03
   7105.00  1.0312019E-02
   7105.33  1.0950306E-02
   7105.67  1.1676322E-02
   7106.00  1.2507691E-02
   7106.33  1.3487745E-02
   7106.67  1.4636176E-02
   7107.00  1.5994688E-02
   7107.33  1.7664989E-02
   7107.67  1.9709247E-02
   7108.00  2.2246944E-02
   7108.33  2.5574595E-02
   7108.67  2.9938107E-02
   7109.00  3.5796257E-02
   7109.33  4.4366027E-02
   7109.67  5.7069722E-02
   7110.00  7.6692146E-02
   7110.33  1.1128737E-01
   7110.67  1.6964814E-01
   7111.00  2.5475127E-01
   7111.33  3.4544351E-01
   7111.67  4.0615880E-01
   7112.00  4.0503607E-01
   7112.33  3.4027629E-01
   7112.67  2.6302749E-01
   7113.00  1.9901397E-01
   7113.33  1.5527805E-01
   7113.67  1.2452687E-01
   7114.00  1.0265288E-01
   7114.33  8.7833934E-02
   7114.67  7.7717572E-02
   7115.00  7.0897573E-02
   7115.33  6.6600044E-02
   7115.67  6.4002479E-02
   7116.00  6.2747083E-02
   7116.33  6.2645902E-02
   7116.67  6.3351854E-02
   7117.00  6.4733349E-02
   7117.33  6.6633487E-02
   7117.67  6.8665595E-02
   7118.00  7.0610535E-02
   7118.33  7.2405520E-02
   7118.67  7.4118925E-02
   7119.00  7.5909215E-02
   7119.33  7.8159373E-02
   7119.67  8.1150040E-02
   7120.00  8.5109625E-02
   7120.33  9.0426096E-02
   7120.67  9.7209972E-02
   7121.00  1.0573539E-01
   7121.33  1.1664950E-01
   7121.67  1.3011200E-01
   7122.00  1.4650168E-01
   7122.33  1.6668896E-01
   7122.67  1.9067714E-01
   7123.00  2.1871133E-01
   7123.33  2.5119718E-01
   7123.67  2.8688439E-01
   7124.00  3.2438597E-01
   7124.33  3.6088365E-01
   7124.67  3.9283672E-01
   7125.00  4.1744635E-01
   7125.33  4.3230676E-01
   7125.67  4.3935474E-01
   7126.00  4.4020098E-01
   7126.33  4.3604014E-01
   7126.67  4.2857585E-01
   7127.00  4.1854628E-01
   7127.33  4.0682751E-01
   7127.67  3.9487213E-01
   7128.00  3.8364640E-01
   7128.33  3.7414192E-01
   7128.67  3.6666662E-01
   7129.00  3.6148057E-01
   7129.33  3.5898709E-01
   7129.67  3.5875179E-01
   7130.00  3.6054058E-01
   7130.33  3.6437332E-01
   7130.67  3.7002791E-01
   7131.00  3.7767679E-01
   7131.33  3.8797179E-01
   7131.67  4.0114112E-01
   7132.00  4.1772824E-01
   7132.33  4.3876697E-01
   7132.67  4.6377617E-01
   7133.00  4.9191891E-01
   7133.33  5.2100891E-01
   7133.67  5.4773111E-01
   7134.00  5.6966671E-01
   7134.33  5.8499145E-01
   7134.67  5.9537019E-01
   7135.00  6.0240625E-01
   7135.33  6.0760482E-01
   7135.67  6.1220763E-01
   7136.00  6.1658718E-01
   7136.33  6.2084335E-01
   7136.67  6.2506308E-01
   7137.00  6.2941759E-01
   7137.33  6.3432370E-01
   7137.67  6.4015320E-01
   7138.00  6.4722217E-01
   7138.33  6.5589124E-01
