    FDMNES
    energy     <xanes>
   7097.00  4.6210697E-03
   7097.33  4.7295401E-03
   7097.67  4.8431742E-03
   7098.00  4.9623491E-03
   7098.33  5.0883079E-03
   7098.67  5.2208463E-03
   7099.00  5.3604911E-03
   7099.33  5.5089060E-03
   7099.67  5.6658993E-03
   7100.00  5.8322284E-03
   7100.33  6.0101879E-03
   7100.67  6.1996371E-03
   7101.00  6.4017038E-03
   7101.33  6.6196653E-03
   7101.67  6.8535170E-03
   7102.00  7.1050080E-03
   7102.33  7.3790204E-03
   7102.67  7.6758732E-03
   7103.00  7.9984161E-03
   7103.33  8.3543023E-03
   7103.67  8.7446082E-03
   7104.00  9.1742636E-03
   7104.33  9.6560503E-03
   7104.67  1.0192865E-02
   7105.00  1.0793908E-02
   7105.33  1.1482316E-02
   7105.67  1.2265660E-02
   7106.00  1.3162874E-02
   7106.33  1.4220537E-02
   7106.67  1.5459559E-02
   7107.00  1.6924457E-02
   7107.33  1.8723822E-02
   7107.67  2.0923357E-02
   7108.00  2.3649766E-02
   7108.33  2.7217502E-02
   7108.67  3.1885878E-02
   7109.00  3.8139789E-02
   7109.33  4.7267141E-02
   7109.67  6.0775858E-02
   7110.00  8.1623674E-02
   7110.33  1.1831343E-01
   7110.67  1.7930883E-01
   7111.00  2.6328831E-01
   7111.33  3.4029970E-01
   7111.67  4.0524191E-01
   7112.00  4.5290395E-01
   7112.33  4.2657783E-01
   7112.67  3.4984298E-01
   7113.00  2.7370173E-01
   7113.33  2.1350011E-01
   7113.67  1.6655642E-01
   7114.00  1.3276259E-01
   7114.33  1.0982799E-01
   7114.67  9.3461332E-02
   7115.00  8.1838545E-02
   7115.33  7.3373712E-02
   7115.67  6.7336761E-02
   7116.00  6.3694509E-02
   7116.33  6.2072511E-02
   7116.67  6.1727457E-02
   7117.00  6.2375224E-02
   7117.33  6.3836721E-02
   7117.67  6.5736473E-02
   7118.00  6.7747802E-02
   7118.33  6.9520048E-02
   7118.67  7.1043787E-02
   7119.00  7.2413783E-02
   7119.33  7.3845099E-02
   7119.67  7.5655071E-02
   7120.00  7.8156629E-02
   7120.33  8.1808631E-02
   7120.67  8.6697910E-02
   7121.00  9.2940938E-02
   7121.33  1.0089714E-01
   7121.67  1.1066282E-01
   7122.00  1.2261535E-01
   7122.33  1.3771394E-01
   7122.67  1.5633828E-01
   7123.00  1.7911135E-01
   7123.33  2.0716599E-01
   7123.67  2.3992483E-01
   7124.00  2.7658934E-01
   7124.33  3.1511899E-01
   7124.67  3.5172218E-01
   7125.00  3.8291239E-01
   7125.33  4.0455517E-01
   7125.67  4.1715583E-01
   7126.00  4.2239378E-01
   7126.33  4.2278063E-01
   7126.67  4.2136350E-01
   7127.00  4.1905991E-01
   7127.33  4.1547739E-01
   7127.67  4.1003879E-01
   7128.00  4.0243370E-01
   7128.33  3.9265597E-01
   7128.67  3.8192498E-01
   7129.00  3.7152537E-01
   7129.33  3.6307902E-01
   7129.67  3.5723688E-01
   7130.00  3.5431797E-01
   7130.33  3.5481768E-01
   7130.67  3.5841655E-01
   7131.00  3.6517132E-01
   7131.33  3.7544664E-01
   7131.67  3.8858115E-01
   7132.00  4.0407952E-01
   7132.33  4.2134741E-01
   7132.67  4.3961594E-01
   7133.00  4.5900360E-01
   7133.33  4.8014245E-01
   7133.67  5.0213446E-01
   7134.00  5.2312892E-01
   7134.33  5.4064236E-01
   7134.67  5.5449822E-01
   7135.00  5.6544553E-01
   7135.33  5.7473062E-01
   7135.67  5.8376877E-01
   7136.00  5.9317247E-01
   7136.33  6.0324018E-01
   7136.67  6.1379099E-01
   7137.00  6.2464236E-01
   7137.33  6.3565893E-01
   7137.67  6.4681605E-01
   7138.00  6.5822578E-01
   7138.33  6.7014271E-01
   7138.67  6.8267428E-01
   7139.00  6.9585082E-01
   7139.33  7.0957560E-01
   7139.67  7.2341849E-01
   7140.00  7.3694528E-01
   7140.33  7.4952062E-01
   7140.67  7.6081509E-01
   7141.00  7.7059677E-01
   7141.33  7.7857108E-01
   7141.67  7.8496055E-01
   7142.00  7.8981977E-01
   7142.33  7.9307089E-01
   7142.67  7.9502231E-01
   7143.00  7.9579585E-01
   7143.33  7.9541229E-01
   7143.67  7.9415965E-01
   7144.00  7.9218462E-01
   7144.33  7.8960047E-01
