    FDMNES
    energy     <xanes>
   7097.00  4.8162892E-03
   7097.33  4.9382285E-03
   7097.67  5.0663799E-03
   7098.00  5.2012232E-03
   7098.33  5.3442986E-03
   7098.67  5.4953981E-03
   7099.00  5.6552022E-03
   7099.33  5.8258067E-03
   7099.67  6.0070347E-03
   7100.00  6.1998820E-03
   7100.33  6.4072924E-03
   7100.67  6.6291817E-03
   7101.00  6.8670615E-03
   7101.33  7.1252256E-03
   7101.67  7.4038161E-03
   7102.00  7.7052302E-03
   7102.33  8.0360189E-03
   7102.67  8.3968511E-03
   7103.00  8.7917331E-03
   7103.33  9.2312248E-03
   7103.67  9.7172266E-03
   7104.00  1.0256882E-02
   7104.33  1.0868420E-02
   7104.67  1.1556749E-02
   7105.00  1.2335697E-02
   7105.33  1.3239614E-02
   7105.67  1.4281369E-02
   7106.00  1.5490749E-02
   7106.33  1.6940502E-02
   7106.67  1.8667254E-02
   7107.00  2.0745317E-02
   7107.33  2.3355981E-02
   7107.67  2.6620945E-02
   7108.00  3.0769447E-02
   7108.33  3.6376978E-02
   7108.67  4.3968071E-02
   7109.00  5.4524910E-02
   7109.33  7.0730217E-02
   7109.67  9.6034861E-02
   7110.00  1.3731035E-01
   7110.33  2.1418666E-01
   7110.67  3.3987873E-01
   7111.00  4.7880550E-01
   7111.33  5.2068428E-01
   7111.67  4.8824316E-01
   7112.00  4.1315909E-01
   7112.33  3.4566688E-01
   7112.67  2.9140444E-01
   7113.00  2.3735894E-01
   7113.33  1.8643491E-01
   7113.67  1.4459530E-01
   7114.00  1.1372917E-01
   7114.33  9.4298001E-02
   7114.67  8.2598923E-02
   7115.00  7.6201506E-02
   7115.33  7.0511339E-02
   7115.67  6.3300146E-02
   7116.00  5.7168931E-02
   7116.33  5.3369076E-02
   7116.67  4.9978944E-02
   7117.00  4.6404389E-02
   7117.33  4.3456907E-02
   7117.67  4.1593372E-02
   7118.00  4.0834086E-02
   7118.33  4.1168262E-02
   7118.67  4.2349759E-02
   7119.00  4.4323407E-02
   7119.33  4.7217784E-02
   7119.67  5.1090798E-02
   7120.00  5.6210980E-02
   7120.33  6.3267040E-02
   7120.67  7.2719026E-02
   7121.00  8.5375748E-02
   7121.33  1.0256654E-01
   7121.67  1.2185904E-01
   7122.00  1.3643662E-01
   7122.33  1.3678826E-01
   7122.67  1.2875266E-01
   7123.00  1.2072897E-01
   7123.33  1.1804645E-01
   7123.67  1.2079527E-01
   7124.00  1.2895305E-01
   7124.33  1.4332006E-01
   7124.67  1.6358353E-01
   7125.00  1.9024731E-01
   7125.33  2.2455760E-01
   7125.67  2.6476810E-01
   7126.00  3.0761158E-01
   7126.33  3.4497647E-01
   7126.67  3.7061634E-01
   7127.00  3.8383786E-01
   7127.33  3.8579007E-01
   7127.67  3.8005161E-01
   7128.00  3.7087795E-01
   7128.33  3.6546202E-01
   7128.67  3.6744764E-01
   7129.00  3.7775781E-01
   7129.33  3.9719376E-01
   7129.67  4.2384189E-01
   7130.00  4.5664407E-01
   7130.33  4.9516727E-01
   7130.67  5.3827104E-01
   7131.00  5.8609905E-01
   7131.33  6.4009883E-01
   7131.67  7.0028816E-01
   7132.00  7.6523045E-01
   7132.33  8.2464902E-01
   7132.67  8.5970487E-01
   7133.00  8.6158649E-01
   7133.33  8.4519853E-01
   7133.67  8.3589363E-01
   7134.00  8.4218468E-01
   7134.33  8.6798528E-01
   7134.67  9.1231400E-01
   7135.00  9.7797285E-01
   7135.33  1.0714951E+00
   7135.67  1.1846115E+00
   7136.00  1.2926317E+00
   7136.33  1.3322693E+00
   7136.67  1.2781787E+00
   7137.00  1.1592384E+00
   7137.33  1.0306920E+00
   7137.67  9.2279588E-01
   7138.00  8.3943234E-01
   7138.33  7.7889791E-01
   7138.67  7.3322795E-01
   7139.00  6.9877569E-01
   7139.33  6.7362419E-01
   7139.67  6.5484316E-01
   7140.00  6.4138111E-01
   7140.33  6.3301758E-01
   7140.67  6.2871624E-01
   7141.00  6.2824104E-01
   7141.33  6.3188839E-01
   7141.67  6.3908172E-01
   7142.00  6.4968330E-01
   7142.33  6.6378273E-01
   7142.67  6.8045270E-01
   7143.00  6.9895649E-01
   7143.33  7.1806619E-01
   7143.67  7.3593966E-01
   7144.00  7.5080967E-01
   7144.33  7.6008308E-01
   7144.67  7.6300619E-01
   7145.00  7.5919863E-01
   7145.33  7.4847141E-01
   7145.67  7.3301219E-01
   7146.00  7.1434995E-01
   7146.33  6.9402816E-01
   7146.67  6.7362768E-01
   7147.00  6.5399670E-01
   7147.33  6.3590906E-01
   7147.67  6.1947052E-01
   7148.00  6.0473562E-01
   7148.33  5.9181525E-01
   7148.67  5.8032362E-01
   7149.00  5.7007098E-01
   7149.33  5.6093474E-01
   7149.67  5.5253636E-01
   7150.00  5.4465792E-01
   7150.33  5.3708383E-01
   7150.67  5.2955274E-01
   7151.00  5.2189083E-01
   7151.33  5.1387445E-01
   7151.67  5.0537761E-01
