    FDMNES
    energy     <xanes>
   7097.00  4.5286041E-03
   7097.33  4.6328621E-03
   7097.67  4.7418296E-03
   7098.00  4.8558312E-03
   7098.33  4.9759673E-03
   7098.67  5.1020243E-03
   7099.00  5.2344482E-03
   7099.33  5.3746877E-03
   7099.67  5.5225294E-03
   7100.00  5.6786031E-03
   7100.33  5.8448696E-03
   7100.67  6.0211415E-03
   7101.00  6.2083379E-03
   7101.33  6.4092005E-03
   7101.67  6.6236253E-03
   7102.00  6.8530063E-03
   7102.33  7.1013298E-03
   7102.67  7.3687025E-03
   7103.00  7.6573386E-03
   7103.33  7.9733173E-03
   7103.67  8.3172460E-03
   7104.00  8.6928480E-03
   7104.33  9.1099604E-03
   7104.67  9.5703930E-03
   7105.00  1.0080871E-02
   7105.33  1.0658566E-02
   7105.67  1.1308332E-02
   7106.00  1.2043502E-02
   7106.33  1.2897224E-02
   7106.67  1.3882836E-02
   7107.00  1.5030363E-02
   7107.33  1.6413393E-02
   7107.67  1.8072859E-02
   7108.00  2.0090026E-02
   7108.33  2.2666124E-02
   7108.67  2.5956639E-02
   7109.00  3.0254845E-02
   7109.33  3.6331861E-02
   7109.67  4.5047719E-02
   7110.00  5.8083596E-02
   7110.33  8.0258281E-02
   7110.67  1.1669479E-01
   7111.00  1.6890456E-01
   7111.33  2.2466139E-01
   7111.67  2.7259356E-01
   7112.00  3.0008727E-01
   7112.33  2.9678905E-01
   7112.67  2.9833748E-01
   7113.00  3.1645001E-01
   7113.33  3.2379524E-01
   7113.67  2.9847464E-01
   7114.00  2.5606701E-01
   7114.33  2.2343839E-01
   7114.67  1.9937133E-01
   7115.00  1.7727319E-01
   7115.33  1.6320518E-01
   7115.67  1.5371876E-01
   7116.00  1.4340432E-01
   7116.33  1.3065939E-01
   7116.67  1.1724487E-01
   7117.00  1.0527474E-01
   7117.33  9.6455003E-02
   7117.67  9.0320580E-02
   7118.00  8.6375024E-02
   7118.33  8.4335047E-02
   7118.67  8.3571821E-02
   7119.00  8.3713576E-02
   7119.33  8.4425480E-02
   7119.67  8.5382047E-02
   7120.00  8.6480676E-02
   7120.33  8.7725171E-02
   7120.67  8.9193244E-02
   7121.00  9.1053129E-02
   7121.33  9.3672003E-02
   7121.67  9.7288823E-02
   7122.00  1.0202478E-01
   7122.33  1.0728952E-01
   7122.67  1.1199779E-01
   7123.00  1.1656005E-01
   7123.33  1.2247010E-01
   7123.67  1.3040117E-01
   7124.00  1.4059452E-01
   7124.33  1.5324357E-01
   7124.67  1.6775793E-01
   7125.00  1.8397006E-01
   7125.33  2.0231759E-01
   7125.67  2.2245455E-01
   7126.00  2.4306850E-01
   7126.33  2.6203924E-01
   7126.67  2.7969918E-01
   7127.00  2.9728484E-01
   7127.33  3.1511476E-01
   7127.67  3.3235428E-01
   7128.00  3.4816610E-01
   7128.33  3.6122993E-01
   7128.67  3.7195950E-01
   7129.00  3.8259301E-01
   7129.33  3.9786559E-01
   7129.67  4.2109536E-01
   7130.00  4.5457590E-01
   7130.33  5.0133232E-01
   7130.67  5.6014966E-01
   7131.00  6.2978850E-01
   7131.33  7.0721381E-01
   7131.67  7.8545071E-01
   7132.00  8.5934122E-01
   7132.33  9.2396217E-01
   7132.67  9.7881762E-01
   7133.00  1.0244059E+00
   7133.33  1.0621970E+00
   7133.67  1.0944211E+00
   7134.00  1.1185847E+00
   7134.33  1.1266170E+00
   7134.67  1.1162687E+00
   7135.00  1.0887942E+00
   7135.33  1.0475009E+00
   7135.67  9.9899077E-01
   7136.00  9.4676447E-01
   7136.33  8.9399725E-01
   7136.67  8.4320430E-01
   7137.00  7.9584266E-01
   7137.33  7.5343574E-01
   7137.67  7.1578581E-01
   7138.00  6.8285974E-01
   7138.33  6.5494437E-01
   7138.67  6.3108356E-01
   7139.00  6.1089455E-01
   7139.33  5.9432889E-01
   7139.67  5.8055600E-01
   7140.00  5.6924173E-01
   7140.33  5.6030835E-01
   7140.67  5.5320798E-01
   7141.00  5.4774931E-01
   7141.33  5.4395478E-01
   7141.67  5.4153700E-01
   7142.00  5.4044701E-01
   7142.33  5.4082196E-01
   7142.67  5.4249098E-01
   7143.00  5.4544674E-01
   7143.33  5.4982287E-01
   7143.67  5.5540574E-01
   7144.00  5.6210943E-01
   7144.33  5.6989383E-01
   7144.67  5.7839972E-01
   7145.00  5.8735573E-01
   7145.33  5.9639617E-01
   7145.67  6.0511846E-01
   7146.00  6.1321577E-01
   7146.33  6.2029226E-01
   7146.67  6.2628431E-01
   7147.00  6.3113146E-01
   7147.33  6.3469791E-01
