    FDMNES
    energy     <xanes>
   7097.00  4.3550228E-03
   7097.33  4.4453399E-03
   7097.67  4.5393489E-03
   7098.00  4.6372888E-03
   7098.33  4.7399973E-03
   7098.67  4.8472880E-03
   7099.00  4.9594875E-03
   7099.33  5.0776874E-03
   7099.67  5.2016996E-03
   7100.00  5.3319843E-03
   7100.33  5.4700064E-03
   7100.67  5.6155965E-03
   7101.00  5.7694268E-03
   7101.33  5.9335343E-03
   7101.67  6.1078142E-03
   7102.00  6.2932907E-03
   7102.33  6.4929224E-03
   7102.67  6.7067716E-03
   7103.00  6.9364816E-03
   7103.33  7.1865862E-03
   7103.67  7.4575539E-03
   7104.00  7.7521949E-03
   7104.33  8.0779373E-03
   7104.67  8.4362507E-03
   7105.00  8.8323398E-03
   7105.33  9.2794637E-03
   7105.67  9.7817081E-03
   7106.00  1.0349765E-02
   7106.33  1.1010142E-02
   7106.67  1.1774519E-02
   7107.00  1.2668176E-02
   7107.33  1.3753090E-02
   7107.67  1.5066997E-02
   7108.00  1.6683033E-02
   7108.33  1.8783710E-02
   7108.67  2.1522923E-02
   7109.00  2.5189705E-02
   7109.33  3.0559428E-02
   7109.67  3.8568130E-02
   7110.00  5.1064748E-02
   7110.33  7.3374110E-02
   7110.67  1.1035597E-01
   7111.00  1.5848027E-01
   7111.33  1.9229155E-01
   7111.67  2.0864103E-01
   7112.00  2.1342493E-01
   7112.33  2.0125544E-01
   7112.67  1.7433936E-01
   7113.00  1.4367044E-01
   7113.33  1.2494188E-01
   7113.67  1.1879418E-01
   7114.00  1.1316026E-01
   7114.33  9.3456678E-02
   7114.67  7.4083039E-02
   7115.00  6.1015429E-02
   7115.33  5.2728487E-02
   7115.67  4.7610276E-02
   7116.00  4.5212073E-02
   7116.33  4.5206390E-02
   7116.67  4.6962797E-02
   7117.00  5.0358343E-02
   7117.33  5.5623932E-02
   7117.67  6.2742067E-02
   7118.00  7.2063430E-02
   7118.33  8.4461148E-02
   7118.67  9.9412321E-02
   7119.00  1.1536910E-01
   7119.33  1.2899624E-01
   7119.67  1.3795359E-01
   7120.00  1.4136832E-01
   7120.33  1.3978877E-01
   7120.67  1.3668718E-01
   7121.00  1.3436674E-01
   7121.33  1.3456866E-01
   7121.67  1.3765719E-01
   7122.00  1.4394774E-01
   7122.33  1.5424219E-01
   7122.67  1.6844533E-01
   7123.00  1.8659162E-01
   7123.33  2.0846831E-01
   7123.67  2.3247845E-01
   7124.00  2.5757819E-01
